selection_id,dataset_id,url,status,error_type,error_message,retry_count,processed_at
STA08A2T2,STA08A2,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/STA08A2T2,success,,,0,2025-05-24T10:13:57.379274
STA08A1T1,STA08A1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/STA08A1T1,success,,,0,2025-05-24T10:13:58.578795
PRU01BT2,PRU01B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01BT2,success,,,0,2025-05-24T10:13:58.597135
PRU01BT1,PRU01B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01BT1,success,,,0,2025-05-24T10:13:58.616266
PRU01BT3,PRU01B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01BT3,success,,,0,2025-05-24T10:14:14.594056
PRU01CT1,PRU01C,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01CT1,success,,,0,2025-05-24T10:14:14.911518
PRU01BT4,PRU01B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01BT4,success,,,0,2025-05-24T10:14:15.221940
PRU01CT2,PRU01C,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01CT2,success,,,0,2025-05-24T10:14:15.236362
PRU01AT1,PRU01A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01AT1,success,,,0,2025-05-24T10:14:15.481731
PRU01AT2,PRU01A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01AT2,success,,,0,2025-05-24T10:14:15.546788
PRU01AT3,PRU01A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01AT3,success,,,0,2025-05-24T10:14:17.887747
PRU01AT5,PRU01A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01AT5,success,,,0,2025-05-24T10:14:17.899596
PRU01AT4,PRU01A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01AT4,success,,,0,2025-05-24T10:14:17.913151
WGEN03CT01,WGEN03C,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WGEN03CT01,success,,,0,2025-05-24T10:14:18.187826
WGEN03CT02,WGEN03C,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WGEN03CT02,success,,,0,2025-05-24T10:14:38.707891
NUC06RT01,NUC06R,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/NUC06RT01,success,,,0,2025-05-24T10:14:43.210939
NUC06QT01,NUC06Q,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/NUC06QT01,success,,,0,2025-05-24T10:14:43.270796
NUC06QT02,NUC06Q,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/NUC06QT02,success,,,0,2025-05-24T10:14:43.305630
PRU01DT1,PRU01D,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01DT1,success,,,0,2025-05-24T10:14:43.546980
NUC06RT02,NUC06R,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/NUC06RT02,success,,,0,2025-05-24T10:14:43.607864
PRU01DT2,PRU01D,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRU01DT2,success,,,0,2025-05-24T10:14:43.642023
WUNP1T1,WUNP1,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WUNP1T1,success,,,0,2025-05-24T10:14:43.718684
WOBY04C,WOBY04C,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WOBY04C,success,,,0,2025-05-24T10:14:43.817466
WUNP2T1,WUNP2,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WUNP2T1,success,,,0,2025-05-24T10:14:44.026583
WOBY04A,WOBY04A,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WOBY04A,success,,,0,2025-05-24T10:15:01.411734
WADMUPCRVNTEST,WADMUPCRVN,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WADMUPCRVNTEST,success,,,0,2025-05-24T10:15:01.562058
PRUM201T1,PRUM201,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/PRUM201T1,success,,,0,2025-05-24T10:15:01.818682
WOBY04B,WOBY04B,https://data.csu.gov.cz/api/dotaz/v1/data/vybery/WOBY04B,success,,,0,2025-05-24T10:15:01.888822
