Stát,Ukazatel,Roky,value
Česko,Dokončené byty v nových rodinných domech,2024,15053.0
Česko,Dokončené byty v nových rodinných domech,2023,18963.0
Česko,Dokončené byty v nových rodinných domech,2022,20151.0
Česko,Dokončené byty v nových rodinných domech,2021,18998.0
Česko,Dokončené byty v nových rodinných domech,2020,19218.0
Česko,Dokončené byty v nových rodinných domech,2019,19229.0
Česko,Dokončené byty v nových rodinných domech,2018,19152.0
Česko,Dokončené byty v nových rodinných domech,2017,15170.0
Česko,Dokončené byty v nových rodinných domech,2016,14562.0
Česko,Dokončené byty v nových rodinných domech,2015,13890.0
Česko,Dokončené byty v nových rodinných domech,2014,13992.0
Česko,Dokončené byty v nových rodinných domech,2013,15469.0
Česko,Dokončené byty v nových rodinných domech,2012,17442.0
Česko,Dokončené byty v nových rodinných domech,2011,17385.0
Česko,Dokončené byty v nových rodinných domech,2010,19760.0
Česko,Dokončené byty v nových rodinných domech,2009,19124.0
Česko,Dokončené byty v nových rodinných domech,2008,19611.0
Česko,Dokončené byty v nových rodinných domech,2007,16988.0
Česko,Dokončené byty v nových rodinných domech,2006,13230.0
Česko,Dokončené byty v nových rodinných domech,2005,13472.0
Česko,Dokončené byty v nových rodinných domech,2004,13302.0
Česko,Dokončené byty v nových rodinných domech,2003,11397.0
Česko,Dokončené byty v nových rodinných domech,2002,11716.0
Česko,Dokončené byty v nových rodinných domech,2001,10693.0
Česko,Dokončené byty v nových rodinných domech,2000,10466.0
Česko,Dokončené byty v nových rodinných domech,1999,9238.0
Česko,Dokončené byty v nových rodinných domech,1998,8336.0
Česko,Dokončené byty v nových bytových domech,2024,11406.0
Česko,Dokončené byty v nových bytových domech,2023,14208.0
Česko,Dokončené byty v nových bytových domech,2022,14203.0
Česko,Dokončené byty v nových bytových domech,2021,10973.0
Česko,Dokončené byty v nových bytových domech,2020,10895.0
Česko,Dokončené byty v nových bytových domech,2019,12716.0
Česko,Dokončené byty v nových bytových domech,2018,10305.0
Česko,Dokončené byty v nových bytových domech,2017,9264.0
Česko,Dokončené byty v nových bytových domech,2016,9028.0
Česko,Dokončené byty v nových bytových domech,2015,7356.0
Česko,Dokončené byty v nových bytových domech,2014,6422.0
Česko,Dokončené byty v nových bytových domech,2013,6049.0
Česko,Dokončené byty v nových bytových domech,2012,7095.0
Česko,Dokončené byty v nových bytových domech,2011,6487.0
Česko,Dokončené byty v nových bytových domech,2010,10912.0
Česko,Dokončené byty v nových bytových domech,2009,13766.0
Česko,Dokončené byty v nových bytových domech,2008,12497.0
Česko,Dokončené byty v nových bytových domech,2007,18171.0
Česko,Dokončené byty v nových bytových domech,2006,10070.0
Česko,Dokončené byty v nových bytových domech,2005,11526.0
Česko,Dokončené byty v nových bytových domech,2004,10722.0
Česko,Dokončené byty v nových bytových domech,2003,7720.0
Česko,Dokončené byty v nových bytových domech,2002,6393.0
Česko,Dokončené byty v nových bytových domech,2001,5912.0
Česko,Dokončené byty v nových bytových domech,2000,5926.0
Česko,Dokončené byty v nových bytových domech,1999,6598.0
Česko,Dokončené byty v nových bytových domech,1998,6827.0
Česko,Dokončené byty v nebytových budovách,2024,420.0
Česko,Dokončené byty v nebytových budovách,2023,742.0
Česko,Dokončené byty v nebytových budovách,2022,617.0
Česko,Dokončené byty v nebytových budovách,2021,574.0
Česko,Dokončené byty v nebytových budovách,2020,671.0
Česko,Dokončené byty v nebytových budovách,2019,659.0
Česko,Dokončené byty v nebytových budovách,2018,658.0
Česko,Dokončené byty v nebytových budovách,2017,355.0
Česko,Dokončené byty v nebytových budovách,2016,669.0
Česko,Dokončené byty v nebytových budovách,2015,589.0
Česko,Dokončené byty v nebytových budovách,2014,451.0
Česko,Dokončené byty v nebytových budovách,2013,414.0
Česko,Dokončené byty v nebytových budovách,2012,581.0
Česko,Dokončené byty v nebytových budovách,2011,618.0
Česko,Dokončené byty v nebytových budovách,2010,786.0
Česko,Dokončené byty v nebytových budovách,2009,803.0
Česko,Dokončené byty v nebytových budovách,2008,727.0
Česko,Dokončené byty v nebytových budovách,2007,733.0
Česko,Dokončené byty v nebytových budovách,2006,651.0
Česko,Dokončené byty v nebytových budovách,2005,794.0
Česko,Dokončené byty v nebytových budovách,2004,719.0
Česko,Dokončené byty v nebytových budovách,2003,1213.0
Česko,Dokončené byty v nebytových budovách,2002,1070.0
Česko,Dokončené byty v nebytových budovách,2001,824.0
Česko,Dokončené byty v nebytových budovách,2000,745.0
Česko,Dokončené byty v nebytových budovách,1999,767.0
Česko,Dokončené byty v nebytových budovách,1998,407.0
