Stát;Ukazatel;Kumulace měsíců;Směr výstavby;value
Česko;Počet vydaných stavebních povolení - budovy;říjen 2022;Celkem;41561
Česko;Počet vydaných stavebních povolení - budovy;říjen 2022;Nová výstavba;21780
Česko;Počet vydaných stavebních povolení - budovy;říjen 2022;Změny dokončených staveb;19781
Česko;Počet vydaných stavebních povolení - budovy;září 2022;Celkem;37550
Česko;Počet vydaných stavebních povolení - budovy;září 2022;Nová výstavba;19800
Česko;Počet vydaných stavebních povolení - budovy;září 2022;Změny dokončených staveb;17750
Česko;Počet vydaných stavebních povolení - budovy;srpen 2022;Celkem;33677
Česko;Počet vydaných stavebních povolení - budovy;srpen 2022;Nová výstavba;17905
Česko;Počet vydaných stavebních povolení - budovy;srpen 2022;Změny dokončených staveb;15772
Česko;Počet vydaných stavebních povolení - budovy;červenec 2022;Celkem;29444
Česko;Počet vydaných stavebních povolení - budovy;červenec 2022;Nová výstavba;15754
Česko;Počet vydaných stavebních povolení - budovy;červenec 2022;Změny dokončených staveb;13690
Česko;Počet vydaných stavebních povolení - budovy;červen 2022;Celkem;25498
Česko;Počet vydaných stavebních povolení - budovy;červen 2022;Nová výstavba;13772
Česko;Počet vydaných stavebních povolení - budovy;červen 2022;Změny dokončených staveb;11726
Česko;Počet vydaných stavebních povolení - budovy;květen 2022;Celkem;21254
Česko;Počet vydaných stavebních povolení - budovy;květen 2022;Nová výstavba;11558
Česko;Počet vydaných stavebních povolení - budovy;květen 2022;Změny dokončených staveb;9696
Česko;Počet vydaných stavebních povolení - budovy;duben 2022;Celkem;16457
Česko;Počet vydaných stavebních povolení - budovy;duben 2022;Nová výstavba;8983
Česko;Počet vydaných stavebních povolení - budovy;duben 2022;Změny dokončených staveb;7474
Česko;Počet vydaných stavebních povolení - budovy;březen 2022;Celkem;12291
Česko;Počet vydaných stavebních povolení - budovy;březen 2022;Nová výstavba;6732
Česko;Počet vydaných stavebních povolení - budovy;březen 2022;Změny dokončených staveb;5559
Česko;Počet vydaných stavebních povolení - budovy;únor 2022;Celkem;7820
Česko;Počet vydaných stavebních povolení - budovy;únor 2022;Nová výstavba;4305
