Území;Ukazatel;Očištění;Typ indexu;CZ-NACE;Čtvrtletí;value
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2019;100.7192011662
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2019;100.4723006001
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2018;101.5933483906
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2018;103.7641930207
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2018;102.4365124655
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2018;104.346215232
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2017;107.2646448002
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2017;106.4710085308
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2017;108.0757287748
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2017;104.4694819295
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2016;103.3466528042
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2016;101.2957724596
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2016;101.6673401017
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2016;103.7935036282
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2015;102.4009241676
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2015;105.6592883106
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2015;105.302630743
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2015;104.8496605073
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2014;104.3246283559
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2014;102.8842085816
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2014;106.0638167575
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2014;107.1872391077
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2013;106.2835012777
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2013;101.1798015128
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2013;97.6823098309
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2013;95.6659393139
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2012;94.6504917174
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2012;99.7854497493
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2012;100.4021138585
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2012;101.7768707274
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2011;103.024199088
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;3. čtvrtletí 2011;102.0456092739
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;2. čtvrtletí 2011;107.7359076088
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;1. čtvrtletí 2011;110.1734412239
Česko;Index průmyslové produkce;Očištěno o kalendářní vlivy, není očištěno o sezónní vlivy;Meziroční index;Průmysl celkem;4. čtvrtletí 2010;109.7650352081
