Roky,Pohlaví,"ČR, kraje",Ukazatel,value
2024,Celkem,Královéhradecký kraj,Vystěhovalí do ciziny,3479
2024,Celkem,Královéhradecký kraj,Přírůstek/úbytek stěhováním,714
2024,Celkem,Královéhradecký kraj,Přírůstek/úbytek stěhováním s cizinou,1290
2024,Celkem,Královéhradecký kraj,Objem vnitřního stěhování,9663
2024,Celkem,Pardubický kraj,Přistěhovalí,10479
2024,Celkem,Pardubický kraj,Přistěhovalí z ciziny,4784
2024,Celkem,Pardubický kraj,Vystěhovalí,9329
2024,Celkem,Pardubický kraj,Vystěhovalí do ciziny,3464
2024,Celkem,Pardubický kraj,Přírůstek/úbytek stěhováním,1150
2024,Celkem,Pardubický kraj,Přírůstek/úbytek stěhováním s cizinou,1320
2024,Celkem,Pardubický kraj,Objem vnitřního stěhování,9583
2024,Celkem,Kraj Vysočina,Přistěhovalí,10043
2024,Celkem,Kraj Vysočina,Přistěhovalí z ciziny,4821
2024,Celkem,Kraj Vysočina,Vystěhovalí,9132
2024,Celkem,Kraj Vysočina,Vystěhovalí do ciziny,3451
2024,Celkem,Kraj Vysočina,Přírůstek/úbytek stěhováním,911
2024,Celkem,Kraj Vysočina,Přírůstek/úbytek stěhováním s cizinou,1370
2024,Celkem,Kraj Vysočina,Objem vnitřního stěhování,8280
2024,Celkem,Jihomoravský kraj,Přistěhovalí,25138
2024,Celkem,Jihomoravský kraj,Přistěhovalí z ciziny,15541
2024,Celkem,Jihomoravský kraj,Vystěhovalí,20173
2024,Celkem,Jihomoravský kraj,Vystěhovalí do ciziny,10126
2024,Celkem,Jihomoravský kraj,Přírůstek/úbytek stěhováním,4965
2024,Celkem,Jihomoravský kraj,Přírůstek/úbytek stěhováním s cizinou,5415
2024,Celkem,Jihomoravský kraj,Objem vnitřního stěhování,22365
2024,Celkem,Olomoucký kraj,Přistěhovalí,8923
2024,Celkem,Olomoucký kraj,Přistěhovalí z ciziny,3753
2024,Celkem,Olomoucký kraj,Vystěhovalí,8263
2024,Celkem,Olomoucký kraj,Vystěhovalí do ciziny,2830
2024,Celkem,Olomoucký kraj,Přírůstek/úbytek stěhováním,660
2024,Celkem,Olomoucký kraj,Přírůstek/úbytek stěhováním s cizinou,923
2024,Celkem,Olomoucký kraj,Objem vnitřního stěhování,10667
2024,Celkem,Zlínský kraj,Přistěhovalí,7102
2024,Celkem,Zlínský kraj,Přistěhovalí z ciziny,3078
2024,Celkem,Zlínský kraj,Vystěhovalí,6989
2024,Celkem,Zlínský kraj,Vystěhovalí do ciziny,2272
2024,Celkem,Zlínský kraj,Přírůstek/úbytek stěhováním,113
2024,Celkem,Zlínský kraj,Přírůstek/úbytek stěhováním s cizinou,806
2024,Celkem,Zlínský kraj,Objem vnitřního stěhování,8882
2024,Celkem,Moravskoslezský kraj,Přistěhovalí,11033
2024,Celkem,Moravskoslezský kraj,Přistěhovalí z ciziny,6264
2024,Celkem,Moravskoslezský kraj,Vystěhovalí,12631
2024,Celkem,Moravskoslezský kraj,Vystěhovalí do ciziny,5563
2024,Celkem,Moravskoslezský kraj,Přírůstek/úbytek stěhováním,-1598
2024,Celkem,Moravskoslezský kraj,Přírůstek/úbytek stěhováním s cizinou,701
2024,Celkem,Moravskoslezský kraj,Objem vnitřního stěhování,19376
