Území;CZ NACE;Ukazatel;Roky;value
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2015;504236.020913686
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2016;521182.524281538
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2017;552565.392877506
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2018;585278.160645825
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2019;601598.419770144
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2020;540673.411336686
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2021;616258.395664416
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2022;722433.136259494
Česko;49 až 53 Sekce H - Doprava a skladování;Výkony včetně obchodní marže (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2008;606609.612049244
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2009;525102.816568807
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2010;551442.707852965
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2011;567717.432845339
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2012;586483.547967966
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2013;600027.028231686
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2014;624401.120620071
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2015;604585.582512729
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2016;617987.224555508
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2017;648668.952910473
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2018;697389.609042376
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2019;716370.576324435
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2020;669232.830638441
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2021;761746.108799026
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2022;901823.753733472
Česko;49 až 53 Sekce H - Doprava a skladování;Náklady celkem (mil. Kč);2023;
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2008;332137.807217897
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2009;284138.662351757
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2010;308370.229286073
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2011;321987.366444925
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2012;324395.8988101
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2013;323289.230362312
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2014;342302.169206416
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2015;350662.334833318
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2016;362645.890828088
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2017;385880.391658218
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2018;410260.282463796
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2019;420668.697697673
Česko;49 až 53 Sekce H - Doprava a skladování;Spotřeba materiálu a energie a náklady na služby (mil. Kč);2020;376266.9460591
