Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2016;99.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2017;99.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2017;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2017;101.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2017;101.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2017;101.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2017;101.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2017;100.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2017;101.1
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2017;102.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2017;102.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2017;102.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2017;101.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2018;100.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2018;102.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2018;102.9
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2018;103.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2018;103.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2018;103.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2018;102.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2018;102.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2018;103.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2018;104.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2018;104.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2018;104.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2019;103.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2019;104.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2019;105.8
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2019;106.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2019;106.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2019;106.0
