Roky;ČR, Reg. soudržnosti, Kraje;Ukazatel;value
2023;Jihozápad;Rozvody na 1 000 obyvatel;1.824831953
2023;Jihozápad;Novorozenecká úmrtnost;1.457584297
2023;Jihozápad;Kojenecká úmrtnost;2.137790302
2023;Severozápad;Živě narození na 1 000 obyvatel;7.639879394
2023;Severozápad;Zemřelí na 1 000 obyvatel;11.6119306
2023;Severozápad;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.972051203
2023;Severozápad;Přistěhovalí na 1 000 obyvatel;17.38584866
2023;Severozápad;Vystěhovalí na 1 000 obyvatel;13.13033744
2023;Severozápad;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.255511221
2023;Severozápad;Celkový přírůstek/úbytek na 1 000 obyvatel;0.283460018
2023;Severozápad;Sňatky na 1 000 obyvatel;4.520013722
2023;Severozápad;Rozvody na 1 000 obyvatel;1.967970823
2023;Severozápad;Novorozenecká úmrtnost;1.417936902
2023;Severozápad;Kojenecká úmrtnost;2.717712395
2023;Severovýchod;Živě narození na 1 000 obyvatel;8.205182912
2023;Severovýchod;Zemřelí na 1 000 obyvatel;10.52545305
2023;Severovýchod;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.320270132
2023;Severovýchod;Přistěhovalí na 1 000 obyvatel;17.80695118
2023;Severovýchod;Vystěhovalí na 1 000 obyvatel;12.21345444
2023;Severovýchod;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.593496739
2023;Severovýchod;Celkový přírůstek/úbytek na 1 000 obyvatel;3.273226607
2023;Severovýchod;Sňatky na 1 000 obyvatel;4.302289502
2023;Severovýchod;Rozvody na 1 000 obyvatel;1.791428075
2023;Severovýchod;Novorozenecká úmrtnost;1.347708895
2023;Severovýchod;Kojenecká úmrtnost;1.981924845
2023;Jihovýchod;Živě narození na 1 000 obyvatel;8.703307717
2023;Jihovýchod;Zemřelí na 1 000 obyvatel;10.22444707
2023;Jihovýchod;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.521139355
2023;Jihovýchod;Přistěhovalí na 1 000 obyvatel;19.64263856
2023;Jihovýchod;Vystěhovalí na 1 000 obyvatel;10.80485914
2023;Jihovýchod;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.837779424
2023;Jihovýchod;Celkový přírůstek/úbytek na 1 000 obyvatel;7.316640069
2023;Jihovýchod;Sňatky na 1 000 obyvatel;4.460552955
2023;Jihovýchod;Rozvody na 1 000 obyvatel;1.676873682
2023;Jihovýchod;Novorozenecká úmrtnost;1.518653021
2023;Jihovýchod;Kojenecká úmrtnost;1.980851766
2023;Střední Morava;Živě narození na 1 000 obyvatel;8.389659866
2023;Střední Morava;Zemřelí na 1 000 obyvatel;10.9222941
2023;Střední Morava;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.532634236
2023;Střední Morava;Přistěhovalí na 1 000 obyvatel;12.86008061
2023;Střední Morava;Vystěhovalí na 1 000 obyvatel;9.276988126
2023;Střední Morava;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.583092483
2023;Střední Morava;Celkový přírůstek/úbytek na 1 000 obyvatel;1.050458247
2023;Střední Morava;Sňatky na 1 000 obyvatel;4.281750204
2023;Střední Morava;Rozvody na 1 000 obyvatel;1.704625971
2023;Střední Morava;Novorozenecká úmrtnost;1.767651969
2023;Střední Morava;Kojenecká úmrtnost;2.847883728
2023;Moravskoslezsko;Živě narození na 1 000 obyvatel;8.090624404
2023;Moravskoslezsko;Zemřelí na 1 000 obyvatel;11.49021588
2023;Moravskoslezsko;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.399591478
2023;Moravskoslezsko;Přistěhovalí na 1 000 obyvatel;11.00876113
2023;Moravskoslezsko;Vystěhovalí na 1 000 obyvatel;8.004080182
2023;Moravskoslezsko;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.00468095
2023;Moravskoslezsko;Celkový přírůstek/úbytek na 1 000 obyvatel;-0.394910528
2023;Moravskoslezsko;Sňatky na 1 000 obyvatel;4.616251997
2023;Moravskoslezsko;Rozvody na 1 000 obyvatel;1.830872425
2023;Moravskoslezsko;Novorozenecká úmrtnost;1.246235331
2023;Moravskoslezsko;Kojenecká úmrtnost;2.284764773
2023;Hlavní město Praha;Živě narození na 1 000 obyvatel;9.149886418
2023;Hlavní město Praha;Zemřelí na 1 000 obyvatel;8.885758484
2023;Hlavní město Praha;Přirozený přírůstek/úbytek na 1 000 obyvatel;0.264127934
2023;Hlavní město Praha;Přistěhovalí na 1 000 obyvatel;49.25949587
2023;Hlavní město Praha;Vystěhovalí na 1 000 obyvatel;29.5823286
2023;Hlavní město Praha;Přírůstek/úbytek stěhováním na 1 000 obyvatel;19.67716727
2023;Hlavní město Praha;Celkový přírůstek/úbytek na 1 000 obyvatel;19.9412952
2023;Hlavní město Praha;Sňatky na 1 000 obyvatel;4.651707663
2023;Hlavní město Praha;Rozvody na 1 000 obyvatel;1.664806372
2023;Hlavní město Praha;Novorozenecká úmrtnost;0.715705765
2023;Hlavní město Praha;Kojenecká úmrtnost;1.590457256
2023;Středočeský kraj;Živě narození na 1 000 obyvatel;8.44537876
2023;Středočeský kraj;Zemřelí na 1 000 obyvatel;9.490622796
2023;Středočeský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.045244036
2023;Středočeský kraj;Přistěhovalí na 1 000 obyvatel;31.46901603
2023;Středočeský kraj;Vystěhovalí na 1 000 obyvatel;19.01365091
2023;Středočeský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;12.45536511
2023;Středočeský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;11.41012108
2023;Středočeský kraj;Sňatky na 1 000 obyvatel;4.261644715
2023;Středočeský kraj;Rozvody na 1 000 obyvatel;1.901571934
2023;Středočeský kraj;Novorozenecká úmrtnost;1.551147032
2023;Středočeský kraj;Kojenecká úmrtnost;2.367540207
2023;Jihočeský kraj;Živě narození na 1 000 obyvatel;8.177923734
2023;Jihočeský kraj;Zemřelí na 1 000 obyvatel;10.60882647
2023;Jihočeský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.430902736
2023;Jihočeský kraj;Přistěhovalí na 1 000 obyvatel;17.44746039
2023;Jihočeský kraj;Vystěhovalí na 1 000 obyvatel;11.6499867
2023;Jihočeský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.797473696
2023;Jihočeský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;3.366570959
2023;Jihočeský kraj;Sňatky na 1 000 obyvatel;4.57132024
2023;Jihočeský kraj;Rozvody na 1 000 obyvatel;1.836172444
2023;Jihočeský kraj;Novorozenecká úmrtnost;1.869508319
2023;Jihočeský kraj;Kojenecká úmrtnost;2.430360815
2023;Plzeňský kraj;Živě narození na 1 000 obyvatel;8.099674177
2023;Plzeňský kraj;Zemřelí na 1 000 obyvatel;10.01560277
2023;Plzeňský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.915928594
2023;Plzeňský kraj;Přistěhovalí na 1 000 obyvatel;30.51063021
2023;Plzeňský kraj;Vystěhovalí na 1 000 obyvatel;15.50607394
2023;Plzeňský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;15.00455627
2023;Plzeňský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;13.08862768
2023;Plzeňský kraj;Sňatky na 1 000 obyvatel;4.310429601
2023;Plzeňský kraj;Rozvody na 1 000 obyvatel;1.812674958
2023;Plzeňský kraj;Novorozenecká úmrtnost;1.011736139
2023;Plzeňský kraj;Kojenecká úmrtnost;1.821125051
2023;Karlovarský kraj;Živě narození na 1 000 obyvatel;7.224610461
2023;Karlovarský kraj;Zemřelí na 1 000 obyvatel;11.3437572
2023;Karlovarský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-4.119146743
2023;Karlovarský kraj;Přistěhovalí na 1 000 obyvatel;26.44051477
2023;Karlovarský kraj;Vystěhovalí na 1 000 obyvatel;17.29702608
2023;Karlovarský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;9.143488697
2023;Karlovarský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;5.024341954
2023;Karlovarský kraj;Sňatky na 1 000 obyvatel;4.42087848
2023;Karlovarský kraj;Rozvody na 1 000 obyvatel;1.996853853
2023;Karlovarský kraj;Novorozenecká úmrtnost;0.938526513
2023;Karlovarský kraj;Kojenecká úmrtnost;1.40778977
2023;Ústecký kraj;Živě narození na 1 000 obyvatel;7.790584368
2023;Ústecký kraj;Zemřelí na 1 000 obyvatel;11.70925323
2023;Ústecký kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.918668858
2023;Ústecký kraj;Přistěhovalí na 1 000 obyvatel;15.00782503
2023;Ústecký kraj;Vystěhovalí na 1 000 obyvatel;12.52620648
2023;Ústecký kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;2.481618552
2023;Ústecký kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;-1.437050307
2023;Ústecký kraj;Sňatky na 1 000 obyvatel;4.555990827
2023;Ústecký kraj;Rozvody na 1 000 obyvatel;1.957488902
2023;Ústecký kraj;Novorozenecká úmrtnost;1.579279848
2023;Ústecký kraj;Kojenecká úmrtnost;3.158559697
2023;Liberecký kraj;Živě narození na 1 000 obyvatel;7.878787879
2023;Liberecký kraj;Zemřelí na 1 000 obyvatel;10.51171051
2023;Liberecký kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.632922633
2023;Liberecký kraj;Přistěhovalí na 1 000 obyvatel;20.72150072
2023;Liberecký kraj;Vystěhovalí na 1 000 obyvatel;14.64535465
2023;Liberecký kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;6.076146076
2023;Liberecký kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;3.443223443
2023;Liberecký kraj;Sňatky na 1 000 obyvatel;4.304584305
2023;Liberecký kraj;Rozvody na 1 000 obyvatel;1.975801976
2023;Liberecký kraj;Novorozenecká úmrtnost;1.12707805
2023;Liberecký kraj;Kojenecká úmrtnost;2.817695125
2023;Královéhradecký kraj;Živě narození na 1 000 obyvatel;8.172350543
2023;Královéhradecký kraj;Zemřelí na 1 000 obyvatel;10.81322882
2023;Královéhradecký kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.640878281
2023;Královéhradecký kraj;Přistěhovalí na 1 000 obyvatel;19.4652491
2023;Královéhradecký kraj;Vystěhovalí na 1 000 obyvatel;13.80263118
2023;Královéhradecký kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.662617919
2023;Královéhradecký kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;3.021739638
2023;Královéhradecký kraj;Sňatky na 1 000 obyvatel;4.390684706
2023;Královéhradecký kraj;Rozvody na 1 000 obyvatel;1.719265656
2023;Královéhradecký kraj;Novorozenecká úmrtnost;1.099142669
2023;Královéhradecký kraj;Kojenecká úmrtnost;1.318971202
2023;Pardubický kraj;Živě narození na 1 000 obyvatel;8.516930133
2023;Pardubický kraj;Zemřelí na 1 000 obyvatel;10.23502654
2023;Pardubický kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.718096402
2023;Pardubický kraj;Přistěhovalí na 1 000 obyvatel;20.73597139
2023;Pardubický kraj;Vystěhovalí na 1 000 obyvatel;15.62505894
2023;Pardubický kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;5.110912458
2023;Pardubický kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;3.392816056
2023;Pardubický kraj;Sňatky na 1 000 obyvatel;4.207544537
2023;Pardubický kraj;Rozvody na 1 000 obyvatel;1.71055262
2023;Pardubický kraj;Novorozenecká úmrtnost;1.771479185
2023;Pardubický kraj;Kojenecká úmrtnost;1.992914083
2023;Kraj Vysočina;Živě narození na 1 000 obyvatel;8.657322071
2023;Kraj Vysočina;Zemřelí na 1 000 obyvatel;10.57214532
2023;Kraj Vysočina;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.914823246
2023;Kraj Vysočina;Přistěhovalí na 1 000 obyvatel;20.94313749
2023;Kraj Vysočina;Vystěhovalí na 1 000 obyvatel;12.87186738
2023;Kraj Vysočina;Přírůstek/úbytek stěhováním na 1 000 obyvatel;8.071270108
2023;Kraj Vysočina;Celkový přírůstek/úbytek na 1 000 obyvatel;6.156446862
2023;Kraj Vysočina;Sňatky na 1 000 obyvatel;4.224216131
2023;Kraj Vysočina;Rozvody na 1 000 obyvatel;1.615027688
2023;Kraj Vysočina;Novorozenecká úmrtnost;1.340482574
2023;Kraj Vysočina;Kojenecká úmrtnost;2.010723861
2023;Jihomoravský kraj;Živě narození na 1 000 obyvatel;8.722746018
2023;Jihomoravský kraj;Zemřelí na 1 000 obyvatel;10.07747375
2023;Jihomoravský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-1.35472773
2023;Jihomoravský kraj;Přistěhovalí na 1 000 obyvatel;21.2815708
2023;Jihomoravský kraj;Vystěhovalí na 1 000 obyvatel;12.11978507
2023;Jihomoravský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;9.161785722
2023;Jihomoravský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;7.807057992
2023;Jihomoravský kraj;Sňatky na 1 000 obyvatel;4.560453396
2023;Jihomoravský kraj;Rozvody na 1 000 obyvatel;1.703016211
2023;Jihomoravský kraj;Novorozenecká úmrtnost;1.593401443
2023;Jihomoravský kraj;Kojenecká úmrtnost;1.96831943
2023;Olomoucký kraj;Živě narození na 1 000 obyvatel;8.41037311
2023;Olomoucký kraj;Zemřelí na 1 000 obyvatel;11.03209596
2023;Olomoucký kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.621722846
2023;Olomoucký kraj;Přistěhovalí na 1 000 obyvatel;14.48979914
2023;Olomoucký kraj;Vystěhovalí na 1 000 obyvatel;10.1897944
2023;Olomoucký kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;4.300004741
2023;Olomoucký kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;1.678281894
2023;Olomoucký kraj;Sňatky na 1 000 obyvatel;4.383760805
2023;Olomoucký kraj;Rozvody na 1 000 obyvatel;1.771519777
2023;Olomoucký kraj;Novorozenecká úmrtnost;1.503194288
2023;Olomoucký kraj;Kojenecká úmrtnost;2.81848929
2023;Zlínský kraj;Živě narození na 1 000 obyvatel;8.367098935
2023;Zlínský kraj;Zemřelí na 1 000 obyvatel;10.80269758
2023;Zlínský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-2.435598641
2023;Zlínský kraj;Přistěhovalí na 1 000 obyvatel;13.43107858
2023;Zlínský kraj;Vystěhovalí na 1 000 obyvatel;10.62884919
2023;Zlínský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;2.80222939
2023;Zlínský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;0.366630749
2023;Zlínský kraj;Sňatky na 1 000 obyvatel;4.170639934
2023;Zlínský kraj;Rozvody na 1 000 obyvatel;1.631765026
2023;Zlínský kraj;Novorozenecká úmrtnost;2.057189879
2023;Zlínský kraj;Kojenecká úmrtnost;2.88006583
2023;Moravskoslezský kraj;Živě narození na 1 000 obyvatel;8.090624404
2023;Moravskoslezský kraj;Zemřelí na 1 000 obyvatel;11.49021588
2023;Moravskoslezský kraj;Přirozený přírůstek/úbytek na 1 000 obyvatel;-3.399591478
2023;Moravskoslezský kraj;Přistěhovalí na 1 000 obyvatel;11.00876113
2023;Moravskoslezský kraj;Vystěhovalí na 1 000 obyvatel;8.004080182
2023;Moravskoslezský kraj;Přírůstek/úbytek stěhováním na 1 000 obyvatel;3.00468095
2023;Moravskoslezský kraj;Celkový přírůstek/úbytek na 1 000 obyvatel;-0.394910528
2023;Moravskoslezský kraj;Sňatky na 1 000 obyvatel;4.616251997
2023;Moravskoslezský kraj;Rozvody na 1 000 obyvatel;1.830872425
2023;Moravskoslezský kraj;Novorozenecká úmrtnost;1.246235331
2023;Moravskoslezský kraj;Kojenecká úmrtnost;2.284764773
