Čtvrtletí,Šetření,Území,Ukazatel,value
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.088391304
2. čtvrtletí 2025,Pracovištní metoda,Plzeňský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0554732055
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),85.4215117356
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),41944.4877037774
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.0089672002
2. čtvrtletí 2025,Pracovištní metoda,Karlovarský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.8041138869
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),241.8420117129
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),45023.6021529728
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.3956745512
2. čtvrtletí 2025,Pracovištní metoda,Ústecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),105.5523183954
2. čtvrtletí 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),144.3447830211
2. čtvrtletí 2025,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43979.766136378
2. čtvrtletí 2025,Pracovištní metoda,Liberecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.2060125769
2. čtvrtletí 2025,Pracovištní metoda,Liberecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.4242062041
2. čtvrtletí 2025,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),195.6992681461
2. čtvrtletí 2025,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),46806.9262327356
2. čtvrtletí 2025,Pracovištní metoda,Královéhradecký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.2185202055
2. čtvrtletí 2025,Pracovištní metoda,Královéhradecký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.087433839
2. čtvrtletí 2025,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),184.3816667749
2. čtvrtletí 2025,Pracovištní metoda,Pardubický kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43679.9548805217
2. čtvrtletí 2025,Pracovištní metoda,Pardubický kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.1443951515
2. čtvrtletí 2025,Pracovištní metoda,Pardubický kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.0669360817
2. čtvrtletí 2025,Pracovištní metoda,Kraj Vysočina,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),172.5263847998
2. čtvrtletí 2025,Pracovištní metoda,Kraj Vysočina,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44021.9534796552
2. čtvrtletí 2025,Pracovištní metoda,Kraj Vysočina,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.9055794671
2. čtvrtletí 2025,Pracovištní metoda,Kraj Vysočina,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),106.6874007111
2. čtvrtletí 2025,Pracovištní metoda,Jihomoravský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),472.5932281849
2. čtvrtletí 2025,Pracovištní metoda,Jihomoravský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),48048.8935875451
2. čtvrtletí 2025,Pracovištní metoda,Jihomoravský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4186909499
2. čtvrtletí 2025,Pracovištní metoda,Jihomoravský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.0742378996
2. čtvrtletí 2025,Pracovištní metoda,Olomoucký kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),223.2592890839
2. čtvrtletí 2025,Pracovištní metoda,Olomoucký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43483.9013840228
2. čtvrtletí 2025,Pracovištní metoda,Olomoucký kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7507383017
2. čtvrtletí 2025,Pracovištní metoda,Olomoucký kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.4147294243
2. čtvrtletí 2025,Pracovištní metoda,Zlínský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),201.7829918862
2. čtvrtletí 2025,Pracovištní metoda,Zlínský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),43964.9673518108
2. čtvrtletí 2025,Pracovištní metoda,Zlínský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),99.7262109862
2. čtvrtletí 2025,Pracovištní metoda,Zlínský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),107.0922363847
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezský kraj,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),413.1309230521
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),44369.9051546398
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezský kraj,Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),98.9449437322
2. čtvrtletí 2025,Pracovištní metoda,Moravskoslezský kraj,Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),108.2231993331
