Ukazatel;Roky;SO ORP;Velikostní skupina obcí;value
Počet obyvatel;2024;Mělník;100 000 a více;
Počet obyvatel;2024;Mladá Boleslav;Celkem;118952.0
Počet obyvatel;2024;Mladá Boleslav;méně než 200;
Počet obyvatel;2024;Mladá Boleslav;200 až 499;
Počet obyvatel;2024;Mladá Boleslav;500 až 999;
Počet obyvatel;2024;Mladá Boleslav;1 000 až 1 9999;
Počet obyvatel;2024;Mladá Boleslav;2 000 až 4 999;
Počet obyvatel;2024;Mladá Boleslav;5 000 až 9 9999;
Počet obyvatel;2024;Mladá Boleslav;10 000 až 19 999;
Počet obyvatel;2024;Mladá Boleslav;20 000 až 49 999;
Počet obyvatel;2024;Mladá Boleslav;50 000 až 99 999;
Počet obyvatel;2024;Mladá Boleslav;100 000 a více;
Počet obyvatel;2024;Mnichovo Hradiště;Celkem;18774.0
Počet obyvatel;2024;Mnichovo Hradiště;méně než 200;
Počet obyvatel;2024;Mnichovo Hradiště;200 až 499;
Počet obyvatel;2024;Mnichovo Hradiště;500 až 999;
Počet obyvatel;2024;Mnichovo Hradiště;1 000 až 1 9999;
Počet obyvatel;2024;Mnichovo Hradiště;2 000 až 4 999;
Počet obyvatel;2024;Mnichovo Hradiště;5 000 až 9 9999;
Počet obyvatel;2024;Mnichovo Hradiště;10 000 až 19 999;
Počet obyvatel;2024;Mnichovo Hradiště;20 000 až 49 999;
Počet obyvatel;2024;Mnichovo Hradiště;50 000 až 99 999;
Počet obyvatel;2024;Mnichovo Hradiště;100 000 a více;
Počet obyvatel;2024;Neratovice;Celkem;33657.0
Počet obyvatel;2024;Neratovice;méně než 200;
Počet obyvatel;2024;Neratovice;200 až 499;
Počet obyvatel;2024;Neratovice;500 až 999;
Počet obyvatel;2024;Neratovice;1 000 až 1 9999;
Počet obyvatel;2024;Neratovice;2 000 až 4 999;
Počet obyvatel;2024;Neratovice;5 000 až 9 9999;
Počet obyvatel;2024;Neratovice;10 000 až 19 999;
Počet obyvatel;2024;Neratovice;20 000 až 49 999;
Počet obyvatel;2024;Neratovice;50 000 až 99 999;
Počet obyvatel;2024;Neratovice;100 000 a více;
Počet obyvatel;2024;Nymburk;Celkem;42319.0
Počet obyvatel;2024;Nymburk;méně než 200;
Počet obyvatel;2024;Nymburk;200 až 499;
Počet obyvatel;2024;Nymburk;500 až 999;
Počet obyvatel;2024;Nymburk;1 000 až 1 9999;
Počet obyvatel;2024;Nymburk;2 000 až 4 999;
Počet obyvatel;2024;Nymburk;5 000 až 9 9999;
Počet obyvatel;2024;Nymburk;10 000 až 19 999;
Počet obyvatel;2024;Nymburk;20 000 až 49 999;
Počet obyvatel;2024;Nymburk;50 000 až 99 999;
Počet obyvatel;2024;Nymburk;100 000 a více;
Počet obyvatel;2024;Poděbrady;Celkem;32933.0
Počet obyvatel;2024;Poděbrady;méně než 200;
Počet obyvatel;2024;Poděbrady;200 až 499;
Počet obyvatel;2024;Poděbrady;500 až 999;
Počet obyvatel;2024;Poděbrady;1 000 až 1 9999;
Počet obyvatel;2024;Poděbrady;2 000 až 4 999;
Počet obyvatel;2024;Poděbrady;5 000 až 9 9999;
Počet obyvatel;2024;Poděbrady;10 000 až 19 999;
Počet obyvatel;2024;Poděbrady;20 000 až 49 999;
Počet obyvatel;2024;Poděbrady;50 000 až 99 999;
Počet obyvatel;2024;Poděbrady;100 000 a více;
Počet obyvatel;2024;Příbram;Celkem;71947.0
Počet obyvatel;2024;Příbram;méně než 200;
Počet obyvatel;2024;Příbram;200 až 499;
Počet obyvatel;2024;Příbram;500 až 999;
Počet obyvatel;2024;Příbram;1 000 až 1 9999;
Počet obyvatel;2024;Příbram;2 000 až 4 999;
Počet obyvatel;2024;Příbram;5 000 až 9 9999;
Počet obyvatel;2024;Příbram;10 000 až 19 999;
Počet obyvatel;2024;Příbram;20 000 až 49 999;
Počet obyvatel;2024;Příbram;50 000 až 99 999;
Počet obyvatel;2024;Příbram;100 000 a více;
Počet obyvatel;2024;Rakovník;Celkem;56494.0
Počet obyvatel;2024;Rakovník;méně než 200;
Počet obyvatel;2024;Rakovník;200 až 499;
Počet obyvatel;2024;Rakovník;500 až 999;
Počet obyvatel;2024;Rakovník;1 000 až 1 9999;
Počet obyvatel;2024;Rakovník;2 000 až 4 999;
Počet obyvatel;2024;Rakovník;5 000 až 9 9999;
Počet obyvatel;2024;Rakovník;10 000 až 19 999;
Počet obyvatel;2024;Rakovník;20 000 až 49 999;
Počet obyvatel;2024;Rakovník;50 000 až 99 999;
Počet obyvatel;2024;Rakovník;100 000 a více;
Počet obyvatel;2024;Říčany;Celkem;79901.0
Počet obyvatel;2024;Říčany;méně než 200;
Počet obyvatel;2024;Říčany;200 až 499;
Počet obyvatel;2024;Říčany;500 až 999;
Počet obyvatel;2024;Říčany;1 000 až 1 9999;
Počet obyvatel;2024;Říčany;2 000 až 4 999;
Počet obyvatel;2024;Říčany;5 000 až 9 9999;
Počet obyvatel;2024;Říčany;10 000 až 19 999;
Počet obyvatel;2024;Říčany;20 000 až 49 999;
Počet obyvatel;2024;Říčany;50 000 až 99 999;
Počet obyvatel;2024;Říčany;100 000 a více;
Počet obyvatel;2024;Sedlčany;Celkem;22088.0
Počet obyvatel;2024;Sedlčany;méně než 200;
Počet obyvatel;2024;Sedlčany;200 až 499;
Počet obyvatel;2024;Sedlčany;500 až 999;
Počet obyvatel;2024;Sedlčany;1 000 až 1 9999;
Počet obyvatel;2024;Sedlčany;2 000 až 4 999;
Počet obyvatel;2024;Sedlčany;5 000 až 9 9999;
Počet obyvatel;2024;Sedlčany;10 000 až 19 999;
Počet obyvatel;2024;Sedlčany;20 000 až 49 999;
Počet obyvatel;2024;Sedlčany;50 000 až 99 999;
Počet obyvatel;2024;Sedlčany;100 000 a více;
Počet obyvatel;2024;Slaný;Celkem;42604.0
Počet obyvatel;2024;Slaný;méně než 200;
Počet obyvatel;2024;Slaný;200 až 499;
Počet obyvatel;2024;Slaný;500 až 999;
Počet obyvatel;2024;Slaný;1 000 až 1 9999;
Počet obyvatel;2024;Slaný;2 000 až 4 999;
Počet obyvatel;2024;Slaný;5 000 až 9 9999;
Počet obyvatel;2024;Slaný;10 000 až 19 999;
Počet obyvatel;2024;Slaný;20 000 až 49 999;
Počet obyvatel;2024;Slaný;50 000 až 99 999;
Počet obyvatel;2024;Slaný;100 000 a více;
Počet obyvatel;2024;Vlašim;Celkem;26525.0
Počet obyvatel;2024;Vlašim;méně než 200;
Počet obyvatel;2024;Vlašim;200 až 499;
Počet obyvatel;2024;Vlašim;500 až 999;
Počet obyvatel;2024;Vlašim;1 000 až 1 9999;
Počet obyvatel;2024;Vlašim;2 000 až 4 999;
Počet obyvatel;2024;Vlašim;5 000 až 9 9999;
Počet obyvatel;2024;Vlašim;10 000 až 19 999;
Počet obyvatel;2024;Vlašim;20 000 až 49 999;
Počet obyvatel;2024;Vlašim;50 000 až 99 999;
Počet obyvatel;2024;Vlašim;100 000 a více;
Počet obyvatel;2024;Votice;Celkem;12971.0
