Území;Roky;Velikostní skupiny podniků;Ukazatel;value
Česko;2023;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);4520.8887436931
Česko;2023;500 až 999 zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);110.3756995576
Česko;2023;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);1365.7362494534
Česko;2023;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-0.6745091749
Česko;2023;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.9506364268
Česko;2023;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);51173.8758702188
Česko;2023;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);4340.6366297518
Česko;2023;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);109.2682818873
Česko;2023;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1423.2918952341
Česko;2023;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);2.3269139547
Česko;2023;500 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);100.1637558972
Česko;2023;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);49104.4862512131
Česko;2023;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);4069.2863675631
Česko;2023;500 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);109.0357906217
Česko;2023;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);999.3673876546
Česko;2023;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);-5.6551795581
Česko;2023;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.4373082016
Česko;2023;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);51718.3806126535
Česko;2023;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);4172.8008550606
Česko;2023;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.7764222801
Česko;2023;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);1044.7661874529
Česko;2023;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);-4.1915182082
Česko;2023;1 000 a více zaměstnanců;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);99.6004111333
Česko;2023;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);49471.0333731219
Česko;2023;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);3916.8795977078
Česko;2023;1 000 a více zaměstnanců;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.5982929614
