Roky;Ukazatel;Území;Kategorie ubytovacího zařízení;value
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Penzion;561.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Kemp;53.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Chatová osada;18.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Turistická ubytovna;79.0
2022;Počet hromadných ubytovacích zařízení;Královéhradecký kraj;Ostatní HUZ;222.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;HUZ celkem;384.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Hotel *****;
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Hotel, motel, botel ****;11.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Hotel, motel, botel ***;48.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Hotel, motel, botel **;18.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Hotel, motel, botel *;5.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Hotel garni;8.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Penzion;174.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Kemp;23.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Chatová osada;20.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Turistická ubytovna;33.0
2022;Počet hromadných ubytovacích zařízení;Pardubický kraj;Ostatní HUZ;44.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;HUZ celkem;473.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Hotel *****;2.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Hotel, motel, botel ****;23.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Hotel, motel, botel ***;61.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Hotel, motel, botel **;11.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Hotel, motel, botel *;7.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Hotel garni;9.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Penzion;171.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Kemp;29.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Chatová osada;26.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Turistická ubytovna;53.0
2022;Počet hromadných ubytovacích zařízení;Kraj Vysočina;Ostatní HUZ;81.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;HUZ celkem;1037.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Hotel *****;2.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Hotel, motel, botel ****;47.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Hotel, motel, botel ***;143.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Hotel, motel, botel **;13.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Hotel, motel, botel *;5.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Hotel garni;11.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Penzion;583.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Kemp;40.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Chatová osada;33.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Turistická ubytovna;50.0
2022;Počet hromadných ubytovacích zařízení;Jihomoravský kraj;Ostatní HUZ;110.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;HUZ celkem;555.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Hotel *****;
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Hotel, motel, botel ****;22.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Hotel, motel, botel ***;69.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Hotel, motel, botel **;8.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Hotel, motel, botel *;10.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Hotel garni;8.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Penzion;271.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Kemp;12.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Chatová osada;10.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Turistická ubytovna;54.0
2022;Počet hromadných ubytovacích zařízení;Olomoucký kraj;Ostatní HUZ;91.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;HUZ celkem;537.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Hotel *****;1.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Hotel, motel, botel ****;51.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Hotel, motel, botel ***;87.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Hotel, motel, botel **;9.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Hotel, motel, botel *;7.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Hotel garni;7.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Penzion;226.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Kemp;24.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Chatová osada;9.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Turistická ubytovna;44.0
2022;Počet hromadných ubytovacích zařízení;Zlínský kraj;Ostatní HUZ;72.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;HUZ celkem;698.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Hotel *****;
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Hotel, motel, botel ****;45.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Hotel, motel, botel ***;130.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Hotel, motel, botel **;15.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Hotel, motel, botel *;10.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Hotel garni;8.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Penzion;298.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Kemp;24.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Chatová osada;5.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Turistická ubytovna;81.0
2022;Počet hromadných ubytovacích zařízení;Moravskoslezský kraj;Ostatní HUZ;82.0
