Kraje,Ukazatel,Roky,value
Hlavní město Praha,Přirozený přírůstek,2079,-387.6105535737
Hlavní město Praha,Přirozený přírůstek,2080,-363.8307416256
Hlavní město Praha,Přirozený přírůstek,2081,
Hlavní město Praha,Saldo migrace,2025,-3624.1063509485
Hlavní město Praha,Saldo migrace,2026,-3547.4363346416
Hlavní město Praha,Saldo migrace,2027,-3472.381135929
Hlavní město Praha,Saldo migrace,2028,10690.8490071881
Hlavní město Praha,Saldo migrace,2029,10836.9432924438
Hlavní město Praha,Saldo migrace,2030,10965.9223257124
Hlavní město Praha,Saldo migrace,2031,11077.3819332899
Hlavní město Praha,Saldo migrace,2032,11169.8293108844
Hlavní město Praha,Saldo migrace,2033,11239.9526489713
Hlavní město Praha,Saldo migrace,2034,11287.2636439528
Hlavní město Praha,Saldo migrace,2035,11311.4140657991
Hlavní město Praha,Saldo migrace,2036,11313.1315746369
Hlavní město Praha,Saldo migrace,2037,11296.3501841066
Hlavní město Praha,Saldo migrace,2038,11263.6842811669
Hlavní město Praha,Saldo migrace,2039,11215.1407918132
Hlavní město Praha,Saldo migrace,2040,11151.8834776585
Hlavní město Praha,Saldo migrace,2041,11076.4741341509
Hlavní město Praha,Saldo migrace,2042,10992.1052955942
Hlavní město Praha,Saldo migrace,2043,10901.7301664242
Hlavní město Praha,Saldo migrace,2044,10807.6354998608
Hlavní město Praha,Saldo migrace,2045,10711.1779654077
Hlavní město Praha,Saldo migrace,2046,10612.3228357999
Hlavní město Praha,Saldo migrace,2047,10510.1522563198
Hlavní město Praha,Saldo migrace,2048,10405.3735591749
Hlavní město Praha,Saldo migrace,2049,10302.0224420222
Hlavní město Praha,Saldo migrace,2050,10204.1465787294
Hlavní město Praha,Saldo migrace,2051,10114.7371631164
Hlavní město Praha,Saldo migrace,2052,10035.5493237122
Hlavní město Praha,Saldo migrace,2053,9969.4313879233
Hlavní město Praha,Saldo migrace,2054,9920.2157012961
Hlavní město Praha,Saldo migrace,2055,9889.7255408225
Hlavní město Praha,Saldo migrace,2056,9877.3888357498
Hlavní město Praha,Saldo migrace,2057,9880.2490256768
Hlavní město Praha,Saldo migrace,2058,9894.8958920987
Hlavní město Praha,Saldo migrace,2059,9916.2217178474
Hlavní město Praha,Saldo migrace,2060,9939.0679602293
Hlavní město Praha,Saldo migrace,2061,9956.7266984256
