Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
2024;HUZ celkem;Praha;Ostatní americké země;Počet přenocování;
2024;HUZ celkem;Praha;Ostatní americké země;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Čína;Počet hostů;
2024;HUZ celkem;Praha;Čína;Počet přenocování;
2024;HUZ celkem;Praha;Čína;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Indie;Počet hostů;
2024;HUZ celkem;Praha;Indie;Počet přenocování;
2024;HUZ celkem;Praha;Indie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Izrael;Počet hostů;
2024;HUZ celkem;Praha;Izrael;Počet přenocování;
2024;HUZ celkem;Praha;Izrael;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Japonsko;Počet hostů;
2024;HUZ celkem;Praha;Japonsko;Počet přenocování;
2024;HUZ celkem;Praha;Japonsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Korejská republika;Počet hostů;
2024;HUZ celkem;Praha;Korejská republika;Počet přenocování;
2024;HUZ celkem;Praha;Korejská republika;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Tchaj-wan;Počet hostů;
2024;HUZ celkem;Praha;Tchaj-wan;Počet přenocování;
2024;HUZ celkem;Praha;Tchaj-wan;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Saúdská Arábie;Počet hostů;
2024;HUZ celkem;Praha;Saúdská Arábie;Počet přenocování;
2024;HUZ celkem;Praha;Saúdská Arábie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Spojené arabské emiráty;Počet hostů;
2024;HUZ celkem;Praha;Spojené arabské emiráty;Počet přenocování;
2024;HUZ celkem;Praha;Spojené arabské emiráty;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Thajsko;Počet hostů;
2024;HUZ celkem;Praha;Thajsko;Počet přenocování;
2024;HUZ celkem;Praha;Thajsko;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Kazachstán;Počet hostů;
2024;HUZ celkem;Praha;Kazachstán;Počet přenocování;
2024;HUZ celkem;Praha;Kazachstán;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Ostatní asijské země;Počet hostů;
2024;HUZ celkem;Praha;Ostatní asijské země;Počet přenocování;
2024;HUZ celkem;Praha;Ostatní asijské země;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Jižní Afrika;Počet hostů;
2024;HUZ celkem;Praha;Jižní Afrika;Počet přenocování;
2024;HUZ celkem;Praha;Jižní Afrika;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Ostatní africké země;Počet hostů;
2024;HUZ celkem;Praha;Ostatní africké země;Počet přenocování;
2024;HUZ celkem;Praha;Ostatní africké země;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Austrálie;Počet hostů;
2024;HUZ celkem;Praha;Austrálie;Počet přenocování;
2024;HUZ celkem;Praha;Austrálie;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Nový Zéland;Počet hostů;
2024;HUZ celkem;Praha;Nový Zéland;Počet přenocování;
2024;HUZ celkem;Praha;Nový Zéland;Průměrný počet přenocování ;
2024;HUZ celkem;Praha;Oceánie;Počet hostů;
2024;HUZ celkem;Praha;Oceánie;Počet přenocování;
2024;HUZ celkem;Praha;Oceánie;Průměrný počet přenocování ;
