Území,CZ NACE,Ukazatel,Roky,value
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2021,1016851.70712607
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2022,1034359.35177092
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrný evidenční počet zaměstnanců přepočtený ,2023,1059668.37662799
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2008,22033.1380383622
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2009,22699.6007108328
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2010,22947.46383267
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2011,23284.5063836244
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2012,23814.9869176848
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2013,23653.0191965333
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2014,24293.4744377488
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2015,25054.6672896972
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2016,26103.6505023598
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2017,27910.307590292
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2018,30029.7333683599
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2019,32218.867351014
Česko,"H,I,J,L,M,N,O,P,Q,R,S - Služby celkem",Průměrná hrubá měsíční mzda na 1 fyzickou osobu (Kč),2020,33712.6462651313
