Stát;Kumulace měsíců;Ukazatel;Směr výstavby;value
Česko;01-02 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;18854.0
Česko;01-02 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;25761.0
Česko;01-02 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;19347.0
Česko;01-02 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;6414.0
Česko;01-02 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;29459.0
Česko;01-02 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;17019.0
Česko;01-02 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;12440.0
Česko;01-02 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;19091.0
Česko;01-02 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-02 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01 2025;Počet stavebních povolení v ČR;Celkem;4391.0
Česko;01 2025;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01 2025;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01 2025;Počet vydaných stavebních povolení - budovy;Celkem;2648.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy;Nová výstavba;1307.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;1341.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy bytové;Celkem;1602.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;794.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;808.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy nebytové;Celkem;1046.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;513.0
Česko;01 2025;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;533.0
Česko;01 2025;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;1743.0
Česko;01 2025;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01 2025;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;28744.0
Česko;01 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01 2025;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;22427.0
Česko;01 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;16170.0
Česko;01 2025;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;6257.0
Česko;01 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;12718.0
Česko;01 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;9623.0
Česko;01 2025;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;3095.0
Česko;01 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;9709.0
Česko;01 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;6547.0
Česko;01 2025;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;3162.0
Česko;01 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;6317.0
Česko;01 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01 2025;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-12 2024;Počet stavebních povolení v ČR;Celkem;72053.0
Česko;01-12 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-12 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy;Celkem;42113.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;19320.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;22789.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;24258.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;11056.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;13200.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;17852.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;8262.0
Česko;01-12 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;9593.0
Česko;01-12 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;29948.0
Česko;01-12 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-12 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-12 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;579706.0
Česko;01-12 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-12 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-12 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;371771.0
Česko;01-12 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;258359.0
Česko;01-12 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;112787.0
Česko;01-12 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;183448.0
Česko;01-12 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;145789.0
Česko;01-12 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;37184.0
Česko;01-12 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;188323.0
Česko;01-12 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;112720.0
Česko;01-12 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;75603.0
Česko;01-12 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;208596.0
Česko;01-12 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-12 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-11 2024;Počet stavebních povolení v ČR;Celkem;66992.0
Česko;01-11 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-11 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy;Celkem;39106.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;17989.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;21117.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;22586.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;10309.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;12277.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;16520.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;7680.0
Česko;01-11 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;8840.0
Česko;01-11 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;27886.0
Česko;01-11 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-11 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-11 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;501094.0
Česko;01-11 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-11 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-11 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;344375.0
Česko;01-11 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;240046.0
Česko;01-11 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;104329.0
Česko;01-11 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;168015.0
Česko;01-11 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;133857.0
Česko;01-11 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;34158.0
Česko;01-11 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;176360.0
Česko;01-11 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;106189.0
Česko;01-11 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;70171.0
Česko;01-11 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;156719.0
Česko;01-11 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-11 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-10 2024;Počet stavebních povolení v ČR;Celkem;61579.0
Česko;01-10 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-10 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy;Celkem;35971.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;16576.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;19395.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;20860.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;9512.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;11348.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;15111.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;7064.0
Česko;01-10 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;8047.0
Česko;01-10 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;25608.0
Česko;01-10 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-10 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-10 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;458018.0
Česko;01-10 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-10 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-10 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;309323.0
Česko;01-10 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;213857.0
Česko;01-10 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;95466.0
Česko;01-10 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;146560.0
Česko;01-10 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;115273.0
Česko;01-10 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;31287.0
Česko;01-10 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;162763.0
Česko;01-10 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;98584.0
Česko;01-10 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;64179.0
Česko;01-10 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;148695.0
Česko;01-10 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-10 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-09 2024;Počet stavebních povolení v ČR;Celkem;55449.0
Česko;01-09 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-09 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy;Celkem;32513.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;14917.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;17596.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;18846.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;8551.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;10295.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;13667.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;6366.0
Česko;01-09 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;7301.0
Česko;01-09 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;22936.0
Česko;01-09 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-09 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-09 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;414567.0
Česko;01-09 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-09 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-09 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;281385.0
Česko;01-09 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;195477.0
Česko;01-09 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;85908.0
Česko;01-09 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;133637.0
Česko;01-09 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;105478.0
Česko;01-09 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;28159.0
Česko;01-09 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;147748.0
Česko;01-09 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;89999.0
Česko;01-09 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;57749.0
Česko;01-09 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;133182.0
Česko;01-09 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-09 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-08 2024;Počet stavebních povolení v ČR;Celkem;49427.0
Česko;01-08 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-08 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy;Celkem;28889.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;13169.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;15720.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;16678.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;7525.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;9153.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;12211.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;5644.0
Česko;01-08 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;6567.0
Česko;01-08 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;20538.0
Česko;01-08 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-08 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-08 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;369427.0
Česko;01-08 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-08 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-08 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;243344.0
Česko;01-08 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;167338.0
Česko;01-08 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;76006.0
Česko;01-08 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;113272.0
Česko;01-08 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;88573.0
Česko;01-08 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;24699.0
Česko;01-08 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;130072.0
Česko;01-08 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;78765.0
Česko;01-08 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;51307.0
Česko;01-08 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;126083.0
Česko;01-08 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-08 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-07 2024;Počet stavebních povolení v ČR;Celkem;43266.0
Česko;01-07 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-07 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy;Celkem;25276.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;11505.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;13771.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;14587.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;6547.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;8040.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;10689.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;4958.0
Česko;01-07 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;5731.0
Česko;01-07 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;17990.0
Česko;01-07 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-07 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-07 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;318884.0
Česko;01-07 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-07 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-07 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;215299.0
Česko;01-07 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;150244.0
Česko;01-07 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;65055.0
Česko;01-07 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;99693.0
Česko;01-07 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;78165.0
Česko;01-07 2024;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;21528.0
Česko;01-07 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;115606.0
Česko;01-07 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;72079.0
Česko;01-07 2024;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;43527.0
Česko;01-07 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;103585.0
Česko;01-07 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;01-07 2024;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-06 2024;Počet stavebních povolení v ČR;Celkem;37208.0
Česko;01-06 2024;Počet stavebních povolení v ČR;Nová výstavba;
Česko;01-06 2024;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy;Celkem;21542.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy;Nová výstavba;9786.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy;Změny dokončených staveb;11756.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy bytové;Celkem;12448.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy bytové;Nová výstavba;5577.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;6871.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy nebytové;Celkem;9094.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;4209.0
Česko;01-06 2024;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;4885.0
Česko;01-06 2024;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;15666.0
Česko;01-06 2024;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;01-06 2024;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;01-06 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;279574.0
Česko;01-06 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;01-06 2024;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;01-06 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;185138.0
Česko;01-06 2024;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;127688.0
