Ukazatel;Území;Roky;value
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2016;13312.718
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2015;12703.901
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2014;12824.903
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2013;10032.341
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2012;11096.648
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2011;12640.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2010;13210.163
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2009;14358.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2008;17014.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2007;18020.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2006;18156.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2005;16062.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2004;20574.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2003;16379.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2002;13117.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2001;10152.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;2000;9761.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;1999;8522.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Plzeňský kraj;1998;9966.0
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2023;13592.41
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2022;11495.503
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2021;7684.909
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2020;6524.108
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2019;6798.491
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2018;7228.78
"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";Karlovarský kraj;2017;5603.32
