Stát;Roky;Ukazatel;Směr výstavby;value
Česko;2019;Počet vydaných stavebních povolení - budovy bytové;Změny dokončených staveb;13529.0
Česko;2019;Počet vydaných stavebních povolení - budovy nebytové;Celkem;16404.0
Česko;2019;Počet vydaných stavebních povolení - budovy nebytové;Nová výstavba;6555.0
Česko;2019;Počet vydaných stavebních povolení - budovy nebytové;Změny dokončených staveb;9849.0
Česko;2019;Počet vydaných stavebních povolení - inženýrské stavby;Celkem;
Česko;2019;Počet vydaných stavebních povolení - inženýrské stavby;Nová výstavba;
Česko;2019;Počet vydaných stavebních povolení - inženýrské stavby;Změny dokončených staveb;
Česko;2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Celkem;414320.0
Česko;2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Nová výstavba;
Česko;2019;Orientační hodnota stavebních povolení (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Celkem;258842.0
Česko;2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Nová výstavba;178374.0
Česko;2019;Orientační hodnota stavby - budovy (mil. Kč, b.c.);Změny dokončených staveb;80468.0
Česko;2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Celkem;129912.0
Česko;2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Nová výstavba;105378.0
Česko;2019;Orientační hodnota staveb - budovy bytové (mil. Kč, b.c.);Změny dokončených staveb;24534.0
Česko;2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Celkem;128930.0
Česko;2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Nová výstavba;72996.0
Česko;2019;Orientační hodnota staveb - budovy nebytové (mil. Kč, b.c.);Změny dokončených staveb;55934.0
Česko;2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Celkem;
Česko;2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Nová výstavba;
Česko;2019;Orientační hodnota stavby - inženýrské stavby (mil. Kč, b.c.);Změny dokončených staveb;
Česko;2018;Počet stavebních povolení v ČR;Celkem;81174.0
Česko;2018;Počet stavebních povolení v ČR;Nová výstavba;
Česko;2018;Počet stavebních povolení v ČR;Změny dokončených staveb;
Česko;2018;Počet vydaných stavebních povolení - budovy;Celkem;47115.0
