Rok sčítání;Území;Ukazatel;Druh domu;value
2021;Královéhradecký kraj;Počet domů;Domy celkem;142677
2021;Královéhradecký kraj;Počet domů;Rodinné domy;128674
2021;Královéhradecký kraj;Počet domů;Bytové domy;11049
2021;Královéhradecký kraj;Počet domů;Ostatní budovy;2954
2021;Královéhradecký kraj;Počet obydlených domů;Domy celkem;116863
2021;Královéhradecký kraj;Počet obydlených domů;Rodinné domy;103494
2021;Královéhradecký kraj;Počet obydlených domů;Bytové domy;10853
2021;Královéhradecký kraj;Počet obydlených domů;Ostatní budovy;2516
2021;Pardubický kraj;Počet domů;Domy celkem;137176
2021;Pardubický kraj;Počet domů;Rodinné domy;125812
2021;Pardubický kraj;Počet domů;Bytové domy;8912
2021;Pardubický kraj;Počet domů;Ostatní budovy;2452
2021;Pardubický kraj;Počet obydlených domů;Domy celkem;113293
2021;Pardubický kraj;Počet obydlených domů;Rodinné domy;102415
2021;Pardubický kraj;Počet obydlených domů;Bytové domy;8861
2021;Pardubický kraj;Počet obydlených domů;Ostatní budovy;2017
2021;Kraj Vysočina;Počet domů;Domy celkem;143143
2021;Kraj Vysočina;Počet domů;Rodinné domy;133225
2021;Kraj Vysočina;Počet domů;Bytové domy;7728
2021;Kraj Vysočina;Počet domů;Ostatní budovy;2190
2021;Kraj Vysočina;Počet obydlených domů;Domy celkem;114230
2021;Kraj Vysočina;Počet obydlených domů;Rodinné domy;104741
2021;Kraj Vysočina;Počet obydlených domů;Bytové domy;7661
2021;Kraj Vysočina;Počet obydlených domů;Ostatní budovy;1828
2021;Jihomoravský kraj;Počet domů;Domy celkem;276562
2021;Jihomoravský kraj;Počet domů;Rodinné domy;251558
2021;Jihomoravský kraj;Počet domů;Bytové domy;20735
2021;Jihomoravský kraj;Počet domů;Ostatní budovy;4269
2021;Jihomoravský kraj;Počet obydlených domů;Domy celkem;241367
2021;Jihomoravský kraj;Počet obydlených domů;Rodinné domy;217044
2021;Jihomoravský kraj;Počet obydlených domů;Bytové domy;20634
2021;Jihomoravský kraj;Počet obydlených domů;Ostatní budovy;3689
2021;Olomoucký kraj;Počet domů;Domy celkem;145651
2021;Olomoucký kraj;Počet domů;Rodinné domy;131422
2021;Olomoucký kraj;Počet domů;Bytové domy;11700
2021;Olomoucký kraj;Počet domů;Ostatní budovy;2529
2021;Olomoucký kraj;Počet obydlených domů;Domy celkem;126126
2021;Olomoucký kraj;Počet obydlených domů;Rodinné domy;112416
2021;Olomoucký kraj;Počet obydlených domů;Bytové domy;11594
2021;Olomoucký kraj;Počet obydlených domů;Ostatní budovy;2116
2021;Zlínský kraj;Počet domů;Domy celkem;147205
2021;Zlínský kraj;Počet domů;Rodinné domy;137372
2021;Zlínský kraj;Počet domů;Bytové domy;7799
2021;Zlínský kraj;Počet domů;Ostatní budovy;2034
2021;Zlínský kraj;Počet obydlených domů;Domy celkem;125469
2021;Zlínský kraj;Počet obydlených domů;Rodinné domy;116014
2021;Zlínský kraj;Počet obydlených domů;Bytové domy;7763
2021;Zlínský kraj;Počet obydlených domů;Ostatní budovy;1692
2021;Moravskoslezský kraj;Počet domů;Domy celkem;211854
2021;Moravskoslezský kraj;Počet domů;Rodinné domy;184225
2021;Moravskoslezský kraj;Počet domů;Bytové domy;23937
2021;Moravskoslezský kraj;Počet domů;Ostatní budovy;3692
2021;Moravskoslezský kraj;Počet obydlených domů;Domy celkem;190881
2021;Moravskoslezský kraj;Počet obydlených domů;Rodinné domy;163913
2021;Moravskoslezský kraj;Počet obydlených domů;Bytové domy;23767
2021;Moravskoslezský kraj;Počet obydlených domů;Ostatní budovy;3201
