Území;Ukazatel;Odvětví CZ-NACE;Roky;value
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2024;4422
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2023;3882
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2022;3366
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2021;3239
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2020;3598
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2019;4470
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2018;4431
Česko;Počet registrací ekonomických subjektů;I Ubytování, stravování a pohostinství;2017;4841
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2024;6184
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2023;5405
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2022;5275
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2021;4723
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2020;4047
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2019;4317
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2018;4639
Česko;Počet registrací ekonomických subjektů;J Informační a komunikační činnosti;2017;4619
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2024;26169
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2023;22733
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2022;23434
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2021;22486
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2020;17998
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2019;20101
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2018;29032
Česko;Počet registrací ekonomických subjektů;K-N Finanční služby/další služby;2017;28094
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2024;15808
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2023;12669
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2022;11676
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2021;9076
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2020;9348
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2019;10432
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2018;9568
Česko;Počet registrací ekonomických subjektů;P-S (bez S94) Osobní služby;2017;9177
