Ukazatel,Typ údaje,Území,CZ-COICOP,Měsíce,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",srpen 2024,131.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",září 2024,132.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",říjen 2024,132.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",listopad 2024,132.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",prosinec 2024,132.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",leden 2025,132.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",únor 2025,133.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",březen 2025,133.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",duben 2025,134.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",květen 2025,133.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",červen 2025,134.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",červenec 2025,134.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,"Bytové vybavení, zařízení domácnosti; opravy",srpen 2025,133.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,srpen 2024,150.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,září 2024,149.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,říjen 2024,149.6
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,listopad 2024,149.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,prosinec 2024,148.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,leden 2025,150.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,únor 2025,151.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Zdraví,březen 2025,152.1
