Území;Kumulace čtvrtletí;Ukazatel;value
Česko;Q1-Q4 2001;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);101.1
Česko;Q1-Q4 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);14378.0
Česko;Q1-Q4 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2001;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.8
Česko;Q1-Q4 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);4068.1
Česko;Q1-Q4 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2001;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);101.4
Česko;Q1-Q4 2001;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);13914.0
Česko;Q1-Q4 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2001;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.4
Česko;Q1 2002;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3809.9
Česko;Q1 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);98.7
Česko;Q1 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);14083.0
Česko;Q1 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);107.9
Česko;Q1 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3942.9
Česko;Q1 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.9
Česko;Q1 2002;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);13608.0
Česko;Q1 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.8
Česko;Q1-Q2 2002;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3826.4
Česko;Q1-Q2 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);98.0
Česko;Q1-Q2 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);14844.0
Česko;Q1-Q2 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q2 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.1
Česko;Q1-Q2 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3960.0
Česko;Q1-Q2 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q2 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);98.1
Česko;Q1-Q2 2002;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);14343.0
Česko;Q1-Q2 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q2 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.0
Česko;Q1-Q3 2002;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3832.9
Česko;Q1-Q3 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);97.8
Česko;Q1-Q3 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);14986.0
Česko;Q1-Q3 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q3 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.1
Česko;Q1-Q3 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3966.3
Česko;Q1-Q3 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q3 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);97.9
Česko;Q1-Q3 2002;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);14482.0
Česko;Q1-Q3 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q3 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);108.0
Česko;Q1-Q4 2002;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3836.5
Česko;Q1-Q4 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2002;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);97.5
Česko;Q1-Q4 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);15524.0
Česko;Q1-Q4 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1-Q4 2002;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);108.0
Česko;Q1-Q4 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3970.6
Česko;Q1-Q4 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob);
Česko;Q1-Q4 2002;Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%);97.6
Česko;Q1-Q4 2002;Průměrná hrubá měsíční mzda na fyzické osoby (Kč);15000.0
Česko;Q1-Q4 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč);
Česko;Q1-Q4 2002;Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%);107.8
Česko;Q1 2003;Průměrný evidenční počet zaměstnanců přepočtený (tis. osob);3807.7
Česko;Q1 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob);
Česko;Q1 2003;Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%);99.9
Česko;Q1 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč);14986.0
Česko;Q1 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč);
Česko;Q1 2003;Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%);106.4
Česko;Q1 2003;Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob);3935.4
