Kumulace čtvrtletí;Ukazatel;ČR, kraje;Státní občanství;value
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Ústecký kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Liberecký kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Královéhradecký kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Pardubický kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Kraj Vysočina;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Jihomoravský kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Olomoucký kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Zlínský kraj;Vietnam;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Celkem;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Česko;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Filipíny;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Indie;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Mongolsko;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Rusko;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Slovensko;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Ukrajina;
Q1-Q4 2024;Přistěhovalí z ciziny;Moravskoslezský kraj;Vietnam;
