Roky,"ČR, kraje",Ukazatel,value
2023,Liberecký kraj,Přímé náklady - mzdy za vykonanou práci,246.7911434363
2023,Liberecký kraj,Přímé náklady - náhrady mzdy,32.3428795394
2023,Liberecký kraj,Nepřímé náklady - sociální požitky,3.5085181535
2023,Liberecký kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,95.8983580271
2023,Liberecký kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.0053010287
2023,Liberecký kraj,Nepřímé náklady - personální náklady/výdaje,3.2829285612
2023,Liberecký kraj,Nepřímé náklady - daně a dotace,-0.793365048
2023,Královéhradecký kraj,Náklady práce celkem,384.466834059
2023,Královéhradecký kraj,Přímé náklady celkem,277.647933905
2023,Královéhradecký kraj,Přímé náklady - mzdy za vykonanou práci,245.7415465782
2023,Královéhradecký kraj,Přímé náklady - náhrady mzdy,31.9063873268
2023,Královéhradecký kraj,Nepřímé náklady - sociální požitky,4.1066991552
2023,Královéhradecký kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,95.4704340054
2023,Královéhradecký kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,4.9345395074
2023,Královéhradecký kraj,Nepřímé náklady - personální náklady/výdaje,3.516392567
2023,Královéhradecký kraj,Nepřímé náklady - daně a dotace,-1.2091650811
2023,Pardubický kraj,Náklady práce celkem,373.4442252872
2023,Pardubický kraj,Přímé náklady celkem,268.7617445344
2023,Pardubický kraj,Přímé náklady - mzdy za vykonanou práci,236.8625291143
2023,Pardubický kraj,Přímé náklady - náhrady mzdy,31.8992154201
2023,Pardubický kraj,Nepřímé náklady - sociální požitky,4.1112127942
2023,Pardubický kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,92.2041758744
2023,Pardubický kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.0867672947
2023,Pardubický kraj,Nepřímé náklady - personální náklady/výdaje,3.8576224164
2023,Pardubický kraj,Nepřímé náklady - daně a dotace,-0.577297627
2023,Kraj Vysočina,Náklady práce celkem,385.1088118802
2023,Kraj Vysočina,Přímé náklady celkem,278.0956672389
2023,Kraj Vysočina,Přímé náklady - mzdy za vykonanou práci,245.4572067805
2023,Kraj Vysočina,Přímé náklady - náhrady mzdy,32.6384604584
2023,Kraj Vysočina,Nepřímé náklady - sociální požitky,4.2455443668
2023,Kraj Vysočina,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,95.191966944
2023,Kraj Vysočina,Nepřímé náklady - sociální náklady/výdaje - ostatní ,4.94074887
2023,Kraj Vysočina,Nepřímé náklady - personální náklady/výdaje,3.2148382119
2023,Kraj Vysočina,Nepřímé náklady - daně a dotace,-0.5799537514
2023,Jihomoravský kraj,Náklady práce celkem,404.4208233564
2023,Jihomoravský kraj,Přímé náklady celkem,292.8949975723
2023,Jihomoravský kraj,Přímé náklady - mzdy za vykonanou práci,260.0131217071
2023,Jihomoravský kraj,Přímé náklady - náhrady mzdy,32.8818758652
2023,Jihomoravský kraj,Nepřímé náklady - sociální požitky,3.9150574116
2023,Jihomoravský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,100.2660686538
2023,Jihomoravský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,4.770148923
2023,Jihomoravský kraj,Nepřímé náklady - personální náklady/výdaje,2.9651411409
2023,Jihomoravský kraj,Nepřímé náklady - daně a dotace,-0.3905903453
2023,Olomoucký kraj,Náklady práce celkem,374.8317164053
2023,Olomoucký kraj,Přímé náklady celkem,270.4136329812
2023,Olomoucký kraj,Přímé náklady - mzdy za vykonanou práci,238.3430457788
2023,Olomoucký kraj,Přímé náklady - náhrady mzdy,32.0705872024
2023,Olomoucký kraj,Nepřímé náklady - sociální požitky,3.6108619509
2023,Olomoucký kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,92.4930019595
2023,Olomoucký kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,6.0248909611
2023,Olomoucký kraj,Nepřímé náklady - personální náklady/výdaje,3.1152149744
2023,Olomoucký kraj,Nepřímé náklady - daně a dotace,-0.8258864217
2023,Zlínský kraj,Náklady práce celkem,381.4973072739
2023,Zlínský kraj,Přímé náklady celkem,275.5304953843
2023,Zlínský kraj,Přímé náklady - mzdy za vykonanou práci,243.4849815293
2023,Zlínský kraj,Přímé náklady - náhrady mzdy,32.045513855
2023,Zlínský kraj,Nepřímé náklady - sociální požitky,3.6675131792
2023,Zlínský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,94.6080968025
2023,Zlínský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.1998912571
2023,Zlínský kraj,Nepřímé náklady - personální náklady/výdaje,2.9343892932
2023,Zlínský kraj,Nepřímé náklady - daně a dotace,-0.4430786424
2023,Moravskoslezský kraj,Náklady práce celkem,383.2637912694
2023,Moravskoslezský kraj,Přímé náklady celkem,276.7041885037
2023,Moravskoslezský kraj,Přímé náklady - mzdy za vykonanou práci,244.9976759136
2023,Moravskoslezský kraj,Přímé náklady - náhrady mzdy,31.7065125901
2023,Moravskoslezský kraj,Nepřímé náklady - sociální požitky,4.0389167447
2023,Moravskoslezský kraj,Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného,94.7496763039
2023,Moravskoslezský kraj,Nepřímé náklady - sociální náklady/výdaje - ostatní ,5.776093043
2023,Moravskoslezský kraj,Nepřímé náklady - personální náklady/výdaje,3.2638223334
2023,Moravskoslezský kraj,Nepřímé náklady - daně a dotace,-1.2689056593
