Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Roky;value
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2018;102.0
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2019;88.8
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2020;95.3
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2021;164.1
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2022;108.0
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2023;80.0
Index vývozních cen (%);Meziroční index;Česko;"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...";2024;107.9
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2015;96.0
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2016;99.7
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2017;100.1
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2018;104.2
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2019;115.0
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2020;101.9
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2021;99.4
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2022;112.4
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2023;112.4
Index vývozních cen (%);Meziroční index;Česko;INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY;2024;99.9
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2015;94.1
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2016;95.6
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2017;99.4
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2018;105.8
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2019;102.3
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2020;100.8
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2021;114.2
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2022;136.0
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2023;77.9
Index vývozních cen (%);Meziroční index;Česko;Produkty zemědělství a myslivosti a související služby;2024;94.9
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2015;95.5
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2016;91.5
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2017;97.6
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2018;87.7
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2019;83.4
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2020;93.1
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2021;166.6
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2022;135.7
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2023;92.6
Index vývozních cen (%);Meziroční index;Česko;Produkty lesnictví, těžby dřeva a související služby;2024;98.7
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2015;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2016;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2017;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2018;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2019;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2020;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2021;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2022;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2023;
Index vývozních cen (%);Meziroční index;Česko;Černé a hnědé uhlí a lignit;2024;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2015;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2016;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2017;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2018;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2019;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2020;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2021;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2022;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2023;
Index vývozních cen (%);Meziroční index;Česko;Ropa a zemní plyn;2024;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2015;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2016;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2017;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2018;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2019;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2020;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2021;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2022;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2023;
Index vývozních cen (%);Meziroční index;Česko;Rudy;2024;
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2015;98.2
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2016;97.3
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2017;99.3
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2018;96.4
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2019;101.3
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2020;109.5
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2021;100.6
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2022;115.1
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2023;121.5
Index vývozních cen (%);Meziroční index;Česko;Ostatní těžba a dobývání nerostných surovin;2024;101.9
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2015;93.9
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2016;97.8
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2017;103.9
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2018;96.4
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2019;102.8
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2020;104.5
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2021;100.4
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2022;114.6
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2023;108.5
Index vývozních cen (%);Meziroční index;Česko;Potravinářské výrobky;2024;102.9
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2015;96.7
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2016;97.1
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2017;95.6
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2018;98.5
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2019;102.2
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2020;105.4
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2021;96.9
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2022;106.1
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2023;116.0
Index vývozních cen (%);Meziroční index;Česko;Nápoje;2024;101.0
Index vývozních cen (%);Meziroční index;Česko;Textilie;2015;99.4
Index vývozních cen (%);Meziroční index;Česko;Textilie;2016;97.7
Index vývozních cen (%);Meziroční index;Česko;Textilie;2017;100.0
Index vývozních cen (%);Meziroční index;Česko;Textilie;2018;101.1
Index vývozních cen (%);Meziroční index;Česko;Textilie;2019;104.1
Index vývozních cen (%);Meziroční index;Česko;Textilie;2020;100.9
Index vývozních cen (%);Meziroční index;Česko;Textilie;2021;102.3
Index vývozních cen (%);Meziroční index;Česko;Textilie;2022;112.2
Index vývozních cen (%);Meziroční index;Česko;Textilie;2023;105.1
Index vývozních cen (%);Meziroční index;Česko;Textilie;2024;99.1
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2015;101.7
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2016;100.2
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2017;97.2
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2018;96.6
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2019;107.4
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2020;104.5
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2021;98.4
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2022;103.8
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2023;100.0
Index vývozních cen (%);Meziroční index;Česko;Oděvy;2024;102.6
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2015;100.4
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2016;98.9
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2017;100.5
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2018;101.1
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2019;113.6
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2020;108.0
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2021;94.6
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2022;96.6
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2023;107.6
Index vývozních cen (%);Meziroční index;Česko;Usně a související výrobky;2024;95.6
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2015;97.5
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2016;97.9
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2017;98.5
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2018;103.2
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2019;99.6
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2020;97.2
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2021;146.2
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2022;109.8
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2023;79.7
Index vývozních cen (%);Meziroční index;Česko;"Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky";2024;101.7
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2015;101.4
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2016;96.7
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2017;99.8
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2018;101.8
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2019;100.8
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2020;95.7
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2021;104.5
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2022;121.4
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2023;95.8
Index vývozních cen (%);Meziroční index;Česko;Papír a výrobky z papíru;2024;100.4
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2015;74.7
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2016;81.4
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2017;116.5
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2018;112.5
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2019;97.3
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2020;71.1
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2021;147.8
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2022;169.5
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2023;80.3
Index vývozních cen (%);Meziroční index;Česko;Koks a rafinované ropné produkty;2024;94.9
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2015;94.0
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2016;93.6
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2017;103.0
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2018;101.2
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2019;98.8
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2020;95.4
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2021;116.1
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2022;122.2
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2023;88.5
Index vývozních cen (%);Meziroční index;Česko;Chemické látky a chemické přípravky;2024;102.3
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2015;97.6
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2016;96.0
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2017;97.9
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2018;94.0
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2019;99.3
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2020;99.5
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2021;97.7
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2022;105.5
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2023;98.4
Index vývozních cen (%);Meziroční index;Česko;Základní farmaceutické výrobky a farmaceutické přípravky;2024;103.8
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2015;98.0
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2016;96.4
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2017;98.9
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2018;98.1
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2019;100.7
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2020;102.0
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2021;101.4
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2022;109.1
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2023;103.4
Index vývozních cen (%);Meziroční index;Česko;Pryžové a plastové výrobky;2024;104.6
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2015;101.1
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2016;99.5
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2017;97.5
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2018;98.4
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2019;101.9
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2020;102.6
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2021;101.0
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2022;112.7
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2023;110.8
Index vývozních cen (%);Meziroční index;Česko;Ostatní nekovové minerální výrobky;2024;100.2
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2015;96.5
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2016;92.1
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2017;111.3
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2018;109.6
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2019;95.4
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2020;93.6
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2021;128.0
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2022;126.9
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2023;86.7
Index vývozních cen (%);Meziroční index;Česko;Základní kovy;2024;97.8
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2015;98.8
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2016;96.9
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2017;99.5
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2018;101.9
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2019;102.5
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2020;101.3
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2021;105.1
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2022;119.7
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2023;98.0
Index vývozních cen (%);Meziroční index;Česko;Kovodělné výrobky, kromě strojů a zařízení;2024;100.3
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2015;99.7
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2016;96.7
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2017;96.0
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2018;95.1
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2019;99.4
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2020;102.1
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2021;98.2
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2022;99.5
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2023;95.2
Index vývozních cen (%);Meziroční index;Česko;Počítače, elektronické a optické přístroje a zařízenÍ;2024;103.6
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2015;98.0
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2016;98.2
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2017;99.9
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2018;98.1
Index vývozních cen (%);Meziroční index;Česko;Elektrická zařízení;2019;99.6
