Stát;Roky;Velkost zpravodajské jednotky;Ukazatel;value
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;101.4503292685
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;4.2056862421
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;2.1240944928
Česko;2023;50 až 99 zaměstnanců;Nepřímé náklady - daně a dotace;-1.0928991226
Česko;2023;100 až 249 zaměstnanců;Náklady práce celkem;428.5588478171
Česko;2023;100 až 249 zaměstnanců;Přímé náklady celkem;310.5706719453
Česko;2023;100 až 249 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;274.7754436728
Česko;2023;100 až 249 zaměstnanců;Přímé náklady - náhrady mzdy;35.7952282725
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - sociální požitky;3.7680230296
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;106.4165769017
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;5.8444666775
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;3.0060758106
Česko;2023;100 až 249 zaměstnanců;Nepřímé náklady - daně a dotace;-1.0469665477
Česko;2023;250 až 499 zaměstnanců;Náklady práce celkem;452.2870517994
Česko;2023;250 až 499 zaměstnanců;Přímé náklady celkem;324.7414776001
Česko;2023;250 až 499 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;287.3696897717
Česko;2023;250 až 499 zaměstnanců;Přímé náklady - náhrady mzdy;37.3717878283
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - sociální požitky;5.9092887042
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;111.2812677774
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;6.8348392335
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;4.3614865915
Česko;2023;250 až 499 zaměstnanců;Nepřímé náklady - daně a dotace;-0.8413081073
Česko;2023;500 až 999 zaměstnanců;Náklady práce celkem;489.6493214572
Česko;2023;500 až 999 zaměstnanců;Přímé náklady celkem;350.7892630995
Česko;2023;500 až 999 zaměstnanců;Přímé náklady - mzdy za vykonanou práci;310.5005073884
Česko;2023;500 až 999 zaměstnanců;Přímé náklady - náhrady mzdy;40.2887557111
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - sociální požitky;6.4684217292
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;120.017920183
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;8.7283604008
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - personální náklady/výdaje;4.9082016634
Česko;2023;500 až 999 zaměstnanců;Nepřímé náklady - daně a dotace;-1.2628456187
Česko;2023;1 000 a více zaměstnanců;Náklady práce celkem;522.6582243115
Česko;2023;1 000 a více zaměstnanců;Přímé náklady celkem;369.4573913395
Česko;2023;1 000 a více zaměstnanců;Přímé náklady - mzdy za vykonanou práci;326.7542108044
Česko;2023;1 000 a více zaměstnanců;Přímé náklady - náhrady mzdy;42.7031805351
Česko;2023;1 000 a více zaměstnanců;Nepřímé náklady - sociální požitky;8.7659811783
Česko;2023;1 000 a více zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - platby zákonného pojistného;126.7864493107
Česko;2023;1 000 a více zaměstnanců;Nepřímé náklady - sociální náklady/výdaje - ostatní ;9.6947027093
Česko;2023;1 000 a více zaměstnanců;Nepřímé náklady - personální náklady/výdaje;8.0579125737
Česko;2023;1 000 a více zaměstnanců;Nepřímé náklady - daně a dotace;-0.1042128
