Území;Typ ceny;Očištění;Roky;Ukazatel;value
Česko;Běžné ceny;Bez očištění;2019;Obrat zboží (meziroční index);101.4552452086
Česko;Běžné ceny;Bez očištění;2018;Vývoz (v mil. Kč, FOB);3616240.056958
Česko;Běžné ceny;Bez očištění;2018;Dovoz (v mil. Kč, CIF);3517774.233125
Česko;Běžné ceny;Bez očištění;2018;Bilance (v mil. Kč);98465.823833
Česko;Běžné ceny;Bez očištění;2018;Obrat zboží (v mil. Kč);7134014.290083
Česko;Běžné ceny;Bez očištění;2018;Vývoz (meziroční index);102.9418083572
Česko;Běžné ceny;Bez očištění;2018;Dovoz (meziroční index);105.026036361
Česko;Běžné ceny;Bez očištění;2018;Obrat zboží (meziroční index);103.9590982825
Česko;Běžné ceny;Bez očištění;2017;Vývoz (v mil. Kč, FOB);3512897.349161
Česko;Běžné ceny;Bez očištění;2017;Dovoz (v mil. Kč, CIF);3349431.001235
Česko;Běžné ceny;Bez očištění;2017;Bilance (v mil. Kč);163466.347926
Česko;Běžné ceny;Bez očištění;2017;Obrat zboží (v mil. Kč);6862328.350396
Česko;Běžné ceny;Bez očištění;2017;Vývoz (meziroční index);106.4802705296
Česko;Běžné ceny;Bez očištění;2017;Dovoz (meziroční index);106.8245079237
Česko;Běžné ceny;Bez očištění;2017;Obrat zboží (meziroční index);106.6480116148
Česko;Běžné ceny;Bez očištění;2016;Vývoz (v mil. Kč, FOB);3299106.33368
Česko;Běžné ceny;Bez očištění;2016;Dovoz (v mil. Kč, CIF);3135451.841844
Česko;Běžné ceny;Bez očištění;2016;Bilance (v mil. Kč);163654.491836
Česko;Běžné ceny;Bez očištění;2016;Obrat zboží (v mil. Kč);6434558.175524
Česko;Běžné ceny;Bez očištění;2016;Vývoz (meziroční index);101.1074296542
Česko;Běžné ceny;Bez očištění;2016;Dovoz (meziroční index);100.1103896329
Česko;Běžné ceny;Bez očištění;2016;Obrat zboží (meziroční index);100.6191199477
Česko;Běžné ceny;Bez očištění;2015;Vývoz (v mil. Kč, FOB);3262971.222752
Česko;Běžné ceny;Bez očištění;2015;Dovoz (v mil. Kč, CIF);3131994.444675
Česko;Běžné ceny;Bez očištění;2015;Bilance (v mil. Kč);130976.778077
Česko;Běžné ceny;Bez očištění;2015;Obrat zboží (v mil. Kč);6394965.667427
Česko;Běžné ceny;Bez očištění;2015;Vývoz (meziroční index);103.6
Česko;Běžné ceny;Bez očištění;2015;Dovoz (meziroční index);104.3
Česko;Běžné ceny;Bez očištění;2015;Obrat zboží (meziroční index);103.9
