ČR a kraje;Ukazatel;Roky;value
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2018;104064.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2017;130079.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2016;179582.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - muži;2015;217433.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2024;150490.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2023;136646.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2022;132981.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2021;121334.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2020;136960.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2019;98368.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2018;106648.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2017;129850.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2016;180588.0
Česko;Uchazeči o zaměstnání v evidenci ÚP - dosažitelní - ženy;2015;219114.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2024;39078.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2023;37322.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2022;36874.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2021;37915.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2020;38615.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2019;33726.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2018;38268.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2017;46009.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2016;54555.0
Česko;Uchazeči o zaměstnání v evidenci ÚP se zdravotním postižením;2015;58584.0
Česko;Podíl nezaměstnaných osob - celkem (%);2024;4.10108897
Česko;Podíl nezaměstnaných osob - celkem (%);2023;3.7308018
Česko;Podíl nezaměstnaných osob - celkem (%);2022;3.72304342
Česko;Podíl nezaměstnaných osob - celkem (%);2021;3.4858685
Česko;Podíl nezaměstnaných osob - celkem (%);2020;4.01607851
Česko;Podíl nezaměstnaných osob - celkem (%);2019;2.8683713
Česko;Podíl nezaměstnaných osob - celkem (%);2018;3.07069214
Česko;Podíl nezaměstnaných osob - celkem (%);2017;3.77029827
Česko;Podíl nezaměstnaných osob - celkem (%);2016;5.18604656
Česko;Podíl nezaměstnaných osob - celkem (%);2015;6.23556975
Česko;Pracovní místa v evidenci ÚP celkem;2024;246573.0
Česko;Pracovní místa v evidenci ÚP celkem;2023;271789.0
Česko;Pracovní místa v evidenci ÚP celkem;2022;288647.0
Česko;Pracovní místa v evidenci ÚP celkem;2021;343148.0
Česko;Pracovní místa v evidenci ÚP celkem;2020;318582.0
Česko;Pracovní místa v evidenci ÚP celkem;2019;340957.0
Česko;Pracovní místa v evidenci ÚP celkem;2018;324410.0
Česko;Pracovní místa v evidenci ÚP celkem;2017;216629.0
Česko;Pracovní místa v evidenci ÚP celkem;2016;132496.0
Česko;Pracovní místa v evidenci ÚP celkem;2015;102545.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2024;44846.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2023;49251.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2022;55472.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2021;61461.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2020;57040.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2019;70085.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2018;73068.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2017;55953.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2016;38640.0
Česko;Pracovní místa v evidenci ÚP pro absolventy a mladistvé;2015;29684.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2024;11042.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2023;9755.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2022;10450.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2021;12885.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2020;11246.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2019;11600.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2018;13514.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2017;13022.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2016;11331.0
Česko;Pracovní místa v evidenci ÚP pro osoby se zdravotním postižením;2015;9642.0
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2024;
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2023;1.02736681764163
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2022;0.941644985050945
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2021;0.752366325900195
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2020;0.91648931829168
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2019;0.632138363488651
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2018;0.713707962146666
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2017;1.29539443010862
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2016;2.87837368675281
Česko;Počet uchazečů o zaměstnání v evidenci ÚP na 1 pracovní místo;2015;4.4187234872495
