Ukazatel;Rok sčítání;Pohlaví;Území;Bydliště rok před sčítáním;value
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;V zahraničí;1485
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;z toho ve Slovenské republice;104
Počet obyvatel (obvyklý pobyt);2021;Celkem;Kraj Vysočina;Nezjištěno;1225
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Obyvatelstvo celkem;1197651
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;V obci obvyklého pobytu;1138379
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;V jiné obci okresu;11855
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;V jiném okrese kraje;15490
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;V jiném kraji;9714
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;V ČR, místo nezjištěno;137
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;V zahraničí;5957
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;z toho ve Slovenské republice;702
Počet obyvatel (obvyklý pobyt);2021;Celkem;Jihomoravský kraj;Nezjištěno;3069
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Obyvatelstvo celkem;619788
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;V obci obvyklého pobytu;588048
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;V jiné obci okresu;10942
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;V jiném okrese kraje;3560
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;V jiném kraji;6575
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;V ČR, místo nezjištěno;82
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;V zahraničí;2284
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;z toho ve Slovenské republice;201
Počet obyvatel (obvyklý pobyt);2021;Celkem;Olomoucký kraj;Nezjištěno;1891
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Obyvatelstvo celkem;564331
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;V obci obvyklého pobytu;537510
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;V jiné obci okresu;8911
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;V jiném okrese kraje;2644
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;V jiném kraji;5346
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;V ČR, místo nezjištěno;56
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;V zahraničí;2311
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;z toho ve Slovenské republice;255
Počet obyvatel (obvyklý pobyt);2021;Celkem;Zlínský kraj;Nezjištěno;1852
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Obyvatelstvo celkem;1162841
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;V obci obvyklého pobytu;1109641
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;V jiné obci okresu;14085
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;V jiném okrese kraje;12363
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;V jiném kraji;7255
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;V ČR, místo nezjištěno;157
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;V zahraničí;4794
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;z toho ve Slovenské republice;525
Počet obyvatel (obvyklý pobyt);2021;Celkem;Moravskoslezský kraj;Nezjištěno;2919
