Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu členěné;Ukazatel;Rezidence;value
2023;HUZ celkem;Šumava západ;Průměrný počet přenocování ;Celkem;3.0181815136
2023;HUZ celkem;Šumava západ;Průměrný počet přenocování ;Rezidenti;3.077601773
2023;HUZ celkem;Šumava západ;Průměrný počet přenocování ;Nerezidenti;2.4981420229
2023;HUZ celkem;Jižní Plzeňsko;Počet hostů;Celkem;9001.0
2023;HUZ celkem;Jižní Plzeňsko;Počet hostů;Rezidenti;7417.0
2023;HUZ celkem;Jižní Plzeňsko;Počet hostů;Nerezidenti;1584.0
2023;HUZ celkem;Jižní Plzeňsko;Počet přenocování;Celkem;24444.0
2023;HUZ celkem;Jižní Plzeňsko;Počet přenocování;Rezidenti;20590.0
2023;HUZ celkem;Jižní Plzeňsko;Počet přenocování;Nerezidenti;3854.0
2023;HUZ celkem;Jižní Plzeňsko;Průměrný počet přenocování ;Celkem;2.7156982557
2023;HUZ celkem;Jižní Plzeňsko;Průměrný počet přenocování ;Rezidenti;2.7760550088
2023;HUZ celkem;Jižní Plzeňsko;Průměrný počet přenocování ;Nerezidenti;2.4330808081
2023;HUZ celkem;Šumava žije;Počet hostů;Celkem;
2023;HUZ celkem;Šumava žije;Počet hostů;Rezidenti;
2023;HUZ celkem;Šumava žije;Počet hostů;Nerezidenti;
2023;HUZ celkem;Šumava žije;Počet přenocování;Celkem;
2023;HUZ celkem;Šumava žije;Počet přenocování;Rezidenti;
2023;HUZ celkem;Šumava žije;Počet přenocování;Nerezidenti;
2023;HUZ celkem;Šumava žije;Průměrný počet přenocování ;Celkem;
2023;HUZ celkem;Šumava žije;Průměrný počet přenocování ;Rezidenti;
2023;HUZ celkem;Šumava žije;Průměrný počet přenocování ;Nerezidenti;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet hostů;Celkem;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet hostů;Rezidenti;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet hostů;Nerezidenti;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet přenocování;Celkem;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet přenocování;Rezidenti;
2023;HUZ celkem;Plzeň a okolí jihozápad;Počet přenocování;Nerezidenti;
2023;HUZ celkem;Plzeň a okolí jihozápad;Průměrný počet přenocování ;Celkem;
2023;HUZ celkem;Plzeň a okolí jihozápad;Průměrný počet přenocování ;Rezidenti;
2023;HUZ celkem;Plzeň a okolí jihozápad;Průměrný počet přenocování ;Nerezidenti;
2023;HUZ celkem;Rokycansko - Horažďovicko;Počet hostů;Celkem;
2023;HUZ celkem;Rokycansko - Horažďovicko;Počet hostů;Rezidenti;
2023;HUZ celkem;Rokycansko - Horažďovicko;Počet hostů;Nerezidenti;
2023;HUZ celkem;Rokycansko - Horažďovicko;Počet přenocování;Celkem;
2023;HUZ celkem;Rokycansko - Horažďovicko;Počet přenocování;Rezidenti;
2023;HUZ celkem;Rokycansko - Horažďovicko;Počet přenocování;Nerezidenti;
2023;HUZ celkem;Rokycansko - Horažďovicko;Průměrný počet přenocování ;Celkem;
2023;HUZ celkem;Rokycansko - Horažďovicko;Průměrný počet přenocování ;Rezidenti;
2023;HUZ celkem;Rokycansko - Horažďovicko;Průměrný počet přenocování ;Nerezidenti;
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Počet hostů;Celkem;159440.0
2023;HUZ celkem;Krušnohoří - Karlovarský kraj;Počet hostů;Rezidenti;108614.0
