Roky;Realizace stavby;Území;Ukazatel;value
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";159.594
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";1770.15
2023;Místo realizace stavby;Liberecký kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";5874.119
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";17417.455
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";2144.494
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";2601.332
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";3830.965
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";7036.747
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";103.992
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";1699.925
2023;Místo realizace stavby;Královéhradecký kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";8202.978
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";23601.576
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku - bytové budovy (mil. Kč, b.c.)";2966.335
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy nevýrobní (mil. Kč, b.c.)";3126.498
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku - nebytové budovy výrobní (mil. Kč, b.c.)";3594.034
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku - inženýrské stavby (mil. Kč, b.c.)";11410.189
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku - vodohospodářské stavby (mil. Kč, b.c.)";77.019
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku - opravy a údržba (mil. Kč, b.c.)";2427.501
2023;Místo realizace stavby;Pardubický kraj;"Stavební práce ""S"" v tuzemsku pro veřejné zadavatele (mil. Kč, b.c.)";13554.528
2023;Místo realizace stavby;Kraj Vysočina;"Stavební práce ""S"" v tuzemsku (mil. Kč, b.c.)";17117.349
