Území,Ukazatel,Typ indexu,Očištění,CZ-NACE,Roky,value
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2006,100.0395539139
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2005,96.7747329251
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2004,97.965412085
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2003,99.4009547713
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2002,97.624330085
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2001,98.4726356782
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a dobývání,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2024,99.4818383761
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2023,100.2253909455
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2022,102.62697345
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2021,107.0902791108
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2020,93.2830319847
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2019,99.95413188
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2018,103.3402777052
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2017,106.946885564
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2016,104.0735391212
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2015,105.5045693865
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2014,106.6781327029
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2013,100.7582115307
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2012,99.3001117645
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2011,107.5432560059
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2010,110.0087748334
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2009,84.736231106
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2008,98.5425557795
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2007,112.3809771817
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2006,109.4698854393
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2005,105.161556916
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2004,112.8102992385
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2003,103.2818211163
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2002,102.3540401897
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2001,109.1358273276
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Zpracovatelský průmysl,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2024,98.5241420769
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2023,88.864837631
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2022,97.687082275
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2021,103.9922830498
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2020,93.420301676
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2019,99.6285837617
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2018,101.4454102107
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2017,104.6954210175
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2016,100.9276759392
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2015,97.2646021018
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2014,97.0001855665
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2013,98.4871140497
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2012,99.4563998544
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2011,98.4684324955
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2010,104.6355068406
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2009,96.0835932698
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2008,95.4356033294
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2007,101.6235673513
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2006,103.1093533236
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2005,98.0412637088
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2004,100.9650755439
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2003,108.3470777169
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2002,102.5635928604
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2001,101.7888510774
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,"Výroba a rozvod elektřiny, plynu, tepla a klimatizovaného vzduchu",2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2024,88.2486503135
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2023,83.4089585319
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2022,104.7904716533
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2021,98.817242362
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2020,73.0176659414
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2019,91.9635625602
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2018,95.6380573251
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2017,96.3260744651
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2016,95.509845143
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2015,98.4395546706
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2014,95.8856639785
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2013,85.8146818376
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2012,95.6693347053
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2011,100.3740504982
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2010,98.1584765047
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2009,93.5567563696
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2008,97.5228563714
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2007,98.0810285699
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2006,100.8202475501
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2005,100.0278374248
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2004,97.0642446898
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2003,97.7350388324
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2002,95.7334989606
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2001,101.6650645284
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava černého a hnědého uhlí,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2024,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2023,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2022,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2021,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2020,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2019,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2018,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2017,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2016,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2015,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2014,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2013,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2012,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2011,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2010,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2009,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2008,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2007,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2006,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2005,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2004,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2003,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2002,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2001,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba ropy a zemního plynu,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2024,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2023,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2022,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2021,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2020,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2019,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2018,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2017,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2016,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2015,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2014,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2013,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2012,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2011,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2010,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2009,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2008,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2007,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2006,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2005,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2004,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2003,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2002,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2001,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Těžba a úprava rud,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2024,100.8149771238
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2023,83.1126552707
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2022,98.39781247
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2021,112.1480706446
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2020,91.1869156855
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2019,101.3601545053
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2018,109.3492151775
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2017,106.0954467678
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2016,94.6869069061
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2015,98.1265199567
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2014,108.0285846459
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2013,95.2611831485
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2012,85.3679778151
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2011,97.7294168856
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2010,118.5371695534
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2009,84.8687464607
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2008,102.5984426047
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2007,93.8391193264
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2006,109.258383795
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2005,105.1689652345
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2004,103.8083090367
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2003,117.7662586378
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2002,99.3394555962
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2001,110.7483070698
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Ostatní těžba a dobývání,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2024,100.9054537864
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2023,105.7142066494
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2022,103.6331686525
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2021,99.4859599993
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2020,93.3752558489
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2019,99.3421462114
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2018,103.3508968764
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2017,112.9235473495
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2016,77.6546994946
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2015,84.9570555743
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2014,84.2127285726
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2013,95.6075774564
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2012,120.8428546535
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2011,126.4532789549
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2010,84.1431303045
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2009,98.3036550542
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2008,75.5073992556
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2007,110.0310744989
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2006,79.5407247532
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2005,55.6522444976
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2004,107.2945567305
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2003,97.8368497873
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2002,82.7410942035
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2001,104.3835931665
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Podpůrné činnosti při těžbě,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2024,104.223209478
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2023,98.0150285351
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2022,99.153375785
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2021,104.5499947555
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2020,100.5167632633
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2019,101.4386719057
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2018,103.6593490067
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2017,101.1892636245
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2016,100.8598549431
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2015,104.623753172
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2014,103.9022519829
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2013,98.8323197982
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2012,98.8882458925
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2011,96.7452442732
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2010,100.3115405931
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2009,102.4456701226
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2008,88.2032479543
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2007,103.6631886216
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2006,100.2835623009
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2005,97.7609031777
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2004,104.4958407312
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2003,98.8444123379
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2002,100.4866711867
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2001,107.5732531236
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba potravinářských výrobků,2000,
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2024,104.3983851856
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2023,95.7235241327
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2022,107.9001429716
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2021,103.1999477885
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2020,90.5708479644
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2019,99.6688777868
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2018,105.1338175638
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2017,102.7535772483
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2016,98.7326708652
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2015,103.1897178578
Česko,Index průmyslové produkce,Meziroční index,Bez očištění,Výroba nápojů,2014,101.7969405669
