Ukazatel;Druh nemovitosti;Typ údaje;Území;Roky;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2022;253.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Pardubický kraj;2023;233.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2016;111.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2017;130.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2018;147.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2019;159.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2020;184.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2021;228.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2022;273.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Kraj Vysočina;2023;266.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2016;113.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2017;130.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2018;142.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2019;154.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2020;176.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2021;218.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2022;257.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihomoravský kraj;2023;237.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2016;116.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2017;128.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2018;146.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2019;155.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2020;177.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2021;214.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2022;254.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Olomoucký kraj;2023;236.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2016;113.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2017;126.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2018;148.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2019;164.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2020;178.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Zlínský kraj;2021;221.7
