Regiony;Roky (regiony soudržnosti);Pohlaví;Věk (roky);Ukazatel;value
Střední Čechy;2023;muži;19;Naděje dožití (ex);58.27566096
Střední Čechy;2023;muži;20;Počet zemřelých (Dx);3.0
Střední Čechy;2023;muži;20;Počet obyvatel (Px);6949.0
Střední Čechy;2023;muži;20;Míra úmrtnosti (mx);0.000462945
Střední Čechy;2023;muži;20;Pravděpodobnost úmrtí (qx);0.000462838
Střední Čechy;2023;muži;20;Tabulkový počet dožívajících (lx);99465.01441
Střední Čechy;2023;muži;20;Tabulkový počet zemřelých (dx);46.03613903
Střední Čechy;2023;muži;20;Tabulkový počet žijících (Lx);99441.99634
Střední Čechy;2023;muži;20;Pomocný ukazatel (Tx);5699220.412
Střední Čechy;2023;muži;20;Naděje dožití (ex);57.29874414
Střední Čechy;2023;muži;21;Počet zemřelých (Dx);2.0
Střední Čechy;2023;muži;21;Počet obyvatel (Px);6852.0
Střední Čechy;2023;muži;21;Míra úmrtnosti (mx);0.00052452
Střední Čechy;2023;muži;21;Pravděpodobnost úmrtí (qx);0.000524382
Střední Čechy;2023;muži;21;Tabulkový počet dožívajících (lx);99418.97827
Střední Čechy;2023;muži;21;Tabulkový počet zemřelých (dx);52.13352623
Střední Čechy;2023;muži;21;Tabulkový počet žijících (Lx);99392.91151
Střední Čechy;2023;muži;21;Pomocný ukazatel (Tx);5599778.416
Střední Čechy;2023;muži;21;Naděje dožití (ex);56.32504491
Střední Čechy;2023;muži;22;Počet zemřelých (Dx);7.0
Střední Čechy;2023;muži;22;Počet obyvatel (Px);6683.0
Střední Čechy;2023;muži;22;Míra úmrtnosti (mx);0.000582917
Střední Čechy;2023;muži;22;Pravděpodobnost úmrtí (qx);0.000582747
Střední Čechy;2023;muži;22;Tabulkový počet dožívajících (lx);99366.84475
Střední Čechy;2023;muži;22;Tabulkový počet zemřelých (dx);57.90570448
Střední Čechy;2023;muži;22;Tabulkový počet žijících (Lx);99337.8919
Střední Čechy;2023;muži;22;Pomocný ukazatel (Tx);5500385.504
Střední Čechy;2023;muži;22;Naděje dožití (ex);55.35433391
Střední Čechy;2023;muži;23;Počet zemřelých (Dx);4.0
Střední Čechy;2023;muži;23;Počet obyvatel (Px);6343.0
Střední Čechy;2023;muži;23;Míra úmrtnosti (mx);0.00063807
Střední Čechy;2023;muži;23;Pravděpodobnost úmrtí (qx);0.000637866
Střední Čechy;2023;muži;23;Tabulkový počet dožívajících (lx);99308.93904
Střední Čechy;2023;muži;23;Tabulkový počet zemřelých (dx);63.34580365
Střední Čechy;2023;muži;23;Tabulkový počet žijících (Lx);99277.26614
Střední Čechy;2023;muži;23;Pomocný ukazatel (Tx);5401047.612
