Území,Odvětví CZ-NACE,Ukazatel,Roky,value
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2009,3149975.08032863
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2010,3293017.91773663
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2011,3439762.14213011
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2012,3484128.15796511
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2013,3533013.04822829
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2014,3652983.39980214
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2015,3752354.31643371
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2016,3772953.4849838
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2017,3997561.09504119
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2018,4161368.77366151
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2019,4298477.00727429
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2020,4232447.52839737
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2021,5064428.53670052
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2022,6201450.20706826
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží (mil. Kč),2023,5881669.752842259
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2008,5167.0510788291
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2009,4602.3441790598
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2010,4811.6182087512
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2011,4910.1967479677
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2012,4901.1891438014
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2013,4999.4400262331
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2014,5179.9888130766
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2015,5293.6360298686
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2016,5392.5568211424
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2017,5654.9461130602
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2018,5821.5565842107
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2019,5961.863683271
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2020,5822.2881158095
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2021,6812.6026016768
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2022,8306.3592024451
Česko,G Obchod,Tržby z prodeje výrobků a služeb a za prodej zboží na 1 zaměstnanou osobu (tis. Kč),2023,7942.6909877191
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2008,235390.184716433
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2009,224894.594854541
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2010,244763.862948658
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2011,254953.396383201
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2012,266037.017369989
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2013,277347.86809145
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2014,279792.198331172
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2015,286709.139078732
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2016,285534.514881778
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2017,300530.2230694
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2018,306842.276714896
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2019,326153.796237615
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2020,316964.950829914
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2021,346916.892644585
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2022,397939.394799979
Česko,G Obchod,Tržby z prodeje výrobků a služeb (mil. Kč),2023,410014.4620718819
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2008,3307899.64939937
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2009,2925080.48547409
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2010,3048254.05478798
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2011,3184808.74574691
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2012,3218091.14059511
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2013,3255665.18013684
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2014,3373191.20147096
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2015,3465645.17735498
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2016,3487418.97010202
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2017,3697030.87197178
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2018,3854526.49694661
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2019,3972323.21103668
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2020,3915482.57756746
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2021,4717511.64405594
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2022,5803510.81226831
Česko,G Obchod,Tržby za prodej zboží (mil. Kč),2023,5471655.290770377
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2008,98134.1920828055
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2009,89120.3938085928
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2010,83563.3757064175
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2011,88132.2102850525
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2012,83909.2067511374
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2013,88097.9150432191
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2014,98529.9508270632
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2015,129008.08800881
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2016,139717.244198633
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2017,161183.466945117
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2018,163887.605934965
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2019,169716.462711719
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2020,165741.641544868
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2021,189536.625643792
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2022,248021.314774164
Česko,G Obchod,Ostatní provozní výnosy (mil. Kč),2023,232821.9239800067
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2008,773331.250927406
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2009,701292.42478228
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2010,738102.590101941
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2011,758812.320004197
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2012,760851.436700716
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2013,767362.468282247
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2014,798337.807210906
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2015,834054.428443838
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2016,864413.179160113
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2017,927875.467337825
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2018,976331.789978269
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2019,1024693.9860067
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2020,1024211.20512562
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2021,1167510.70562828
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2022,1339821.6804808
Česko,G Obchod,Výkony včetně obchodní marže (mil. Kč),2023,1343402.446373299
Česko,G Obchod,Náklady celkem (mil. Kč),2008,3620550.4655504
Česko,G Obchod,Náklady celkem (mil. Kč),2009,3232253.71253585
Česko,G Obchod,Náklady celkem (mil. Kč),2010,3347731.07866825
Česko,G Obchod,Náklady celkem (mil. Kč),2011,3500648.87853831
Česko,G Obchod,Náklady celkem (mil. Kč),2012,3549607.8719842
Česko,G Obchod,Náklady celkem (mil. Kč),2013,3608938.51722365
Česko,G Obchod,Náklady celkem (mil. Kč),2014,3714214.29770464
Česko,G Obchod,Náklady celkem (mil. Kč),2015,3815254.49131982
Česko,G Obchod,Náklady celkem (mil. Kč),2016,3829272.64328402
Česko,G Obchod,Náklady celkem (mil. Kč),2017,4074218.73203714
Česko,G Obchod,Náklady celkem (mil. Kč),2018,4245550.2024499
Česko,G Obchod,Náklady celkem (mil. Kč),2019,4397258.29337305
Česko,G Obchod,Náklady celkem (mil. Kč),2020,4340725.74075561
Česko,G Obchod,Náklady celkem (mil. Kč),2021,5132066.11205381
Česko,G Obchod,Náklady celkem (mil. Kč),2022,6546424.11149466
Česko,G Obchod,Náklady celkem (mil. Kč),2023,6280579.566261728
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2008,427128.139250724
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2009,399869.162529698
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2010,418609.0707339
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2011,431965.051938032
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2012,438986.85847749
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2013,442337.473749721
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2014,450243.185942872
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2015,454829.220237812
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2016,469742.110934931
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2017,495599.412236931
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2018,512991.41716527
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2019,537402.487162844
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2020,531809.911485211
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2021,587982.700929403
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2022,686132.48138482
Česko,G Obchod,Spotřeba materiálu a energie a náklady na služby (mil. Kč),2023,699559.4362335607
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2008,55.2322356996
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2009,57.0188908933
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2010,56.7142124073
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2011,56.9264679224
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2012,57.6967903723
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2013,57.6438765294
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2014,56.3975778018
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2015,54.5323188424
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2016,54.3423124797
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2017,53.4122767206
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2018,52.5427341843
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2019,52.4451684602
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2020,51.9238521141
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2021,50.3620821715
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2022,51.2107313518
Česko,G Obchod,Podíl spotřeby materiálu a energie a nákladů na služby na výkonech (%),2023,52.0737056957
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2008,2776280.78732799
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2009,2453399.69443942
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2010,2561184.46664961
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2011,2688236.47553111
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2012,2730344.90060083
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2013,2770767.1448454
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2014,2863657.8222932
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2015,2925920.42350478
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2016,2916223.46532706
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2017,3078697.54904214
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2018,3194756.85156537
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2019,3281861.830909
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2020,3216824.36567598
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2021,3908754.95657856
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2022,4874069.38186453
Česko,G Obchod,Náklady vynaložené na prodané zboží (mil. Kč),2023,4549677.414800397
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2008,105510.3990143
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2009,99940.6550675873
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2010,91862.4562531389
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2011,97195.0077532118
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2012,89027.4630260755
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2013,91520.2966372016
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2014,101460.478753931
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2015,128332.716817193
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2016,133157.321609646
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2017,150921.846198611
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2018,153974.23851998
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2019,155528.367581712
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2020,143982.269533181
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2021,164947.748257511
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2022,232967.47364915
Česko,G Obchod,Ostatní provozní náklady (mil. Kč),2023,219353.7153526755
Česko,G Obchod,Osobní náklady (mil. Kč),2008,178686.091545154
Česko,G Obchod,Osobní náklady (mil. Kč),2009,174480.837351211
Česko,G Obchod,Osobní náklady (mil. Kč),2010,177698.832645215
Česko,G Obchod,Osobní náklady (mil. Kč),2011,183397.868380297
Česko,G Obchod,Osobní náklady (mil. Kč),2012,187837.844033482
Česko,G Obchod,Osobní náklady (mil. Kč),2013,186588.284651748
Česko,G Obchod,Osobní náklady (mil. Kč),2014,192868.883222755
Česko,G Obchod,Osobní náklady (mil. Kč),2015,201844.987636347
Česko,G Obchod,Osobní náklady (mil. Kč),2016,215924.140557081
Česko,G Obchod,Osobní náklady (mil. Kč),2017,236672.758068772
Česko,G Obchod,Osobní náklady (mil. Kč),2018,260472.741211136
Česko,G Obchod,Osobní náklady (mil. Kč),2019,279957.831287638
Česko,G Obchod,Osobní náklady (mil. Kč),2020,283224.040435133
Česko,G Obchod,Osobní náklady (mil. Kč),2021,306600.997187984
Česko,G Obchod,Osobní náklady (mil. Kč),2022,338293.822233707
Česko,G Obchod,Osobní náklady (mil. Kč),2023,358759.7391590568
Česko,G Obchod,Mzdy bez OON (mil. Kč),2008,129630.662157718
Česko,G Obchod,Mzdy bez OON (mil. Kč),2009,128414.233619309
