SO ORP,Pětileté období (SO ORP),Pohlaví,Věk (roky),Ukazatel,value
Praha,2020-2024,muži,11,Pravděpodobnost úmrtí (qx),7.30248e-05
Praha,2020-2024,muži,11,Tabulkový počet dožívajících (lx),99755.2810236377
Praha,2020-2024,muži,11,Tabulkový počet zemřelých (dx),7.2846139251
Praha,2020-2024,muži,11,Tabulkový počet žijících (Lx),99751.6387166752
Praha,2020-2024,muži,11,Pomocný ukazatel (Tx),6691767.01772248
Praha,2020-2024,muži,11,Naděje dožití (ex),67.0818321502
Praha,2020-2024,muži,12,Počet zemřelých (Dx),4.0
Praha,2020-2024,muži,12,Počet obyvatel (Px),35917.5
Praha,2020-2024,muži,12,Míra úmrtnosti (mx),9.27865e-05
Praha,2020-2024,muži,12,Pravděpodobnost úmrtí (qx),9.27822e-05
Praha,2020-2024,muži,12,Tabulkový počet dožívajících (lx),99747.9964097127
Praha,2020-2024,muži,12,Tabulkový počet zemřelých (dx),9.2548370354
Praha,2020-2024,muži,12,Tabulkový počet žijících (Lx),99743.368991195
Praha,2020-2024,muži,12,Pomocný ukazatel (Tx),6592015.3790058
Praha,2020-2024,muži,12,Naděje dožití (ex),66.0866946332
Praha,2020-2024,muži,13,Počet zemřelých (Dx),5.0
Praha,2020-2024,muži,13,Počet obyvatel (Px),35265.0
Praha,2020-2024,muži,13,Míra úmrtnosti (mx),0.0001093059
Praha,2020-2024,muži,13,Pravděpodobnost úmrtí (qx),0.0001092999
Praha,2020-2024,muži,13,Tabulkový počet dožívajících (lx),99738.7415726773
Praha,2020-2024,muži,13,Tabulkový počet zemřelých (dx),10.9014322422
Praha,2020-2024,muži,13,Tabulkový počet žijících (Lx),99733.2908565562
Praha,2020-2024,muži,13,Pomocný ukazatel (Tx),6492272.01001461
Praha,2020-2024,muži,13,Naděje dožití (ex),65.0927804747
Praha,2020-2024,muži,14,Počet zemřelých (Dx),3.0
Praha,2020-2024,muži,14,Počet obyvatel (Px),33865.5
Praha,2020-2024,muži,14,Míra úmrtnosti (mx),0.0001287164
Praha,2020-2024,muži,14,Pravděpodobnost úmrtí (qx),0.0001287081
Praha,2020-2024,muži,14,Tabulkový počet dožívajících (lx),99727.8401404351
Praha,2020-2024,muži,14,Tabulkový počet zemřelých (dx),12.8357848176
Praha,2020-2024,muži,14,Tabulkový počet žijících (Lx),99721.4222480263
Praha,2020-2024,muži,14,Pomocný ukazatel (Tx),6392538.71915805
Praha,2020-2024,muži,14,Naděje dožití (ex),64.0998412295
Praha,2020-2024,muži,15,Počet zemřelých (Dx),5.0
Praha,2020-2024,muži,15,Počet obyvatel (Px),32180.5
Praha,2020-2024,muži,15,Míra úmrtnosti (mx),0.0001614531
Praha,2020-2024,muži,15,Pravděpodobnost úmrtí (qx),0.0001614401
Praha,2020-2024,muži,15,Tabulkový počet dožívajících (lx),99715.0043556175
Praha,2020-2024,muži,15,Tabulkový počet zemřelých (dx),16.0980013793
Praha,2020-2024,muži,15,Tabulkový počet žijících (Lx),99706.9553549278
Praha,2020-2024,muži,15,Pomocný ukazatel (Tx),6292817.29691003
Praha,2020-2024,muži,15,Naděje dožití (ex),63.1080281004
Praha,2020-2024,muži,16,Počet zemřelých (Dx),7.0
Praha,2020-2024,muži,16,Počet obyvatel (Px),30856.0
