Ukazatel;Území;Klasifikace CZ-CPA;Typ údaje;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2024;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2024;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2025;99.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2025;101.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2025;100.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2025;101.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2015;100.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2015;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2015;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2015;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;květen 2015;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červen 2015;100.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;červenec 2015;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;srpen 2015;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;září 2015;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;říjen 2015;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;listopad 2015;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;prosinec 2015;99.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;leden 2016;99.8
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;únor 2016;99.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;březen 2016;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziroční index;duben 2016;100.2
