Typ indexu;Ukazatel;Očištění;Území;CZ NACE;Čtvrtletí;value
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2011;95.877813159
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2011;97.9690985821
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2012;99.2959322887
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2012;98.4223292538
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2012;100.5134660585
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2012;98.3908923582
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);1. čtvrtletí 2013;98.5235280252
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);2. čtvrtletí 2013;98.108788709
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);3. čtvrtletí 2013;97.4943788496
Meziroční index;Index tržeb bez DPH - stálé ceny (%);Sezónně očištěno, včetně očištění o kalendářní vlivy;Česko;H,I,J,L,M a N SLUŽBY CELKEM (bez CZ-NACE 72 a 75);4. čtvrtletí 2013;100.559170899
