Území,Roky,Odvětví ekonomické činnosti,Ukazatel,value
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců přepočtený - meziroční index (%),100.4281431552
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců (Kč),42203.1444118919
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční rozdíl (Kč),3580.8828733086
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na přepočtené počty zaměstnanců - meziroční index (%),109.2715515111
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců na fyzické osoby (tis. osob),54.5902465938
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční rozdíl (tis. osob),1.1944191901
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrný evidenční počet zaměstnanců na fyzické osoby - meziroční index (%),102.2369148455
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na fyzické osoby (Kč),40690.5943479214
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční rozdíl (Kč),2781.8651071418
Česko,2024,"E - Zásobování vodou; činnosti související s odpadními vodami, odpady a sanacemi",Průměrná hrubá měsíční mzda na fyzické osoby - meziroční index (%),107.3383232909
Česko,2024,F - Stavebnictví,Průměrný evidenční počet zaměstnanců přepočtený (tis. osob),213.1295759972
Česko,2024,F - Stavebnictví,Průměrný evidenční počet zaměstnanců přepočtený - meziroční rozdíl (tis. osob),-4.2327012534
