Území,CZ-NACE,Měsíce,Ukazatel,value
Česko,Průmysl celkem,květen 2024,Meziměsíční index (%) - sezónně očištěno,98.1051505342
Česko,Průmysl celkem,květen 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,duben 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,104.15406186
Česko,Průmysl celkem,duben 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,100.83069576
Česko,Průmysl celkem,duben 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.7644467
Česko,Průmysl celkem,duben 2024,Meziroční index (%) - neočištěno,109.9330050412
Česko,Průmysl celkem,duben 2024,Meziroční index (%) - očištěno o kalendářní vlivy,100.4117911822
Česko,Průmysl celkem,duben 2024,Meziměsíční index (%) - sezónně očištěno,100.3979392539
Česko,Průmysl celkem,duben 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,březen 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,103.51502636
Česko,Průmysl celkem,březen 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,108.6737925
Česko,Průmysl celkem,březen 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.36505475
Česko,Průmysl celkem,březen 2024,Meziroční index (%) - neočištěno,89.4195659196
Česko,Průmysl celkem,březen 2024,Meziroční index (%) - očištěno o kalendářní vlivy,97.806392785
Česko,Průmysl celkem,březen 2024,Meziměsíční index (%) - sezónně očištěno,100.3907889349
Česko,Průmysl celkem,březen 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,únor 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,99.39396575
Česko,Průmysl celkem,únor 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,96.48444506
Česko,Průmysl celkem,únor 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,99.97436599
Česko,Průmysl celkem,únor 2024,Meziroční index (%) - neočištěno,102.0050483393
Česko,Průmysl celkem,únor 2024,Meziroční index (%) - očištěno o kalendářní vlivy,99.0190944497
Česko,Průmysl celkem,únor 2024,Meziměsíční index (%) - sezónně očištěno,99.6522055069
Česko,Průmysl celkem,únor 2024,Mezičtvrtletní index (%) - sezónně očištěno,
Česko,Průmysl celkem,leden 2024,Bazický index (průměr roku 2021=100) (%) - neočištěno ,97.92234468
Česko,Průmysl celkem,leden 2024,Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy,96.31114813
Česko,Průmysl celkem,leden 2024,Bazický index (průměr roku 2021=100) (%) - sezónně očištěno,100.32328485
Česko,Průmysl celkem,leden 2024,Meziroční index (%) - neočištěno,100.2532048038
Česko,Průmysl celkem,leden 2024,Meziroční index (%) - očištěno o kalendářní vlivy,100.2421154099
Česko,Průmysl celkem,leden 2024,Meziměsíční index (%) - sezónně očištěno,97.4835566934
