Ukazatel;Území;Rodinný stav ženicha;Věk ženicha (jednoleté skupiny);Roky;value
Sňatky;Česko;Celkem;31;2024;
Sňatky;Česko;Celkem;31;2023;2597.0
Sňatky;Česko;Celkem;31;2022;3029.0
Sňatky;Česko;Celkem;31;2021;2512.0
Sňatky;Česko;Celkem;31;2020;2474.0
Sňatky;Česko;Celkem;31;2019;3022.0
Sňatky;Česko;Celkem;31;2018;2941.0
Sňatky;Česko;Celkem;31;2017;3002.0
Sňatky;Česko;Celkem;31;2016;2972.0
Sňatky;Česko;Celkem;31;2015;2945.0
Sňatky;Česko;Celkem;31;2014;2814.0
Sňatky;Česko;Celkem;31;2013;2738.0
Sňatky;Česko;Celkem;31;2012;2821.0
Sňatky;Česko;Celkem;31;2011;2885.0
Sňatky;Česko;Celkem;31;2010;3320.0
Sňatky;Česko;Celkem;31;2009;3247.0
Sňatky;Česko;Celkem;31;2008;3471.0
Sňatky;Česko;Celkem;31;2007;3795.0
Sňatky;Česko;Celkem;31;2006;3368.0
Sňatky;Česko;Celkem;31;2005;3151.0
Sňatky;Česko;Celkem;31;2004;2680.0
Sňatky;Česko;Celkem;31;2003;2146.0
Sňatky;Česko;Celkem;31;2002;2108.0
Sňatky;Česko;Celkem;31;2001;1884.0
Sňatky;Česko;Celkem;32;2024;
Sňatky;Česko;Celkem;32;2023;2532.0
Sňatky;Česko;Celkem;32;2022;2724.0
Sňatky;Česko;Celkem;32;2021;2346.0
Sňatky;Česko;Celkem;32;2020;2246.0
Sňatky;Česko;Celkem;32;2019;2749.0
Sňatky;Česko;Celkem;32;2018;2790.0
Sňatky;Česko;Celkem;32;2017;2862.0
Sňatky;Česko;Celkem;32;2016;2801.0
Sňatky;Česko;Celkem;32;2015;2629.0
Sňatky;Česko;Celkem;32;2014;2627.0
Sňatky;Česko;Celkem;32;2013;2388.0
Sňatky;Česko;Celkem;32;2012;2728.0
Sňatky;Česko;Celkem;32;2011;2809.0
Sňatky;Česko;Celkem;32;2010;2818.0
Sňatky;Česko;Celkem;32;2009;2759.0
Sňatky;Česko;Celkem;32;2008;2972.0
Sňatky;Česko;Celkem;32;2007;3296.0
Sňatky;Česko;Celkem;32;2006;2884.0
Sňatky;Česko;Celkem;32;2005;2362.0
Sňatky;Česko;Celkem;32;2004;2076.0
Sňatky;Česko;Celkem;32;2003;1808.0
Sňatky;Česko;Celkem;32;2002;1694.0
Sňatky;Česko;Celkem;32;2001;1506.0
Sňatky;Česko;Celkem;33;2024;
Sňatky;Česko;Celkem;33;2023;2222.0
Sňatky;Česko;Celkem;33;2022;2509.0
Sňatky;Česko;Celkem;33;2021;2041.0
Sňatky;Česko;Celkem;33;2020;2065.0
Sňatky;Česko;Celkem;33;2019;2649.0
Sňatky;Česko;Celkem;33;2018;2569.0
Sňatky;Česko;Celkem;33;2017;2441.0
Sňatky;Česko;Celkem;33;2016;2389.0
Sňatky;Česko;Celkem;33;2015;2365.0
Sňatky;Česko;Celkem;33;2014;2379.0
Sňatky;Česko;Celkem;33;2013;2322.0
Sňatky;Česko;Celkem;33;2012;2531.0
Sňatky;Česko;Celkem;33;2011;2522.0
Sňatky;Česko;Celkem;33;2010;2472.0
Sňatky;Česko;Celkem;33;2009;2607.0
Sňatky;Česko;Celkem;33;2008;2575.0
Sňatky;Česko;Celkem;33;2007;2750.0
Sňatky;Česko;Celkem;33;2006;2205.0
Sňatky;Česko;Celkem;33;2005;1849.0
Sňatky;Česko;Celkem;33;2004;1700.0
Sňatky;Česko;Celkem;33;2003;1498.0
Sňatky;Česko;Celkem;33;2002;1314.0
Sňatky;Česko;Celkem;33;2001;1257.0
Sňatky;Česko;Celkem;34;2024;
Sňatky;Česko;Celkem;34;2023;2014.0
Sňatky;Česko;Celkem;34;2022;2277.0
Sňatky;Česko;Celkem;34;2021;1950.0
Sňatky;Česko;Celkem;34;2020;1886.0
Sňatky;Česko;Celkem;34;2019;2268.0
Sňatky;Česko;Celkem;34;2018;2276.0
Sňatky;Česko;Celkem;34;2017;2280.0
Sňatky;Česko;Celkem;34;2016;2211.0
Sňatky;Česko;Celkem;34;2015;2181.0
Sňatky;Česko;Celkem;34;2014;2195.0
Sňatky;Česko;Celkem;34;2013;2135.0
Sňatky;Česko;Celkem;34;2012;2266.0
Sňatky;Česko;Celkem;34;2011;2170.0
Sňatky;Česko;Celkem;34;2010;2281.0
Sňatky;Česko;Celkem;34;2009;2132.0
Sňatky;Česko;Celkem;34;2008;2152.0
Sňatky;Česko;Celkem;34;2007;2166.0
Sňatky;Česko;Celkem;34;2006;1751.0
Sňatky;Česko;Celkem;34;2005;1519.0
Sňatky;Česko;Celkem;34;2004;1321.0
Sňatky;Česko;Celkem;34;2003;1155.0
Sňatky;Česko;Celkem;34;2002;1190.0
Sňatky;Česko;Celkem;34;2001;1146.0
Sňatky;Česko;Celkem;35;2024;
Sňatky;Česko;Celkem;35;2023;1827.0
Sňatky;Česko;Celkem;35;2022;2047.0
Sňatky;Česko;Celkem;35;2021;1793.0
Sňatky;Česko;Celkem;35;2020;1683.0
Sňatky;Česko;Celkem;35;2019;2099.0
Sňatky;Česko;Celkem;35;2018;2136.0
Sňatky;Česko;Celkem;35;2017;2047.0
Sňatky;Česko;Celkem;35;2016;1973.0
Sňatky;Česko;Celkem;35;2015;2066.0
Sňatky;Česko;Celkem;35;2014;2080.0
Sňatky;Česko;Celkem;35;2013;1886.0
Sňatky;Česko;Celkem;35;2012;1977.0
Sňatky;Česko;Celkem;35;2011;1940.0
Sňatky;Česko;Celkem;35;2010;1842.0
Sňatky;Česko;Celkem;35;2009;1872.0
Sňatky;Česko;Celkem;35;2008;1760.0
Sňatky;Česko;Celkem;35;2007;1674.0
Sňatky;Česko;Celkem;35;2006;1425.0
Sňatky;Česko;Celkem;35;2005;1199.0
Sňatky;Česko;Celkem;35;2004;1187.0
Sňatky;Česko;Celkem;35;2003;995.0
Sňatky;Česko;Celkem;35;2002;1090.0
Sňatky;Česko;Celkem;35;2001;1018.0
Sňatky;Česko;Celkem;36;2024;
Sňatky;Česko;Celkem;36;2023;1621.0
Sňatky;Česko;Celkem;36;2022;1883.0
Sňatky;Česko;Celkem;36;2021;1555.0
Sňatky;Česko;Celkem;36;2020;1456.0
Sňatky;Česko;Celkem;36;2019;1772.0
Sňatky;Česko;Celkem;36;2018;1909.0
Sňatky;Česko;Celkem;36;2017;1748.0
Sňatky;Česko;Celkem;36;2016;1840.0
Sňatky;Česko;Celkem;36;2015;1908.0
Sňatky;Česko;Celkem;36;2014;1771.0
Sňatky;Česko;Celkem;36;2013;1642.0
Sňatky;Česko;Celkem;36;2012;1709.0
