Ukazatel,Roky,"ČR, kraje",Věk (pětileté skupiny),value
Míry plodnosti,2024,Zlínský kraj,30 - 34,100.8448358
Míry plodnosti,2024,Zlínský kraj,35 - 39,46.83960127
Míry plodnosti,2024,Zlínský kraj,40 - 44,10.74362755
Míry plodnosti,2024,Zlínský kraj,45 - 49,0.507270883
Míry plodnosti,2024,Moravskoslezský kraj,15 - 49,35.04787026
Míry plodnosti,2024,Moravskoslezský kraj,15 - 19,8.046233916
Míry plodnosti,2024,Moravskoslezský kraj,20 - 24,38.25195383
Míry plodnosti,2024,Moravskoslezský kraj,25 - 29,88.28152912
Míry plodnosti,2024,Moravskoslezský kraj,30 - 34,84.96457476
Míry plodnosti,2024,Moravskoslezský kraj,35 - 39,38.21160043
Míry plodnosti,2024,Moravskoslezský kraj,40 - 44,8.600857472
Míry plodnosti,2024,Moravskoslezský kraj,45 - 49,0.71942446
