Území,Země,Čtvrtletí,Ukazatel,value
Česko,Svět celkem,4. čtvrtletí 2023,Bilance - pohyb zboží (v mil. Kč),148647.277173
Česko,Svět celkem,4. čtvrtletí 2023,Obrat - pohyb zboží (v mil. Kč),2796687.216409
Česko,Svět celkem,4. čtvrtletí 2023,Pohyb zboží z ČR (meziroční index ),98.4459892621
Česko,Svět celkem,4. čtvrtletí 2023,Pohyb zboží do ČR (meziroční index),91.437298001
Česko,Svět celkem,4. čtvrtletí 2023,Obrat pohybu zboží (meziroční index),94.9986684483
Česko,Svět celkem,3. čtvrtletí 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",1324616.408532
Česko,Svět celkem,3. čtvrtletí 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",1229620.866037
Česko,Svět celkem,3. čtvrtletí 2023,Bilance - pohyb zboží (v mil. Kč),94995.542495
Česko,Svět celkem,3. čtvrtletí 2023,Obrat - pohyb zboží (v mil. Kč),2554237.274569
Česko,Svět celkem,3. čtvrtletí 2023,Pohyb zboží z ČR (meziroční index ),93.6730639709
Česko,Svět celkem,3. čtvrtletí 2023,Pohyb zboží do ČR (meziroční index),88.3738648974
Česko,Svět celkem,3. čtvrtletí 2023,Obrat pohybu zboží (meziroční index),91.044902717
Česko,Svět celkem,2. čtvrtletí 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",1410723.765427
Česko,Svět celkem,2. čtvrtletí 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",1276758.165441
Česko,Svět celkem,2. čtvrtletí 2023,Bilance - pohyb zboží (v mil. Kč),133965.599986
Česko,Svět celkem,2. čtvrtletí 2023,Obrat - pohyb zboží (v mil. Kč),2687481.930868
Česko,Svět celkem,2. čtvrtletí 2023,Pohyb zboží z ČR (meziroční index ),99.7349045052
Česko,Svět celkem,2. čtvrtletí 2023,Pohyb zboží do ČR (meziroční index),90.4729644587
Česko,Svět celkem,2. čtvrtletí 2023,Obrat pohybu zboží (meziroční index),95.1092926491
Česko,Svět celkem,1. čtvrtletí 2023,"Pohyb zboží z ČR (v mil. Kč, FOB)",1466928.897256
Česko,Svět celkem,1. čtvrtletí 2023,"Pohyb zboží do ČR (v mil. Kč, CIF)",1318088.290022
Česko,Svět celkem,1. čtvrtletí 2023,Bilance - pohyb zboží (v mil. Kč),148840.607234
Česko,Svět celkem,1. čtvrtletí 2023,Obrat - pohyb zboží (v mil. Kč),2785017.187278
Česko,Svět celkem,1. čtvrtletí 2023,Pohyb zboží z ČR (meziroční index ),110.2049830834
Česko,Svět celkem,1. čtvrtletí 2023,Pohyb zboží do ČR (meziroční index),102.9019301396
Česko,Svět celkem,1. čtvrtletí 2023,Obrat pohybu zboží (meziroční index),106.6235990896
Česko,Svět celkem,4. čtvrtletí 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",1495913.909576
Česko,Svět celkem,4. čtvrtletí 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",1448008.633855
Česko,Svět celkem,4. čtvrtletí 2022,Bilance - pohyb zboží (v mil. Kč),47905.275721
Česko,Svět celkem,4. čtvrtletí 2022,Obrat - pohyb zboží (v mil. Kč),2943922.543431
Česko,Svět celkem,4. čtvrtletí 2022,Pohyb zboží z ČR (meziroční index ),114.8105601874
Česko,Svět celkem,4. čtvrtletí 2022,Pohyb zboží do ČR (meziroční index),116.5982530166
Česko,Svět celkem,4. čtvrtletí 2022,Obrat pohybu zboží (meziroční index),115.6829588982
Česko,Svět celkem,3. čtvrtletí 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",1414084.639041
Česko,Svět celkem,3. čtvrtletí 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",1391385.187764
Česko,Svět celkem,3. čtvrtletí 2022,Bilance - pohyb zboží (v mil. Kč),22699.451277
Česko,Svět celkem,3. čtvrtletí 2022,Obrat - pohyb zboží (v mil. Kč),2805469.826805
Česko,Svět celkem,3. čtvrtletí 2022,Pohyb zboží z ČR (meziroční index ),124.588787045
Česko,Svět celkem,3. čtvrtletí 2022,Pohyb zboží do ČR (meziroční index),124.8518129227
Česko,Svět celkem,3. čtvrtletí 2022,Obrat pohybu zboží (meziroční index),124.7190972289
Česko,Svět celkem,2. čtvrtletí 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",1414473.470874
Česko,Svět celkem,2. čtvrtletí 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",1411204.079672
Česko,Svět celkem,2. čtvrtletí 2022,Bilance - pohyb zboží (v mil. Kč),3269.391202
Česko,Svět celkem,2. čtvrtletí 2022,Obrat - pohyb zboží (v mil. Kč),2825677.550546
Česko,Svět celkem,2. čtvrtletí 2022,Pohyb zboží z ČR (meziroční index ),111.9652844006
Česko,Svět celkem,2. čtvrtletí 2022,Pohyb zboží do ČR (meziroční index),121.0683890643
Česko,Svět celkem,2. čtvrtletí 2022,Obrat pohybu zboží (meziroční index),116.333779285
Česko,Svět celkem,1. čtvrtletí 2022,"Pohyb zboží z ČR (v mil. Kč, FOB)",1331091.259409
Česko,Svět celkem,1. čtvrtletí 2022,"Pohyb zboží do ČR (v mil. Kč, CIF)",1280916.974282
Česko,Svět celkem,1. čtvrtletí 2022,Bilance - pohyb zboží (v mil. Kč),50174.285127
Česko,Svět celkem,1. čtvrtletí 2022,Obrat - pohyb zboží (v mil. Kč),2612008.233691
Česko,Svět celkem,1. čtvrtletí 2022,Pohyb zboží z ČR (meziroční index ),108.3320602901
Česko,Svět celkem,1. čtvrtletí 2022,Pohyb zboží do ČR (meziroční index),117.3183189721
Česko,Svět celkem,1. čtvrtletí 2022,Obrat pohybu zboží (meziroční index),112.5601499366
Česko,Svět celkem,4. čtvrtletí 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",1302941.0423
Česko,Svět celkem,4. čtvrtletí 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",1241878.498513
Česko,Svět celkem,4. čtvrtletí 2021,Bilance - pohyb zboží (v mil. Kč),61062.543787
Česko,Svět celkem,4. čtvrtletí 2021,Obrat - pohyb zboží (v mil. Kč),2544819.540813
Česko,Svět celkem,4. čtvrtletí 2021,Pohyb zboží z ČR (meziroční index ),100.3898341797
Česko,Svět celkem,4. čtvrtletí 2021,Pohyb zboží do ČR (meziroční index),110.0501722879
Česko,Svět celkem,4. čtvrtletí 2021,Obrat pohybu zboží (meziroční index),104.8827446096
Česko,Svět celkem,3. čtvrtletí 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",1135001.529897
Česko,Svět celkem,3. čtvrtletí 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",1114429.302381
Česko,Svět celkem,3. čtvrtletí 2021,Bilance - pohyb zboží (v mil. Kč),20572.227516
Česko,Svět celkem,3. čtvrtletí 2021,Obrat - pohyb zboží (v mil. Kč),2249430.832278
Česko,Svět celkem,3. čtvrtletí 2021,Pohyb zboží z ČR (meziroční index ),102.3413056246
Česko,Svět celkem,3. čtvrtletí 2021,Pohyb zboží do ČR (meziroční index),114.6378129654
Česko,Svět celkem,3. čtvrtletí 2021,Obrat pohybu zboží (meziroční index),108.0851098492
Česko,Svět celkem,2. čtvrtletí 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",1263314.319654
Česko,Svět celkem,2. čtvrtletí 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",1165625.55311
Česko,Svět celkem,2. čtvrtletí 2021,Bilance - pohyb zboží (v mil. Kč),97688.766544
Česko,Svět celkem,2. čtvrtletí 2021,Obrat - pohyb zboží (v mil. Kč),2428939.872764
Česko,Svět celkem,2. čtvrtletí 2021,Pohyb zboží z ČR (meziroční index ),135.4679680389
Česko,Svět celkem,2. čtvrtletí 2021,Pohyb zboží do ČR (meziroční index),134.5929695788
Česko,Svět celkem,2. čtvrtletí 2021,Obrat pohybu zboží (meziroční index),135.0466490616
Česko,Svět celkem,1. čtvrtletí 2021,"Pohyb zboží z ČR (v mil. Kč, FOB)",1228714.062896
Česko,Svět celkem,1. čtvrtletí 2021,"Pohyb zboží do ČR (v mil. Kč, CIF)",1091830.317298
Česko,Svět celkem,1. čtvrtletí 2021,Bilance - pohyb zboží (v mil. Kč),136883.745598
Česko,Svět celkem,1. čtvrtletí 2021,Obrat - pohyb zboží (v mil. Kč),2320544.380194
Česko,Svět celkem,1. čtvrtletí 2021,Pohyb zboží z ČR (meziroční index ),111.4657382912
Česko,Svět celkem,1. čtvrtletí 2021,Pohyb zboží do ČR (meziroční index),109.4778908408
Česko,Svět celkem,1. čtvrtletí 2021,Obrat pohybu zboží (meziroční index),110.521527886
Česko,Svět celkem,4. čtvrtletí 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",1297881.456769
Česko,Svět celkem,4. čtvrtletí 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",1128465.746754
Česko,Svět celkem,4. čtvrtletí 2020,Bilance - pohyb zboží (v mil. Kč),169415.710015
Česko,Svět celkem,4. čtvrtletí 2020,Obrat - pohyb zboží (v mil. Kč),2426347.203523
Česko,Svět celkem,4. čtvrtletí 2020,Pohyb zboží z ČR (meziroční index ),111.1543216725
Česko,Svět celkem,4. čtvrtletí 2020,Pohyb zboží do ČR (meziroční index),105.5182328089
Česko,Svět celkem,4. čtvrtletí 2020,Obrat pohybu zboží (meziroční index),108.4599642099
Česko,Svět celkem,3. čtvrtletí 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",1109035.616626
Česko,Svět celkem,3. čtvrtletí 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",972130.637835
Česko,Svět celkem,3. čtvrtletí 2020,Bilance - pohyb zboží (v mil. Kč),136904.978791
Česko,Svět celkem,3. čtvrtletí 2020,Obrat - pohyb zboží (v mil. Kč),2081166.254461
Česko,Svět celkem,3. čtvrtletí 2020,Pohyb zboží z ČR (meziroční index ),98.6231375507
Česko,Svět celkem,3. čtvrtletí 2020,Pohyb zboží do ČR (meziroční index),95.9728746606
Česko,Svět celkem,3. čtvrtletí 2020,Obrat pohybu zboží (meziroční index),97.367191597
Česko,Svět celkem,2. čtvrtletí 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",932555.745792
Česko,Svět celkem,2. čtvrtletí 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",866037.473397
Česko,Svět celkem,2. čtvrtletí 2020,Bilance - pohyb zboží (v mil. Kč),66518.272395
Česko,Svět celkem,2. čtvrtletí 2020,Obrat - pohyb zboží (v mil. Kč),1798593.219189
Česko,Svět celkem,2. čtvrtletí 2020,Pohyb zboží z ČR (meziroční index ),81.0856333842
Česko,Svět celkem,2. čtvrtletí 2020,Pohyb zboží do ČR (meziroční index),84.9487926779
Česko,Svět celkem,2. čtvrtletí 2020,Obrat pohybu zboží (meziroční index),82.9009340276
Česko,Svět celkem,1. čtvrtletí 2020,"Pohyb zboží z ČR (v mil. Kč, FOB)",1102324.428773
Česko,Svět celkem,1. čtvrtletí 2020,"Pohyb zboží do ČR (v mil. Kč, CIF)",997306.678922
Česko,Svět celkem,1. čtvrtletí 2020,Bilance - pohyb zboží (v mil. Kč),105017.749851
Česko,Svět celkem,1. čtvrtletí 2020,Obrat - pohyb zboží (v mil. Kč),2099631.107695
Česko,Svět celkem,1. čtvrtletí 2020,Pohyb zboží z ČR (meziroční index ),96.8902543844
Česko,Svět celkem,1. čtvrtletí 2020,Pohyb zboží do ČR (meziroční index),98.0920651316
Česko,Svět celkem,1. čtvrtletí 2020,Obrat pohybu zboží (meziroční index),97.4574107401
Česko,Svět celkem,4. čtvrtletí 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",1167639.221976
Česko,Svět celkem,4. čtvrtletí 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",1069450.95337
Česko,Svět celkem,4. čtvrtletí 2019,Bilance - pohyb zboží (v mil. Kč),98188.268606
Česko,Svět celkem,4. čtvrtletí 2019,Obrat - pohyb zboží (v mil. Kč),2237090.175346
Česko,Svět celkem,4. čtvrtletí 2019,Pohyb zboží z ČR (meziroční index ),98.6703321758
Česko,Svět celkem,4. čtvrtletí 2019,Pohyb zboží do ČR (meziroční index),98.6139918695
Česko,Svět celkem,4. čtvrtletí 2019,Obrat pohybu zboží (meziroční index),98.6433904112
Česko,Svět celkem,3. čtvrtletí 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",1124518.692235
Česko,Svět celkem,3. čtvrtletí 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",1012922.287962
Česko,Svět celkem,3. čtvrtletí 2019,Bilance - pohyb zboží (v mil. Kč),111596.404273
Česko,Svět celkem,3. čtvrtletí 2019,Obrat - pohyb zboží (v mil. Kč),2137440.980197
Česko,Svět celkem,3. čtvrtletí 2019,Pohyb zboží z ČR (meziroční index ),107.5686115565
Česko,Svět celkem,3. čtvrtletí 2019,Pohyb zboží do ČR (meziroční index),102.7361490144
Česko,Svět celkem,3. čtvrtletí 2019,Obrat pohybu zboží (meziroční index),105.2230961704
Česko,Svět celkem,2. čtvrtletí 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",1150087.514731
Česko,Svět celkem,2. čtvrtletí 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",1019481.791437
Česko,Svět celkem,2. čtvrtletí 2019,Bilance - pohyb zboží (v mil. Kč),130605.723294
Česko,Svět celkem,2. čtvrtletí 2019,Obrat - pohyb zboží (v mil. Kč),2169569.306168
Česko,Svět celkem,2. čtvrtletí 2019,Pohyb zboží z ČR (meziroční index ),104.9306559357
Česko,Svět celkem,2. čtvrtletí 2019,Pohyb zboží do ČR (meziroční index),102.4672328452
Česko,Svět celkem,2. čtvrtletí 2019,Obrat pohybu zboží (meziroční index),103.7585047008
Česko,Svět celkem,1. čtvrtletí 2019,"Pohyb zboží z ČR (v mil. Kč, FOB)",1137704.133173
Česko,Svět celkem,1. čtvrtletí 2019,"Pohyb zboží do ČR (v mil. Kč, CIF)",1016704.743227
Česko,Svět celkem,1. čtvrtletí 2019,Bilance - pohyb zboží (v mil. Kč),120999.389946
Česko,Svět celkem,1. čtvrtletí 2019,Obrat - pohyb zboží (v mil. Kč),2154408.8764
Česko,Svět celkem,1. čtvrtletí 2019,Pohyb zboží z ČR (meziroční index ),105.4375774337
Česko,Svět celkem,1. čtvrtletí 2019,Pohyb zboží do ČR (meziroční index),106.1490101124
Česko,Svět celkem,1. čtvrtletí 2019,Obrat pohybu zboží (meziroční index),105.7721234051
Česko,Svět celkem,4. čtvrtletí 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",1183374.167522
Česko,Svět celkem,4. čtvrtletí 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",1084481.961531
Česko,Svět celkem,4. čtvrtletí 2018,Bilance - pohyb zboží (v mil. Kč),98892.205991
Česko,Svět celkem,4. čtvrtletí 2018,Obrat - pohyb zboží (v mil. Kč),2267856.129053
Česko,Svět celkem,4. čtvrtletí 2018,Pohyb zboží z ČR (meziroční index ),108.9088078995
Česko,Svět celkem,4. čtvrtletí 2018,Pohyb zboží do ČR (meziroční index),109.4340483602
Česko,Svět celkem,4. čtvrtletí 2018,Obrat pohybu zboží (meziroční index),109.1593458181
Česko,Svět celkem,3. čtvrtletí 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",1045396.678421
Česko,Svět celkem,3. čtvrtletí 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",985945.353879
Česko,Svět celkem,3. čtvrtletí 2018,Bilance - pohyb zboží (v mil. Kč),59451.324542
Česko,Svět celkem,3. čtvrtletí 2018,Obrat - pohyb zboží (v mil. Kč),2031342.0323
Česko,Svět celkem,3. čtvrtletí 2018,Pohyb zboží z ČR (meziroční index ),105.0044804328
Česko,Svět celkem,3. čtvrtletí 2018,Pohyb zboží do ČR (meziroční index),108.7245159665
Česko,Svět celkem,3. čtvrtletí 2018,Obrat pohybu zboží (meziroční index),106.7777308992
Česko,Svět celkem,2. čtvrtletí 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",1096045.29246
Česko,Svět celkem,2. čtvrtletí 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",994934.442093
Česko,Svět celkem,2. čtvrtletí 2018,Bilance - pohyb zboží (v mil. Kč),101110.850367
Česko,Svět celkem,2. čtvrtletí 2018,Obrat - pohyb zboží (v mil. Kč),2090979.734553
Česko,Svět celkem,2. čtvrtletí 2018,Pohyb zboží z ČR (meziroční index ),102.0398208919
Česko,Svět celkem,2. čtvrtletí 2018,Pohyb zboží do ČR (meziroční index),104.4060770369
Česko,Svět celkem,2. čtvrtletí 2018,Obrat pohybu zboží (meziroční index),103.1522162861
Česko,Svět celkem,1. čtvrtletí 2018,"Pohyb zboží z ČR (v mil. Kč, FOB)",1079030.987684
Česko,Svět celkem,1. čtvrtletí 2018,"Pohyb zboží do ČR (v mil. Kč, CIF)",957808.972642
Česko,Svět celkem,1. čtvrtletí 2018,Bilance - pohyb zboží (v mil. Kč),121222.015042
Česko,Svět celkem,1. čtvrtletí 2018,Obrat - pohyb zboží (v mil. Kč),2036839.960326
Česko,Svět celkem,1. čtvrtletí 2018,Pohyb zboží z ČR (meziroční index ),99.1477729282
Česko,Svět celkem,1. čtvrtletí 2018,Pohyb zboží do ČR (meziroční index),100.7514751833
Česko,Svět celkem,1. čtvrtletí 2018,Obrat pohybu zboží (meziroční index),99.8954950402
Česko,Svět celkem,4. čtvrtletí 2017,"Pohyb zboží z ČR (v mil. Kč, FOB)",1086573.428123
Česko,Svět celkem,4. čtvrtletí 2017,"Pohyb zboží do ČR (v mil. Kč, CIF)",990991.409464
Česko,Svět celkem,4. čtvrtletí 2017,Bilance - pohyb zboží (v mil. Kč),95582.018659
Česko,Svět celkem,4. čtvrtletí 2017,Obrat - pohyb zboží (v mil. Kč),2077564.837587
Česko,Svět celkem,4. čtvrtletí 2017,Pohyb zboží z ČR (meziroční index ),107.1515583433
Česko,Svět celkem,4. čtvrtletí 2017,Pohyb zboží do ČR (meziroční index),108.2356676233
Česko,Svět celkem,4. čtvrtletí 2017,Obrat pohybu zboží (meziroční index),107.6659528873
Česko,Svět celkem,3. čtvrtletí 2017,"Pohyb zboží z ČR (v mil. Kč, FOB)",995573.402308
Česko,Svět celkem,3. čtvrtletí 2017,"Pohyb zboží do ČR (v mil. Kč, CIF)",906829.111953
Česko,Svět celkem,3. čtvrtletí 2017,Bilance - pohyb zboží (v mil. Kč),88744.290355
Česko,Svět celkem,3. čtvrtletí 2017,Obrat - pohyb zboží (v mil. Kč),1902402.514261
Česko,Svět celkem,3. čtvrtletí 2017,Pohyb zboží z ČR (meziroční index ),105.9247861142
Česko,Svět celkem,3. čtvrtletí 2017,Pohyb zboží do ČR (meziroční index),108.073893945
Česko,Svět celkem,3. čtvrtletí 2017,Obrat pohybu zboží (meziroční index),106.9384508499
Česko,Svět celkem,2. čtvrtletí 2017,"Pohyb zboží z ČR (v mil. Kč, FOB)",1074134.865075
Česko,Svět celkem,2. čtvrtletí 2017,"Pohyb zboží do ČR (v mil. Kč, CIF)",952946.977441
Česko,Svět celkem,2. čtvrtletí 2017,Bilance - pohyb zboží (v mil. Kč),121187.887634
Česko,Svět celkem,2. čtvrtletí 2017,Obrat - pohyb zboží (v mil. Kč),2027081.842516
Česko,Svět celkem,2. čtvrtletí 2017,Pohyb zboží z ČR (meziroční index ),105.4617575191
Česko,Svět celkem,2. čtvrtletí 2017,Pohyb zboží do ČR (meziroční index),108.3739192907
Česko,Svět celkem,2. čtvrtletí 2017,Obrat pohybu zboží (meziroční index),106.8110445073
Česko,Svět celkem,1. čtvrtletí 2017,"Pohyb zboží z ČR (v mil. Kč, FOB)",1088305.824545
Česko,Svět celkem,1. čtvrtletí 2017,"Pohyb zboží do ČR (v mil. Kč, CIF)",950664.965173
Česko,Svět celkem,1. čtvrtletí 2017,Bilance - pohyb zboží (v mil. Kč),137640.859372
Česko,Svět celkem,1. čtvrtletí 2017,Obrat - pohyb zboží (v mil. Kč),2038970.789718
Česko,Svět celkem,1. čtvrtletí 2017,Pohyb zboží z ČR (meziroční index ),108.6571597165
Česko,Svět celkem,1. čtvrtletí 2017,Pohyb zboží do ČR (meziroční index),110.4540504452
Česko,Svět celkem,1. čtvrtletí 2017,Obrat pohybu zboží (meziroční index),109.4876251149
Česko,Svět celkem,4. čtvrtletí 2016,"Pohyb zboží z ČR (v mil. Kč, FOB)",1014052.847129
Česko,Svět celkem,4. čtvrtletí 2016,"Pohyb zboží do ČR (v mil. Kč, CIF)",915586.72961
Česko,Svět celkem,4. čtvrtletí 2016,Bilance - pohyb zboží (v mil. Kč),98466.117519
Česko,Svět celkem,4. čtvrtletí 2016,Obrat - pohyb zboží (v mil. Kč),1929639.576739
Česko,Svět celkem,4. čtvrtletí 2016,Pohyb zboží z ČR (meziroční index ),99.4767700749
Česko,Svět celkem,4. čtvrtletí 2016,Pohyb zboží do ČR (meziroční index),99.2836951123
Česko,Svět celkem,4. čtvrtletí 2016,Obrat pohybu zboží (meziroční index),99.3850651952
Česko,Svět celkem,3. čtvrtletí 2016,"Pohyb zboží z ČR (v mil. Kč, FOB)",939887.101811
Česko,Svět celkem,3. čtvrtletí 2016,"Pohyb zboží do ČR (v mil. Kč, CIF)",839082.482227
Česko,Svět celkem,3. čtvrtletí 2016,Bilance - pohyb zboží (v mil. Kč),100804.619584
Česko,Svět celkem,3. čtvrtletí 2016,Obrat - pohyb zboží (v mil. Kč),1778969.584038
Česko,Svět celkem,3. čtvrtletí 2016,Pohyb zboží z ČR (meziroční index ),99.2037736172
Česko,Svět celkem,3. čtvrtletí 2016,Pohyb zboží do ČR (meziroční index),98.2903359501
Česko,Svět celkem,3. čtvrtletí 2016,Obrat pohybu zboží (meziroční index),98.7708284213
Česko,Svět celkem,2. čtvrtletí 2016,"Pohyb zboží z ČR (v mil. Kč, FOB)",1018506.509225
Česko,Svět celkem,2. čtvrtletí 2016,"Pohyb zboží do ČR (v mil. Kč, CIF)",879313.937964
Česko,Svět celkem,2. čtvrtletí 2016,Bilance - pohyb zboží (v mil. Kč),139192.571261
Česko,Svět celkem,2. čtvrtletí 2016,Obrat - pohyb zboží (v mil. Kč),1897820.447189
Česko,Svět celkem,2. čtvrtletí 2016,Pohyb zboží z ČR (meziroční index ),105.6929081787
Česko,Svět celkem,2. čtvrtletí 2016,Pohyb zboží do ČR (meziroční index),102.7485743633
Česko,Svět celkem,2. čtvrtletí 2016,Obrat pohybu zboží (meziroční index),104.3080103346
Česko,Svět celkem,1. čtvrtletí 2016,"Pohyb zboží z ČR (v mil. Kč, FOB)",1001596.054401
Česko,Svět celkem,1. čtvrtletí 2016,"Pohyb zboží do ČR (v mil. Kč, CIF)",860688.18784
Česko,Svět celkem,1. čtvrtletí 2016,Bilance - pohyb zboží (v mil. Kč),140907.866561
Česko,Svět celkem,1. čtvrtletí 2016,Obrat - pohyb zboží (v mil. Kč),1862284.242241
Česko,Svět celkem,1. čtvrtletí 2016,Pohyb zboží z ČR (meziroční index ),105.1230335714
Česko,Svět celkem,1. čtvrtletí 2016,Pohyb zboží do ČR (meziroční index),101.8157921166
