Kategorie ubytovacího zařízení,Roky,Městské části/obvody statutárních měst,Ukazatel,value
HUZ celkem,2023,Brno-Černovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Černovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-jih,Počet hromadných ubytovacích zařízení,8.0
HUZ celkem,2023,Brno-jih,Počet pokojů v hromadných ubytovacích zařízeních,262.0
HUZ celkem,2023,Brno-jih,Počet lůžek v hromadných ubytovacích zařízeních,525.0
HUZ celkem,2023,Brno-jih,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Bohunice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Brno-Bohunice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Bohunice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Bohunice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Starý Lískovec,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Starý Lískovec,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Starý Lískovec,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Starý Lískovec,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Nový Lískovec,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Nový Lískovec,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Nový Lískovec,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Nový Lískovec,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Kohoutovice,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Brno-Kohoutovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Kohoutovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Kohoutovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Jundrov,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Brno-Jundrov,Počet pokojů v hromadných ubytovacích zařízeních,46.0
HUZ celkem,2023,Brno-Jundrov,Počet lůžek v hromadných ubytovacích zařízeních,104.0
HUZ celkem,2023,Brno-Jundrov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Bystrc,Počet hromadných ubytovacích zařízení,6.0
HUZ celkem,2023,Brno-Bystrc,Počet pokojů v hromadných ubytovacích zařízeních,285.0
HUZ celkem,2023,Brno-Bystrc,Počet lůžek v hromadných ubytovacích zařízeních,602.0
HUZ celkem,2023,Brno-Bystrc,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,200.0
HUZ celkem,2023,Brno-Kníničky,Počet hromadných ubytovacích zařízení,5.0
HUZ celkem,2023,Brno-Kníničky,Počet pokojů v hromadných ubytovacích zařízeních,175.0
HUZ celkem,2023,Brno-Kníničky,Počet lůžek v hromadných ubytovacích zařízeních,378.0
HUZ celkem,2023,Brno-Kníničky,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Komín,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Brno-Komín,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Komín,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Komín,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Medlánky,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Brno-Medlánky,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Medlánky,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Medlánky,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Řečkovice a Mokrá Hora,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Řečkovice a Mokrá Hora,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Řečkovice a Mokrá Hora,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Řečkovice a Mokrá Hora,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Maloměřice a Obřany,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Brno-Maloměřice a Obřany,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Maloměřice a Obřany,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Maloměřice a Obřany,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Vinohrady,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Brno-Vinohrady,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Vinohrady,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Vinohrady,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Líšeň,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Brno-Líšeň,Počet pokojů v hromadných ubytovacích zařízeních,44.0
HUZ celkem,2023,Brno-Líšeň,Počet lůžek v hromadných ubytovacích zařízeních,110.0
HUZ celkem,2023,Brno-Líšeň,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Slatina,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Brno-Slatina,Počet pokojů v hromadných ubytovacích zařízeních,86.0
HUZ celkem,2023,Brno-Slatina,Počet lůžek v hromadných ubytovacích zařízeních,339.0
HUZ celkem,2023,Brno-Slatina,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Tuřany,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Brno-Tuřany,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Tuřany,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Tuřany,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Chrlice,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Brno-Chrlice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Chrlice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Chrlice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Bosonohy,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Bosonohy,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Bosonohy,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Bosonohy,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Žebětín,Počet hromadných ubytovacích zařízení,4.0
HUZ celkem,2023,Brno-Žebětín,Počet pokojů v hromadných ubytovacích zařízeních,140.0
HUZ celkem,2023,Brno-Žebětín,Počet lůžek v hromadných ubytovacích zařízeních,325.0
HUZ celkem,2023,Brno-Žebětín,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Ivanovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Brno-Ivanovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Ivanovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Ivanovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Jehnice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Jehnice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Jehnice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Jehnice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Ořešín,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Ořešín,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Ořešín,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Ořešín,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Brno-Útěchov,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Brno-Útěchov,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Útěchov,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Brno-Útěchov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Nová Bělá,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Nová Bělá,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Nová Bělá,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Nová Bělá,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Vítkovice,Počet hromadných ubytovacích zařízení,5.0
HUZ celkem,2023,Vítkovice,Počet pokojů v hromadných ubytovacích zařízeních,208.0
HUZ celkem,2023,Vítkovice,Počet lůžek v hromadných ubytovacích zařízeních,360.0
HUZ celkem,2023,Vítkovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Stará Bělá,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Stará Bělá,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Stará Bělá,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Stará Bělá,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pustkovec,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Pustkovec,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pustkovec,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pustkovec,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Mariánské Hory a Hulváky,Počet hromadných ubytovacích zařízení,5.0
HUZ celkem,2023,Mariánské Hory a Hulváky,Počet pokojů v hromadných ubytovacích zařízeních,210.0
HUZ celkem,2023,Mariánské Hory a Hulváky,Počet lůžek v hromadných ubytovacích zařízeních,318.0
HUZ celkem,2023,Mariánské Hory a Hulváky,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Petřkovice,Počet hromadných ubytovacích zařízení,6.0
HUZ celkem,2023,Petřkovice,Počet pokojů v hromadných ubytovacích zařízeních,53.0
HUZ celkem,2023,Petřkovice,Počet lůžek v hromadných ubytovacích zařízeních,119.0
HUZ celkem,2023,Petřkovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,95.0
HUZ celkem,2023,Lhotka,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Lhotka,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Lhotka,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Lhotka,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Hošťálkovice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Hošťálkovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Hošťálkovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Hošťálkovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Nová Ves,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Nová Ves,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Nová Ves,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Nová Ves,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Proskovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Proskovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Proskovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Proskovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Michálkovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Michálkovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Michálkovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Michálkovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Radvanice a Bartovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Radvanice a Bartovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Radvanice a Bartovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Radvanice a Bartovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Krásné Pole,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Krásné Pole,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Krásné Pole,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Krásné Pole,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Martinov,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Martinov,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Martinov,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Martinov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Polanka nad Odrou,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Polanka nad Odrou,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Polanka nad Odrou,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Polanka nad Odrou,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Hrabová,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Hrabová,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Hrabová,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Hrabová,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Svinov,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Svinov,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Svinov,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Svinov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Třebovice,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Třebovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Třebovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Třebovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plesná,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Plesná,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plesná,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plesná,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 5-Křimice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Plzeň 5-Křimice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 5-Křimice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 5-Křimice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 6-Litice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Plzeň 6-Litice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 6-Litice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 6-Litice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 7-Radčice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Plzeň 7-Radčice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 7-Radčice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 7-Radčice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 8-Černice,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Plzeň 8-Černice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 8-Černice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 8-Černice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice IV,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Pardubice IV,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice IV,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice IV,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice VI,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Pardubice VI,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice VI,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice VI,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice VII,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Pardubice VII,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice VII,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice VII,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice II,Počet hromadných ubytovacích zařízení,2.0
HUZ celkem,2023,Pardubice II,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice II,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice II,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Opava (nečleněná část města),Počet hromadných ubytovacích zařízení,13.0
HUZ celkem,2023,Opava (nečleněná část města),Počet pokojů v hromadných ubytovacích zařízeních,236.0
HUZ celkem,2023,Opava (nečleněná část města),Počet lůžek v hromadných ubytovacích zařízeních,527.0
HUZ celkem,2023,Opava (nečleněná část města),Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Malé Hoštice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Malé Hoštice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Malé Hoštice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Malé Hoštice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Komárov,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Komárov,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Komárov,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Komárov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Suché Lazce,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Suché Lazce,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Suché Lazce,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Suché Lazce,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Podvihov,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Podvihov,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Podvihov,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Podvihov,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Zlatníky,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Zlatníky,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Zlatníky,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Zlatníky,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Milostovice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Milostovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Milostovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Milostovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Vlaštovičky,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Vlaštovičky,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Vlaštovičky,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Vlaštovičky,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Vávrovice,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Vávrovice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Vávrovice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Vávrovice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Liberec-Vratislavice nad Nisou,Počet hromadných ubytovacích zařízení,1.0
HUZ celkem,2023,Liberec-Vratislavice nad Nisou,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Liberec-Vratislavice nad Nisou,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Liberec-Vratislavice nad Nisou,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Liberec (nečleněné město),Počet hromadných ubytovacích zařízení,51.0
HUZ celkem,2023,Liberec (nečleněné město),Počet pokojů v hromadných ubytovacích zařízeních,1624.0
HUZ celkem,2023,Liberec (nečleněné město),Počet lůžek v hromadných ubytovacích zařízeních,3996.0
HUZ celkem,2023,Liberec (nečleněné město),Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50.0
HUZ celkem,2023,Pardubice III,Počet hromadných ubytovacích zařízení,3.0
HUZ celkem,2023,Pardubice III,Počet pokojů v hromadných ubytovacích zařízeních,48.0
HUZ celkem,2023,Pardubice III,Počet lůžek v hromadných ubytovacích zařízeních,102.0
HUZ celkem,2023,Pardubice III,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice V,Počet hromadných ubytovacích zařízení,4.0
HUZ celkem,2023,Pardubice V,Počet pokojů v hromadných ubytovacích zařízeních,59.0
HUZ celkem,2023,Pardubice V,Počet lůžek v hromadných ubytovacích zařízeních,129.0
HUZ celkem,2023,Pardubice V,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,10.0
HUZ celkem,2023,Plzeň 10-Lhota,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Plzeň 10-Lhota,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 10-Lhota,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 10-Lhota,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Plzeň 9-Malesice,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Plzeň 9-Malesice,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 9-Malesice,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Plzeň 9-Malesice,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Ústí nad Labem-město,Počet hromadných ubytovacích zařízení,11.0
HUZ celkem,2023,Ústí nad Labem-město,Počet pokojů v hromadných ubytovacích zařízeních,776.0
HUZ celkem,2023,Ústí nad Labem-město,Počet lůžek v hromadných ubytovacích zařízeních,1531.0
HUZ celkem,2023,Ústí nad Labem-město,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice I,Počet hromadných ubytovacích zařízení,16.0
HUZ celkem,2023,Pardubice I,Počet pokojů v hromadných ubytovacích zařízeních,395.0
HUZ celkem,2023,Pardubice I,Počet lůžek v hromadných ubytovacích zařízeních,852.0
HUZ celkem,2023,Pardubice I,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
HUZ celkem,2023,Pardubice VIII,Počet hromadných ubytovacích zařízení,
HUZ celkem,2023,Pardubice VIII,Počet pokojů v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice VIII,Počet lůžek v hromadných ubytovacích zařízeních,
HUZ celkem,2023,Pardubice VIII,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
