Ukazatel;Věk (roky);Pohlaví;Kraje;Dvouleté období (kraje);value
Naděje dožití (ex);0;muži;Středočeský kraj;2022-2023;76.64450343
Naděje dožití (ex);0;muži;Jihočeský kraj;2001-2002;72.2884429
Naděje dožití (ex);0;muži;Jihočeský kraj;2002-2003;72.50424652
Naděje dožití (ex);0;muži;Jihočeský kraj;2003-2004;72.82201559
Naděje dožití (ex);0;muži;Jihočeský kraj;2004-2005;73.18399837
Naděje dožití (ex);0;muži;Jihočeský kraj;2005-2006;73.77050365
Naděje dožití (ex);0;muži;Jihočeský kraj;2006-2007;74.2819755
Naděje dožití (ex);0;muži;Jihočeský kraj;2007-2008;74.2470611
Naděje dožití (ex);0;muži;Jihočeský kraj;2008-2009;74.40960798
Naděje dožití (ex);0;muži;Jihočeský kraj;2009-2010;74.71836143
Naděje dožití (ex);0;muži;Jihočeský kraj;2010-2011;74.89013537
Naděje dožití (ex);0;muži;Jihočeský kraj;2011-2012;75.03539085
Naděje dožití (ex);0;muži;Jihočeský kraj;2012-2013;75.29027888
Naděje dožití (ex);0;muži;Jihočeský kraj;2013-2014;75.5993029
Naděje dožití (ex);0;muži;Jihočeský kraj;2014-2015;75.59703327
Naděje dožití (ex);0;muži;Jihočeský kraj;2015-2016;76.01734395
Naděje dožití (ex);0;muži;Jihočeský kraj;2016-2017;76.38976719
Naděje dožití (ex);0;muži;Jihočeský kraj;2017-2018;76.3335321339
Naděje dožití (ex);0;muži;Jihočeský kraj;2018-2019;76.587590541
Naděje dožití (ex);0;muži;Jihočeský kraj;2019-2020;76.1819751881
Naděje dožití (ex);0;muži;Jihočeský kraj;2020-2021;75.184845119
Naděje dožití (ex);0;muži;Jihočeský kraj;2021-2022;75.6212731263
Naděje dožití (ex);0;muži;Jihočeský kraj;2022-2023;76.92395418
Naděje dožití (ex);0;muži;Plzeňský kraj;2001-2002;72.44488927
Naděje dožití (ex);0;muži;Plzeňský kraj;2002-2003;72.33170916
Naděje dožití (ex);0;muži;Plzeňský kraj;2003-2004;72.27377572
Naděje dožití (ex);0;muži;Plzeňský kraj;2004-2005;72.95803539
Naděje dožití (ex);0;muži;Plzeňský kraj;2005-2006;73.50973177
Naděje dožití (ex);0;muži;Plzeňský kraj;2006-2007;74.04007904
Naděje dožití (ex);0;muži;Plzeňský kraj;2007-2008;74.36531011
Naděje dožití (ex);0;muži;Plzeňský kraj;2008-2009;74.50968903
Naděje dožití (ex);0;muži;Plzeňský kraj;2009-2010;74.9058274
Naděje dožití (ex);0;muži;Plzeňský kraj;2010-2011;75.13796233
Naděje dožití (ex);0;muži;Plzeňský kraj;2011-2012;75.22888209
Naděje dožití (ex);0;muži;Plzeňský kraj;2012-2013;75.59091843
Naděje dožití (ex);0;muži;Plzeňský kraj;2013-2014;76.08002947
Naděje dožití (ex);0;muži;Plzeňský kraj;2014-2015;76.14438808
Naděje dožití (ex);0;muži;Plzeňský kraj;2015-2016;76.00083906
Naděje dožití (ex);0;muži;Plzeňský kraj;2016-2017;76.1541218
Naděje dožití (ex);0;muži;Plzeňský kraj;2017-2018;76.2478793858
Naděje dožití (ex);0;muži;Plzeňský kraj;2018-2019;76.4264213536
Naděje dožití (ex);0;muži;Plzeňský kraj;2019-2020;75.9858954029
Naděje dožití (ex);0;muži;Plzeňský kraj;2020-2021;74.7330221059
Naděje dožití (ex);0;muži;Plzeňský kraj;2021-2022;75.2298693385
Naděje dožití (ex);0;muži;Plzeňský kraj;2022-2023;77.03086287
Naděje dožití (ex);0;muži;Karlovarský kraj;2001-2002;71.16322279
Naděje dožití (ex);0;muži;Karlovarský kraj;2002-2003;71.4535307
Naděje dožití (ex);0;muži;Karlovarský kraj;2003-2004;71.28427723
Naděje dožití (ex);0;muži;Karlovarský kraj;2004-2005;71.843559
Naděje dožití (ex);0;muži;Karlovarský kraj;2005-2006;72.21889204
Naděje dožití (ex);0;muži;Karlovarský kraj;2006-2007;72.58397425
Naděje dožití (ex);0;muži;Karlovarský kraj;2007-2008;72.82142168
Naděje dožití (ex);0;muži;Karlovarský kraj;2008-2009;72.63489595
Naděje dožití (ex);0;muži;Karlovarský kraj;2009-2010;72.69722291
Naděje dožití (ex);0;muži;Karlovarský kraj;2010-2011;73.37381929
Naděje dožití (ex);0;muži;Karlovarský kraj;2011-2012;74.13865668
Naděje dožití (ex);0;muži;Karlovarský kraj;2012-2013;74.2573328
Naděje dožití (ex);0;muži;Karlovarský kraj;2013-2014;74.16000868
Naděje dožití (ex);0;muži;Karlovarský kraj;2014-2015;74.39516419
Naděje dožití (ex);0;muži;Karlovarský kraj;2015-2016;74.5692829
Naděje dožití (ex);0;muži;Karlovarský kraj;2016-2017;74.40493451
Naděje dožití (ex);0;muži;Karlovarský kraj;2017-2018;74.4518994847
Naděje dožití (ex);0;muži;Karlovarský kraj;2018-2019;74.9067245803
Naděje dožití (ex);0;muži;Karlovarský kraj;2019-2020;74.5097080951
Naděje dožití (ex);0;muži;Karlovarský kraj;2020-2021;72.8022668562
Naděje dožití (ex);0;muži;Karlovarský kraj;2021-2022;73.2139087816
Naděje dožití (ex);0;muži;Karlovarský kraj;2022-2023;75.21662205
Naděje dožití (ex);0;muži;Ústecký kraj;2001-2002;69.96276935
Naděje dožití (ex);0;muži;Ústecký kraj;2002-2003;69.73754839
Naděje dožití (ex);0;muži;Ústecký kraj;2003-2004;70.17787095
Naděje dožití (ex);0;muži;Ústecký kraj;2004-2005;70.76058927
Naděje dožití (ex);0;muži;Ústecký kraj;2005-2006;71.21061439
Naděje dožití (ex);0;muži;Ústecký kraj;2006-2007;71.44503661
Naděje dožití (ex);0;muži;Ústecký kraj;2007-2008;71.81488705
Naděje dožití (ex);0;muži;Ústecký kraj;2008-2009;72.08286793
Naděje dožití (ex);0;muži;Ústecký kraj;2009-2010;72.228906
Naděje dožití (ex);0;muži;Ústecký kraj;2010-2011;72.7162707
Naděje dožití (ex);0;muži;Ústecký kraj;2011-2012;72.9594766
Naděje dožití (ex);0;muži;Ústecký kraj;2012-2013;72.94683897
Naděje dožití (ex);0;muži;Ústecký kraj;2013-2014;73.39982849
Naděje dožití (ex);0;muži;Ústecký kraj;2014-2015;73.78862227
Naděje dožití (ex);0;muži;Ústecký kraj;2015-2016;73.80134262
Naděje dožití (ex);0;muži;Ústecký kraj;2016-2017;74.10422664
Naděje dožití (ex);0;muži;Ústecký kraj;2017-2018;74.1923776037
Naděje dožití (ex);0;muži;Ústecký kraj;2018-2019;74.3845201828
Naděje dožití (ex);0;muži;Ústecký kraj;2019-2020;73.9332969529
Naděje dožití (ex);0;muži;Ústecký kraj;2020-2021;72.7000556464
Naděje dožití (ex);0;muži;Ústecký kraj;2021-2022;73.1032794808
Naděje dožití (ex);0;muži;Ústecký kraj;2022-2023;74.54810774
Naděje dožití (ex);0;muži;Liberecký kraj;2001-2002;71.43214282
Naděje dožití (ex);0;muži;Liberecký kraj;2002-2003;71.60951253
Naděje dožití (ex);0;muži;Liberecký kraj;2003-2004;72.20316065
Naděje dožití (ex);0;muži;Liberecký kraj;2004-2005;72.57357438
Naděje dožití (ex);0;muži;Liberecký kraj;2005-2006;73.02406106
Naděje dožití (ex);0;muži;Liberecký kraj;2006-2007;73.12693182
Naděje dožití (ex);0;muži;Liberecký kraj;2007-2008;73.19346412
Naděje dožití (ex);0;muži;Liberecký kraj;2008-2009;73.72427175
Naděje dožití (ex);0;muži;Liberecký kraj;2009-2010;74.31018682
Naděje dožití (ex);0;muži;Liberecký kraj;2010-2011;74.70843757
Naděje dožití (ex);0;muži;Liberecký kraj;2011-2012;74.93971466
Naděje dožití (ex);0;muži;Liberecký kraj;2012-2013;74.92704163
Naděje dožití (ex);0;muži;Liberecký kraj;2013-2014;75.18629221
Naděje dožití (ex);0;muži;Liberecký kraj;2014-2015;75.43545584
Naděje dožití (ex);0;muži;Liberecký kraj;2015-2016;75.70574904
Naděje dožití (ex);0;muži;Liberecký kraj;2016-2017;75.67168663
Naděje dožití (ex);0;muži;Liberecký kraj;2017-2018;75.4471269434
Naděje dožití (ex);0;muži;Liberecký kraj;2018-2019;76.1368426372
Naděje dožití (ex);0;muži;Liberecký kraj;2019-2020;76.0315134953
Naděje dožití (ex);0;muži;Liberecký kraj;2020-2021;74.6564808967
Naděje dožití (ex);0;muži;Liberecký kraj;2021-2022;74.8801434104
Naděje dožití (ex);0;muži;Liberecký kraj;2022-2023;76.19249472
Naděje dožití (ex);0;muži;Královéhradecký kraj;2001-2002;73.08834759
Naděje dožití (ex);0;muži;Královéhradecký kraj;2002-2003;73.06940583
Naděje dožití (ex);0;muži;Královéhradecký kraj;2003-2004;73.22753391
Naděje dožití (ex);0;muži;Královéhradecký kraj;2004-2005;73.89396453
Naděje dožití (ex);0;muži;Královéhradecký kraj;2005-2006;74.40421282
Naděje dožití (ex);0;muži;Královéhradecký kraj;2006-2007;74.67473529
Naděje dožití (ex);0;muži;Královéhradecký kraj;2007-2008;75.08013991
Naděje dožití (ex);0;muži;Královéhradecký kraj;2008-2009;75.08850424
Naděje dožití (ex);0;muži;Královéhradecký kraj;2009-2010;75.17673683
Naděje dožití (ex);0;muži;Královéhradecký kraj;2010-2011;75.44072112
Naděje dožití (ex);0;muži;Královéhradecký kraj;2011-2012;75.61288366
Naděje dožití (ex);0;muži;Královéhradecký kraj;2012-2013;75.89170631
Naděje dožití (ex);0;muži;Královéhradecký kraj;2013-2014;76.22146243
Naděje dožití (ex);0;muži;Královéhradecký kraj;2014-2015;76.45958579
Naděje dožití (ex);0;muži;Královéhradecký kraj;2015-2016;76.76544574
Naděje dožití (ex);0;muži;Královéhradecký kraj;2016-2017;77.18579561
Naděje dožití (ex);0;muži;Královéhradecký kraj;2017-2018;77.2336835884
Naděje dožití (ex);0;muži;Královéhradecký kraj;2018-2019;77.1614569152
Naděje dožití (ex);0;muži;Královéhradecký kraj;2019-2020;76.8442425069
Naděje dožití (ex);0;muži;Královéhradecký kraj;2020-2021;75.4719346748
Naděje dožití (ex);0;muži;Královéhradecký kraj;2021-2022;75.7541534691
Naděje dožití (ex);0;muži;Královéhradecký kraj;2022-2023;77.70674125
Naděje dožití (ex);0;muži;Pardubický kraj;2001-2002;72.90468238
Naděje dožití (ex);0;muži;Pardubický kraj;2002-2003;72.71468579
Naděje dožití (ex);0;muži;Pardubický kraj;2003-2004;72.91059133
Naděje dožití (ex);0;muži;Pardubický kraj;2004-2005;73.11028211
Naděje dožití (ex);0;muži;Pardubický kraj;2005-2006;73.4051577
Naděje dožití (ex);0;muži;Pardubický kraj;2006-2007;73.83057257
Naděje dožití (ex);0;muži;Pardubický kraj;2007-2008;74.31054036
Naděje dožití (ex);0;muži;Pardubický kraj;2008-2009;74.73727664
Naděje dožití (ex);0;muži;Pardubický kraj;2009-2010;74.67827303
Naděje dožití (ex);0;muži;Pardubický kraj;2010-2011;74.72630446
Naděje dožití (ex);0;muži;Pardubický kraj;2011-2012;74.84790656
Naděje dožití (ex);0;muži;Pardubický kraj;2012-2013;75.17421127
Naděje dožití (ex);0;muži;Pardubický kraj;2013-2014;75.90813958
Naděje dožití (ex);0;muži;Pardubický kraj;2014-2015;76.23116026
Naděje dožití (ex);0;muži;Pardubický kraj;2015-2016;76.32798923
Naděje dožití (ex);0;muži;Pardubický kraj;2016-2017;76.60052415
Naděje dožití (ex);0;muži;Pardubický kraj;2017-2018;76.5304964614
Naděje dožití (ex);0;muži;Pardubický kraj;2018-2019;76.5864907857
Naděje dožití (ex);0;muži;Pardubický kraj;2019-2020;76.0659268317
Naděje dožití (ex);0;muži;Pardubický kraj;2020-2021;75.0610565191
Naděje dožití (ex);0;muži;Pardubický kraj;2021-2022;75.601308886
Naděje dožití (ex);0;muži;Pardubický kraj;2022-2023;76.87640611
Naděje dožití (ex);0;muži;Kraj Vysočina;2001-2002;72.92360957
Naděje dožití (ex);0;muži;Kraj Vysočina;2002-2003;72.81860108
Naděje dožití (ex);0;muži;Kraj Vysočina;2003-2004;73.24840127
Naděje dožití (ex);0;muži;Kraj Vysočina;2004-2005;73.44063811
Naděje dožití (ex);0;muži;Kraj Vysočina;2005-2006;73.77937216
Naděje dožití (ex);0;muži;Kraj Vysočina;2006-2007;74.33056629
Naděje dožití (ex);0;muži;Kraj Vysočina;2007-2008;74.54123193
Naděje dožití (ex);0;muži;Kraj Vysočina;2008-2009;74.90050353
Naděje dožití (ex);0;muži;Kraj Vysočina;2009-2010;75.06889871
Naděje dožití (ex);0;muži;Kraj Vysočina;2010-2011;75.39107137
Naděje dožití (ex);0;muži;Kraj Vysočina;2011-2012;75.4886599
Naděje dožití (ex);0;muži;Kraj Vysočina;2012-2013;75.81009809
Naděje dožití (ex);0;muži;Kraj Vysočina;2013-2014;76.19856806
Naděje dožití (ex);0;muži;Kraj Vysočina;2014-2015;76.49638576
Naděje dožití (ex);0;muži;Kraj Vysočina;2015-2016;77.03871527
Naděje dožití (ex);0;muži;Kraj Vysočina;2016-2017;76.99733842
Naděje dožití (ex);0;muži;Kraj Vysočina;2017-2018;76.9112124994
Naděje dožití (ex);0;muži;Kraj Vysočina;2018-2019;76.7151442747
Naděje dožití (ex);0;muži;Kraj Vysočina;2019-2020;75.8761107576
Naděje dožití (ex);0;muži;Kraj Vysočina;2020-2021;75.5648834256
Naděje dožití (ex);0;muži;Kraj Vysočina;2021-2022;76.2291054661
Naděje dožití (ex);0;muži;Kraj Vysočina;2022-2023;77.27813642
Naděje dožití (ex);0;muži;Jihomoravský kraj;2001-2002;72.59148163
Naděje dožití (ex);0;muži;Jihomoravský kraj;2002-2003;72.57138555
Naděje dožití (ex);0;muži;Jihomoravský kraj;2003-2004;72.94599533
Naděje dožití (ex);0;muži;Jihomoravský kraj;2004-2005;73.10390109
Naděje dožití (ex);0;muži;Jihomoravský kraj;2005-2006;73.2362221
Naděje dožití (ex);0;muži;Jihomoravský kraj;2006-2007;73.56674098
Naděje dožití (ex);0;muži;Jihomoravský kraj;2007-2008;74.18315612
Naděje dožití (ex);0;muži;Jihomoravský kraj;2008-2009;74.55346551
Naděje dožití (ex);0;muži;Jihomoravský kraj;2009-2010;74.79663006
Naděje dožití (ex);0;muži;Jihomoravský kraj;2010-2011;75.15153154
Naděje dožití (ex);0;muži;Jihomoravský kraj;2011-2012;75.33640113
Naděje dožití (ex);0;muži;Jihomoravský kraj;2012-2013;75.50360287
Naděje dožití (ex);0;muži;Jihomoravský kraj;2013-2014;75.94918607
Naděje dožití (ex);0;muži;Jihomoravský kraj;2014-2015;76.25647272
Naděje dožití (ex);0;muži;Jihomoravský kraj;2015-2016;76.39994486
Naděje dožití (ex);0;muži;Jihomoravský kraj;2016-2017;76.45116861
Naděje dožití (ex);0;muži;Jihomoravský kraj;2017-2018;76.3299807184
Naděje dožití (ex);0;muži;Jihomoravský kraj;2018-2019;76.5952371278
Naděje dožití (ex);0;muži;Jihomoravský kraj;2019-2020;76.3356591395
Naděje dožití (ex);0;muži;Jihomoravský kraj;2020-2021;75.2727384685
Naděje dožití (ex);0;muži;Jihomoravský kraj;2021-2022;75.5931892638
Naděje dožití (ex);0;muži;Jihomoravský kraj;2022-2023;77.042016
Naděje dožití (ex);0;muži;Olomoucký kraj;2001-2002;71.62953814
Naděje dožití (ex);0;muži;Olomoucký kraj;2002-2003;72.11040252
Naděje dožití (ex);0;muži;Olomoucký kraj;2003-2004;72.64664273
Naděje dožití (ex);0;muži;Olomoucký kraj;2004-2005;72.98299983
Naděje dožití (ex);0;muži;Olomoucký kraj;2005-2006;73.24700418
Naděje dožití (ex);0;muži;Olomoucký kraj;2006-2007;73.36567568
Naděje dožití (ex);0;muži;Olomoucký kraj;2007-2008;73.66027471
Naděje dožití (ex);0;muži;Olomoucký kraj;2008-2009;73.84328595
Naděje dožití (ex);0;muži;Olomoucký kraj;2009-2010;73.90283949
Naděje dožití (ex);0;muži;Olomoucký kraj;2010-2011;74.20806387
Naděje dožití (ex);0;muži;Olomoucký kraj;2011-2012;74.40771453
Naděje dožití (ex);0;muži;Olomoucký kraj;2012-2013;74.37520672
Naděje dožití (ex);0;muži;Olomoucký kraj;2013-2014;74.80990791
Naděje dožití (ex);0;muži;Olomoucký kraj;2014-2015;75.10051035
Naděje dožití (ex);0;muži;Olomoucký kraj;2015-2016;75.19158623
Naděje dožití (ex);0;muži;Olomoucký kraj;2016-2017;75.45302087
Naděje dožití (ex);0;muži;Olomoucký kraj;2017-2018;75.5553449511
Naděje dožití (ex);0;muži;Olomoucký kraj;2018-2019;75.7108430312
Naděje dožití (ex);0;muži;Olomoucký kraj;2019-2020;75.0839049845
Naděje dožití (ex);0;muži;Olomoucký kraj;2020-2021;74.0948173148
Naděje dožití (ex);0;muži;Olomoucký kraj;2021-2022;74.7250122571
Naděje dožití (ex);0;muži;Olomoucký kraj;2022-2023;76.09499981
Naděje dožití (ex);0;muži;Zlínský kraj;2001-2002;72.09150726
Naděje dožití (ex);0;muži;Zlínský kraj;2002-2003;72.06955705
Naděje dožití (ex);0;muži;Zlínský kraj;2003-2004;71.91510163
Naděje dožití (ex);0;muži;Zlínský kraj;2004-2005;72.0361791
Naděje dožití (ex);0;muži;Zlínský kraj;2005-2006;72.64072716
Naděje dožití (ex);0;muži;Zlínský kraj;2006-2007;73.3724015
Naděje dožití (ex);0;muži;Zlínský kraj;2007-2008;73.40712096
Naděje dožití (ex);0;muži;Zlínský kraj;2008-2009;73.4473819
Naděje dožití (ex);0;muži;Zlínský kraj;2009-2010;73.64743006
Naděje dožití (ex);0;muži;Zlínský kraj;2010-2011;73.84566114
Naděje dožití (ex);0;muži;Zlínský kraj;2011-2012;74.31499622
Naděje dožití (ex);0;muži;Zlínský kraj;2012-2013;74.67319489
Naděje dožití (ex);0;muži;Zlínský kraj;2013-2014;75.00624412
Naděje dožití (ex);0;muži;Zlínský kraj;2014-2015;75.3543054
Naděje dožití (ex);0;muži;Zlínský kraj;2015-2016;75.37858246
Naděje dožití (ex);0;muži;Zlínský kraj;2016-2017;75.54399527
Naděje dožití (ex);0;muži;Zlínský kraj;2017-2018;75.7663162989
Naděje dožití (ex);0;muži;Zlínský kraj;2018-2019;75.8540635695
Naděje dožití (ex);0;muži;Zlínský kraj;2019-2020;75.1005576113
Naděje dožití (ex);0;muži;Zlínský kraj;2020-2021;74.1486012416
Naděje dožití (ex);0;muži;Zlínský kraj;2021-2022;74.9825984045
Naděje dožití (ex);0;muži;Zlínský kraj;2022-2023;76.54196254
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2001-2002;70.61302842
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2002-2003;70.66271906
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2003-2004;70.85096719
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2004-2005;71.34268322
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2005-2006;71.87003316
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2006-2007;72.22262474
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2007-2008;72.2527321
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2008-2009;72.4744952
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2009-2010;72.6831025
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2010-2011;72.78931696
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2011-2012;73.2666906
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2012-2013;73.68668968
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2013-2014;73.92312921
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2014-2015;74.069135
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2015-2016;74.23460481
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2016-2017;74.4644883
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2017-2018;74.5319832069
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2018-2019;74.54551965
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2019-2020;73.8543908665
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2020-2021;72.7557305169
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2021-2022;73.2467820848
Naděje dožití (ex);0;muži;Moravskoslezský kraj;2022-2023;74.83644479
