Ukazatel;Věkové skupiny;Pohlaví;Roky;Kraj vystěhování;Kraj přistěhování;value
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Kraj Vysočina;121.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Jihomoravský kraj;234.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Olomoucký kraj;127.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Zlínský kraj;79.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Liberecký kraj;Moravskoslezský kraj;103.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Hlavní město Praha;1408.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Středočeský kraj;1066.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Jihočeský kraj;199.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Plzeňský kraj;217.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Karlovarský kraj;76.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Ústecký kraj;248.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Liberecký kraj;517.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Královéhradecký kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Pardubický kraj;1189.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Kraj Vysočina;170.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Jihomoravský kraj;406.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Olomoucký kraj;202.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Zlínský kraj;101.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Královéhradecký kraj;Moravskoslezský kraj;178.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Hlavní město Praha;1298.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Středočeský kraj;959.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Jihočeský kraj;189.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Plzeňský kraj;263.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Karlovarský kraj;77.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Ústecký kraj;251.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Liberecký kraj;183.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Královéhradecký kraj;1197.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Pardubický kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Kraj Vysočina;418.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Jihomoravský kraj;777.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Olomoucký kraj;363.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Zlínský kraj;170.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Pardubický kraj;Moravskoslezský kraj;276.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Hlavní město Praha;1068.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Středočeský kraj;699.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Jihočeský kraj;585.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Plzeňský kraj;211.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Karlovarský kraj;73.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Ústecký kraj;159.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Liberecký kraj;117.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Královéhradecký kraj;169.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Pardubický kraj;438.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Kraj Vysočina;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Jihomoravský kraj;1359.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Olomoucký kraj;159.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Zlínský kraj;129.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Kraj Vysočina;Moravskoslezský kraj;184.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Hlavní město Praha;2134.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Středočeský kraj;946.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Jihočeský kraj;406.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Plzeňský kraj;396.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Karlovarský kraj;153.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Ústecký kraj;265.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Liberecký kraj;198.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Královéhradecký kraj;301.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Pardubický kraj;637.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Kraj Vysočina;1318.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Jihomoravský kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Olomoucký kraj;1058.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Zlínský kraj;1214.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Jihomoravský kraj;Moravskoslezský kraj;869.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Hlavní město Praha;830.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Středočeský kraj;473.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Jihočeský kraj;130.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Plzeňský kraj;163.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Karlovarský kraj;34.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Ústecký kraj;116.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Liberecký kraj;98.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Královéhradecký kraj;175.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Pardubický kraj;385.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Kraj Vysočina;132.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Jihomoravský kraj;1101.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Olomoucký kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Zlínský kraj;660.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Olomoucký kraj;Moravskoslezský kraj;818.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Hlavní město Praha;806.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Středočeský kraj;395.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Jihočeský kraj;123.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Plzeňský kraj;153.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Karlovarský kraj;54.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Ústecký kraj;100.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Liberecký kraj;73.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Královéhradecký kraj;145.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Pardubický kraj;133.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Kraj Vysočina;159.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Jihomoravský kraj;1401.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Olomoucký kraj;703.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Zlínský kraj;
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Zlínský kraj;Moravskoslezský kraj;594.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Hlavní město Praha;1551.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Středočeský kraj;699.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Jihočeský kraj;232.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Plzeňský kraj;297.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Karlovarský kraj;110.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Ústecký kraj;228.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Liberecký kraj;149.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Královéhradecký kraj;257.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Pardubický kraj;259.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Kraj Vysočina;185.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Jihomoravský kraj;1173.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Olomoucký kraj;1066.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Zlínský kraj;720.0
Přistěhovalí / vystěhování;Celkem;Celkem;2023;Moravskoslezský kraj;Moravskoslezský kraj;
