Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Kumulace měsíců,value
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – září 2024,94.0
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – říjen 2024,95.0
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – listopad 2024,95.9
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – prosinec 2024,96.7
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden 2025,106.4
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – únor 2025,108.5
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – březen 2025,109.0
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – duben 2025,108.7
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – květen 2025,109.0
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – červen 2025,108.3
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – červenec 2025,107.7
Index vývozních cen (%),Meziroční index,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden – srpen 2025,107.3
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – červen 2024,87.6
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – červenec 2024,88.1
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – srpen 2024,88.4
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – září 2024,88.6
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – říjen 2024,88.6
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – listopad 2024,88.7
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – prosinec 2024,88.5
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden 2025,85.4
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – únor 2025,84.3
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – březen 2025,84.1
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – duben 2025,85.2
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – květen 2025,86.8
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – červen 2025,87.6
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – červenec 2025,87.4
Index vývozních cen (%),Meziroční index,Česko,TĚŽBA A DOBÝVÁNÍ,leden – srpen 2025,87.5
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – červen 2024,103.7
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – červenec 2024,103.9
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – srpen 2024,103.9
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – září 2024,103.8
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – říjen 2024,103.8
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – listopad 2024,103.8
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – prosinec 2024,103.8
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden 2025,103.3
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – únor 2025,102.1
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – březen 2025,101.4
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – duben 2025,100.8
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – květen 2025,100.7
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – červen 2025,100.6
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – červenec 2025,100.1
Index vývozních cen (%),Meziroční index,Česko,VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU,leden – srpen 2025,99.8
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – červen 2024,79.5
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – červenec 2024,81.5
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – srpen 2024,84.3
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – září 2024,85.0
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – říjen 2024,86.6
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – listopad 2024,90.2
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – prosinec 2024,94.6
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden 2025,132.3
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – únor 2025,142.2
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – březen 2025,137.7
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – duben 2025,131.5
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – květen 2025,124.7
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – červen 2025,120.0
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – červenec 2025,117.9
Index vývozních cen (%),Meziroční index,Česko,"ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH",leden – srpen 2025,113.0
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – červen 2024,106.3
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – červenec 2024,108.0
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – srpen 2024,109.1
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – září 2024,109.6
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – říjen 2024,109.3
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – listopad 2024,108.7
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – prosinec 2024,107.9
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden 2025,93.6
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – únor 2025,92.4
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – březen 2025,93.2
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – duben 2025,94.5
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – květen 2025,94.5
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – červen 2025,93.6
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – červenec 2025,92.3
Index vývozních cen (%),Meziroční index,Česko,"ZÁSOBOVÁNÍ VODOU; ČIN. SOUV. S ODPAD. VODAMI, ODPADY ...",leden – srpen 2025,91.2
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – červen 2024,101.8
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – červenec 2024,101.4
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – srpen 2024,101.2
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – září 2024,100.5
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – říjen 2024,100.1
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – listopad 2024,99.8
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – prosinec 2024,99.9
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden 2025,105.8
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – únor 2025,104.4
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – březen 2025,104.4
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – duben 2025,104.2
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – květen 2025,104.5
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – červen 2025,104.9
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – červenec 2025,104.9
Index vývozních cen (%),Meziroční index,Česko,INFORMAČNÍ A KOMUNIKAČNÍ SLUŽBY,leden – srpen 2025,105.1
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – červen 2024,89.7
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – červenec 2024,90.6
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – srpen 2024,91.5
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – září 2024,92.4
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – říjen 2024,93.3
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – listopad 2024,94.2
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – prosinec 2024,94.9
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden 2025,106.2
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – únor 2025,109.6
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – březen 2025,110.8
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – duben 2025,111.0
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – květen 2025,111.5
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – červen 2025,110.5
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – červenec 2025,109.5
Index vývozních cen (%),Meziroční index,Česko,Produkty zemědělství a myslivosti a související služby,leden – srpen 2025,108.6
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – červen 2024,88.5
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – červenec 2024,91.1
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – srpen 2024,93.4
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – září 2024,95.1
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – říjen 2024,96.4
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – listopad 2024,97.6
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – prosinec 2024,98.7
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden 2025,106.6
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – únor 2025,106.4
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – březen 2025,105.8
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – duben 2025,104.6
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – květen 2025,104.3
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – červen 2025,104.2
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – červenec 2025,104.3
Index vývozních cen (%),Meziroční index,Česko,"Produkty lesnictví, těžby dřeva a související služby",leden – srpen 2025,104.9
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – červen 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – červenec 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – srpen 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – září 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – říjen 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – listopad 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – prosinec 2024,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – únor 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – březen 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – duben 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – květen 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – červen 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – červenec 2025,
Index vývozních cen (%),Meziroční index,Česko,Černé a hnědé uhlí a lignit,leden – srpen 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – červen 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – červenec 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – srpen 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – září 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – říjen 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – listopad 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – prosinec 2024,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – únor 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – březen 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – duben 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – květen 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – červen 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – červenec 2025,
Index vývozních cen (%),Meziroční index,Česko,Ropa a zemní plyn,leden – srpen 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – červen 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – červenec 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – srpen 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – září 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – říjen 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – listopad 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – prosinec 2024,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – únor 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – březen 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – duben 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – květen 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – červen 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – červenec 2025,
Index vývozních cen (%),Meziroční index,Česko,Rudy,leden – srpen 2025,
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – červen 2024,101.6
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – červenec 2024,102.0
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – srpen 2024,102.0
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – září 2024,102.0
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – říjen 2024,101.8
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – listopad 2024,101.7
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – prosinec 2024,101.9
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden 2025,100.8
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – únor 2025,99.4
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – březen 2025,98.6
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – duben 2025,98.5
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – květen 2025,98.4
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – červen 2025,98.7
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – červenec 2025,98.2
Index vývozních cen (%),Meziroční index,Česko,Ostatní těžba a dobývání nerostných surovin,leden – srpen 2025,97.9
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – červen 2024,101.9
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – červenec 2024,102.3
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – srpen 2024,102.5
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – září 2024,102.6
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – říjen 2024,102.7
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – listopad 2024,102.9
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – prosinec 2024,102.9
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden 2025,102.4
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – únor 2025,101.8
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – březen 2025,101.7
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – duben 2025,102.1
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – květen 2025,102.6
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – červen 2025,102.9
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – červenec 2025,102.7
Index vývozních cen (%),Meziroční index,Česko,Potravinářské výrobky,leden – srpen 2025,102.5
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – červen 2024,101.1
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – červenec 2024,101.4
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – srpen 2024,101.3
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – září 2024,101.2
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – říjen 2024,101.1
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – listopad 2024,101.1
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – prosinec 2024,101.0
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden 2025,102.1
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – únor 2025,100.6
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – březen 2025,100.4
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – duben 2025,99.7
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – květen 2025,99.8
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – červen 2025,100.0
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – červenec 2025,99.6
Index vývozních cen (%),Meziroční index,Česko,Nápoje,leden – srpen 2025,99.5
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – červen 2024,97.0
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – červenec 2024,97.4
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – srpen 2024,97.7
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – září 2024,98.1
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – říjen 2024,98.5
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – listopad 2024,98.7
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – prosinec 2024,99.1
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden 2025,104.2
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – únor 2025,103.9
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – březen 2025,103.9
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – duben 2025,103.4
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – květen 2025,103.3
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – červen 2025,103.0
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – červenec 2025,102.4
Index vývozních cen (%),Meziroční index,Česko,Textilie,leden – srpen 2025,101.8
Index vývozních cen (%),Meziroční index,Česko,Oděvy,leden – červen 2024,104.0
Index vývozních cen (%),Meziroční index,Česko,Oděvy,leden – červenec 2024,103.9
Index vývozních cen (%),Meziroční index,Česko,Oděvy,leden – srpen 2024,103.6
Index vývozních cen (%),Meziroční index,Česko,Oděvy,leden – září 2024,103.0
Index vývozních cen (%),Meziroční index,Česko,Oděvy,leden – říjen 2024,102.7
