Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Kumulace měsíců,value
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – červenec 2023,134.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – srpen 2023,134.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – září 2023,134.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – říjen 2023,134.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – listopad 2023,135.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – prosinec 2023,135.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – únor 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – březen 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – duben 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – květen 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – červen 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – červenec 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – srpen 2024,136.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – září 2024,136.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – říjen 2024,137.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – listopad 2024,137.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – prosinec 2024,137.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden 2025,140.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – únor 2025,139.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – březen 2025,138.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – duben 2025,138.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – květen 2025,138.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – červen 2025,138.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – červenec 2025,138.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – srpen 2025,138.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden 2023,121.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – únor 2023,121.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – březen 2023,121.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – duben 2023,121.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – květen 2023,122.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – červen 2023,122.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – červenec 2023,122.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – srpen 2023,122.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – září 2023,122.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – říjen 2023,122.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – listopad 2023,122.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – prosinec 2023,122.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden 2024,121.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – únor 2024,121.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – březen 2024,121.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – duben 2024,121.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – květen 2024,121.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – červen 2024,121.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – červenec 2024,121.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – srpen 2024,121.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – září 2024,121.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – říjen 2024,121.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – listopad 2024,121.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – prosinec 2024,121.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden 2025,127.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – únor 2025,127.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – březen 2025,128.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – duben 2025,128.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – květen 2025,128.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – červen 2025,129.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – červenec 2025,129.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Skladování a podpůrné služby v dopravě,leden – srpen 2025,129.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden 2023,130.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – únor 2023,133.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – březen 2023,134.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – duben 2023,134.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – květen 2023,134.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – červen 2023,135.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – červenec 2023,135.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – srpen 2023,136.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – září 2023,137.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – říjen 2023,137.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – listopad 2023,138.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden – prosinec 2023,138.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Poštovní a kurýrní služby,leden 2024,145.0
