Území;CZ-NACE;Čtvrtletí;Ukazatel;value
Česko;Průmysl celkem;3. čtvrtletí 2022;Meziroční index (%) - očištěno o kalendářní vlivy;105.0279986393
Česko;Průmysl celkem;3. čtvrtletí 2022;Mezičtvrtletní index (%) - sezónně očištěno;101.4969308011
Česko;Průmysl celkem;2. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - neočištěno ;104.5613935733
Česko;Průmysl celkem;2. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;103.48604216
Česko;Průmysl celkem;2. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.28311869
Česko;Průmysl celkem;2. čtvrtletí 2022;Meziroční index (%) - neočištěno;100.6894374509
Česko;Průmysl celkem;2. čtvrtletí 2022;Meziroční index (%) - očištěno o kalendářní vlivy;100.5831100438
Česko;Průmysl celkem;2. čtvrtletí 2022;Mezičtvrtletní index (%) - sezónně očištěno;100.5348055656
Česko;Průmysl celkem;1. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - neočištěno ;102.06725588
Česko;Průmysl celkem;1. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;101.0062048733
Česko;Průmysl celkem;1. čtvrtletí 2022;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.7443323933
Česko;Průmysl celkem;1. čtvrtletí 2022;Meziroční index (%) - neočištěno;101.3564786236
Česko;Průmysl celkem;1. čtvrtletí 2022;Meziroční index (%) - očištěno o kalendářní vlivy;100.522059263
Česko;Průmysl celkem;1. čtvrtletí 2022;Mezičtvrtletní index (%) - sezónně očištěno;101.4186237447
Česko;Průmysl celkem;4. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - neočištěno ;102.75860772
Česko;Průmysl celkem;4. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;102.1011618667
Česko;Průmysl celkem;4. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.3351405033
Česko;Průmysl celkem;4. čtvrtletí 2021;Meziroční index (%) - neočištěno;99.4146387342
Česko;Průmysl celkem;4. čtvrtletí 2021;Meziroční index (%) - očištěno o kalendářní vlivy;98.4661937349
Česko;Průmysl celkem;4. čtvrtletí 2021;Mezičtvrtletní index (%) - sezónně očištěno;100.8632314647
Česko;Průmysl celkem;3. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - neočištěno ;92.6946833367
Česko;Průmysl celkem;3. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;93.1820086433
Česko;Průmysl celkem;3. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;98.4849871067
Česko;Průmysl celkem;3. čtvrtletí 2021;Meziroční index (%) - neočištěno;99.5485901645
Česko;Průmysl celkem;3. čtvrtletí 2021;Meziroční index (%) - očištěno o kalendářní vlivy;100.543393515
Česko;Průmysl celkem;3. čtvrtletí 2021;Mezičtvrtletní index (%) - sezónně očištěno;97.8951619295
Česko;Průmysl celkem;2. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - neočištěno ;103.84544419
Česko;Průmysl celkem;2. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;102.88610296
Česko;Průmysl celkem;2. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.6025069733
Česko;Průmysl celkem;2. čtvrtletí 2021;Meziroční index (%) - neočištěno;128.5945932267
Česko;Průmysl celkem;2. čtvrtletí 2021;Meziroční index (%) - očištěno o kalendářní vlivy;126.2634597276
Česko;Průmysl celkem;2. čtvrtletí 2021;Mezičtvrtletní index (%) - sezónně očištěno;101.0452111125
Česko;Průmysl celkem;1. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - neočištěno ;100.70126475
Česko;Průmysl celkem;1. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;100.48163121
Česko;Průmysl celkem;1. čtvrtletí 2021;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.56187519
Česko;Průmysl celkem;1. čtvrtletí 2021;Meziroční index (%) - neočištěno;103.4279518802
Česko;Průmysl celkem;1. čtvrtletí 2021;Meziroční index (%) - očištěno o kalendářní vlivy;104.1158643917
Česko;Průmysl celkem;1. čtvrtletí 2021;Mezičtvrtletní index (%) - sezónně očištěno;98.4911747176
Česko;Průmysl celkem;4. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - neočištěno ;103.36365854
Česko;Průmysl celkem;4. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;103.69158997
Česko;Průmysl celkem;4. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.0871029567
Česko;Průmysl celkem;4. čtvrtletí 2020;Meziroční index (%) - neočištěno;101.2852154547
Česko;Průmysl celkem;4. čtvrtletí 2020;Meziroční index (%) - očištěno o kalendářní vlivy;101.6725311281
Česko;Průmysl celkem;4. čtvrtletí 2020;Mezičtvrtletní index (%) - sezónně očištěno;104.1913785626
Česko;Průmysl celkem;3. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - neočištěno ;93.1150136667
Česko;Průmysl celkem;3. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;92.6784002267
Česko;Průmysl celkem;3. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;97.0206022333
Česko;Průmysl celkem;3. čtvrtletí 2020;Meziroční index (%) - neočištěno;96.0534934634
Česko;Průmysl celkem;3. čtvrtletí 2020;Meziroční index (%) - očištěno o kalendářní vlivy;96.9350101433
Česko;Průmysl celkem;3. čtvrtletí 2020;Mezičtvrtletní index (%) - sezónně očištěno;120.9118368541
Česko;Průmysl celkem;2. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - neočištěno ;80.75412938
Česko;Průmysl celkem;2. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;81.4852556567
Česko;Průmysl celkem;2. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;80.2407810167
Česko;Průmysl celkem;2. čtvrtletí 2020;Meziroční index (%) - neočištěno;78.3310531666
Česko;Průmysl celkem;2. čtvrtletí 2020;Meziroční index (%) - očištěno o kalendářní vlivy;78.2147894283
Česko;Průmysl celkem;2. čtvrtletí 2020;Mezičtvrtletní index (%) - sezónně očištěno;82.9733376502
Česko;Průmysl celkem;1. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - neočištěno ;97.3636844967
Česko;Průmysl celkem;1. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;96.50943379
Česko;Průmysl celkem;1. čtvrtletí 2020;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;96.7067051767
Česko;Průmysl celkem;1. čtvrtletí 2020;Meziroční index (%) - neočištěno;96.7338049633
Česko;Průmysl celkem;1. čtvrtletí 2020;Meziroční index (%) - očištěno o kalendářní vlivy;95.7478857429
Česko;Průmysl celkem;1. čtvrtletí 2020;Mezičtvrtletní index (%) - sezónně očištěno;97.3094976371
Česko;Průmysl celkem;4. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - neočištěno ;102.05206957
Česko;Průmysl celkem;4. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;101.9858449667
Česko;Průmysl celkem;4. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;99.38054098
Česko;Průmysl celkem;4. čtvrtletí 2019;Meziroční index (%) - neočištěno;96.9479958818
Česko;Průmysl celkem;4. čtvrtletí 2019;Meziroční index (%) - očištěno o kalendářní vlivy;98.2275929003
Česko;Průmysl celkem;4. čtvrtletí 2019;Mezičtvrtletní index (%) - sezónně očištěno;99.2839431804
Česko;Průmysl celkem;3. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - neočištěno ;96.94078821
Česko;Průmysl celkem;3. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;95.6088002567
Česko;Průmysl celkem;3. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.0972944833
Česko;Průmysl celkem;3. čtvrtletí 2019;Meziroční index (%) - neočištěno;102.0839289159
Česko;Průmysl celkem;3. čtvrtletí 2019;Meziroční index (%) - očištěno o kalendářní vlivy;98.4585669514
Česko;Průmysl celkem;3. čtvrtletí 2019;Mezičtvrtletní index (%) - sezónně očištěno;97.9260370552
Česko;Průmysl celkem;2. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - neočištěno ;103.0933788267
Česko;Průmysl celkem;2. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;104.18139108
Česko;Průmysl celkem;2. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;102.21724221
Česko;Průmysl celkem;2. čtvrtletí 2019;Meziroční index (%) - neočištěno;100.0321400459
Česko;Průmysl celkem;2. čtvrtletí 2019;Meziroční index (%) - očištěno o kalendářní vlivy;100.7192011662
Česko;Průmysl celkem;2. čtvrtletí 2019;Mezičtvrtletní index (%) - sezónně očištěno;101.5840787514
Česko;Průmysl celkem;1. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - neočištěno ;100.6511472733
Česko;Průmysl celkem;1. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;100.7953680033
Česko;Průmysl celkem;1. čtvrtletí 2019;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.6232900533
Česko;Průmysl celkem;1. čtvrtletí 2019;Meziroční index (%) - neočištěno;100.3189174461
Česko;Průmysl celkem;1. čtvrtletí 2019;Meziroční index (%) - očištěno o kalendářní vlivy;100.4723006001
Česko;Průmysl celkem;1. čtvrtletí 2019;Mezičtvrtletní index (%) - sezónně očištěno;99.3416142233
Česko;Průmysl celkem;4. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - neočištěno ;105.2647542033
Česko;Průmysl celkem;4. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;103.8260655233
Česko;Průmysl celkem;4. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.2901701267
Česko;Průmysl celkem;4. čtvrtletí 2018;Meziroční index (%) - neočištěno;103.2184824124
Česko;Průmysl celkem;4. čtvrtletí 2018;Meziroční index (%) - očištěno o kalendářní vlivy;101.5933483906
Česko;Průmysl celkem;4. čtvrtletí 2018;Mezičtvrtletní index (%) - sezónně očištěno;99.3134506936
Česko;Průmysl celkem;3. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - neočištěno ;94.9618507433
Česko;Průmysl celkem;3. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;97.10561835
Česko;Průmysl celkem;3. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.9903844033
Česko;Průmysl celkem;3. čtvrtletí 2018;Meziroční index (%) - neočištěno;103.5457408752
Česko;Průmysl celkem;3. čtvrtletí 2018;Meziroční index (%) - očištěno o kalendářní vlivy;103.7641930207
Česko;Průmysl celkem;3. čtvrtletí 2018;Mezičtvrtletní index (%) - sezónně očištěno;100.8928127319
Česko;Průmysl celkem;2. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - neočištěno ;103.0602552133
Česko;Průmysl celkem;2. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;103.4374676067
Česko;Průmysl celkem;2. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;101.0878591267
Česko;Průmysl celkem;2. čtvrtletí 2018;Meziroční index (%) - neočištěno;103.1914407584
Česko;Průmysl celkem;2. čtvrtletí 2018;Meziroční index (%) - očištěno o kalendářní vlivy;102.4365124655
Česko;Průmysl celkem;2. čtvrtletí 2018;Mezičtvrtletní index (%) - sezónně očištěno;101.0091984827
Česko;Průmysl celkem;1. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - neočištěno ;100.3311736567
Česko;Průmysl celkem;1. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;100.3215487267
Česko;Průmysl celkem;1. čtvrtletí 2018;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.0778747333
Česko;Průmysl celkem;1. čtvrtletí 2018;Meziroční index (%) - neočištěno;102.2540728224
Česko;Průmysl celkem;1. čtvrtletí 2018;Meziroční index (%) - očištěno o kalendářní vlivy;104.346215232
Česko;Průmysl celkem;1. čtvrtletí 2018;Mezičtvrtletní index (%) - sezónně očištěno;99.9718250712
Česko;Průmysl celkem;4. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - neočištěno ;101.9824664567
Česko;Průmysl celkem;4. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;102.1977001133
Česko;Průmysl celkem;4. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;100.10607955
Česko;Průmysl celkem;4. čtvrtletí 2017;Meziroční index (%) - neočištěno;107.8255195772
Česko;Průmysl celkem;4. čtvrtletí 2017;Meziroční index (%) - očištěno o kalendářní vlivy;107.2646448002
Česko;Průmysl celkem;4. čtvrtletí 2017;Mezičtvrtletní index (%) - sezónně očištěno;101.9010506332
Česko;Průmysl celkem;3. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - neočištěno ;91.7100500133
Česko;Průmysl celkem;3. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;93.5829745533
Česko;Průmysl celkem;3. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;98.2385156267
Česko;Průmysl celkem;3. čtvrtletí 2017;Meziroční index (%) - neočištěno;105.4512925421
Česko;Průmysl celkem;3. čtvrtletí 2017;Meziroční index (%) - očištěno o kalendářní vlivy;106.4710085308
Česko;Průmysl celkem;3. čtvrtletí 2017;Mezičtvrtletní index (%) - sezónně očištěno;99.6746122057
Česko;Průmysl celkem;2. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - neočištěno ;99.87287168
Česko;Průmysl celkem;2. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;100.9771468367
Česko;Průmysl celkem;2. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;98.5592152833
Česko;Průmysl celkem;2. čtvrtletí 2017;Meziroční index (%) - neočištěno;104.2792183384
Česko;Průmysl celkem;2. čtvrtletí 2017;Meziroční index (%) - očištěno o kalendářní vlivy;108.0757287748
Česko;Průmysl celkem;2. čtvrtletí 2017;Mezičtvrtletní index (%) - sezónně očištěno;103.090193633
Česko;Průmysl celkem;1. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - neočištěno ;98.1194889233
Česko;Průmysl celkem;1. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;96.14296839
Česko;Průmysl celkem;1. čtvrtletí 2017;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;95.6048405867
Česko;Průmysl celkem;1. čtvrtletí 2017;Meziroční index (%) - neočištěno;108.403973944
Česko;Průmysl celkem;1. čtvrtletí 2017;Meziroční index (%) - očištěno o kalendářní vlivy;104.4694819295
Česko;Průmysl celkem;1. čtvrtletí 2017;Mezičtvrtletní index (%) - sezónně očištěno;102.7038577703
Česko;Průmysl celkem;4. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - neočištěno ;94.58101093
Česko;Průmysl celkem;4. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;95.2762210733
Česko;Průmysl celkem;4. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;93.0878767967
Česko;Průmysl celkem;4. čtvrtletí 2016;Meziroční index (%) - neočištěno;103.5282507251
Česko;Průmysl celkem;4. čtvrtletí 2016;Meziroční index (%) - očištěno o kalendářní vlivy;103.3466528042
Česko;Průmysl celkem;4. čtvrtletí 2016;Mezičtvrtletní index (%) - sezónně očištěno;101.1446654518
Česko;Průmysl celkem;3. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - neočištěno ;86.9691094367
Česko;Průmysl celkem;3. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;87.89526449
Česko;Průmysl celkem;3. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;92.03439092
Česko;Průmysl celkem;3. čtvrtletí 2016;Meziroční index (%) - neočištěno;100.8419086554
Česko;Průmysl celkem;3. čtvrtletí 2016;Meziroční index (%) - očištěno o kalendářní vlivy;101.2957724596
Česko;Průmysl celkem;3. čtvrtletí 2016;Mezičtvrtletní index (%) - sezónně očištěno;100.750462983
Česko;Průmysl celkem;2. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - neočištěno ;95.7744728733
Česko;Průmysl celkem;2. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;93.4318444867
Česko;Průmysl celkem;2. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;91.3488516033
Česko;Průmysl celkem;2. čtvrtletí 2016;Meziroční index (%) - neočištěno;106.0683503405
Česko;Průmysl celkem;2. čtvrtletí 2016;Meziroční index (%) - očištěno o kalendářní vlivy;101.6673401017
Česko;Průmysl celkem;2. čtvrtletí 2016;Mezičtvrtletní index (%) - sezónně očištěno;99.4592291304
Česko;Průmysl celkem;1. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - neočištěno ;90.5128154933
Česko;Průmysl celkem;1. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;92.0297168267
Česko;Průmysl celkem;1. čtvrtletí 2016;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;91.84552545
Česko;Průmysl celkem;1. čtvrtletí 2016;Meziroční index (%) - neočištěno;103.1648079869
Česko;Průmysl celkem;1. čtvrtletí 2016;Meziroční index (%) - očištěno o kalendářní vlivy;103.7935036282
Česko;Průmysl celkem;1. čtvrtletí 2016;Mezičtvrtletní index (%) - sezónně očištěno;101.9462664327
Česko;Průmysl celkem;4. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - neočištěno ;91.3576828233
Česko;Průmysl celkem;4. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;92.1909113533
Česko;Průmysl celkem;4. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;90.09209328
Česko;Průmysl celkem;4. čtvrtletí 2015;Meziroční index (%) - neočištěno;103.1713637379
Česko;Průmysl celkem;4. čtvrtletí 2015;Meziroční index (%) - očištěno o kalendářní vlivy;102.4009241676
Česko;Průmysl celkem;4. čtvrtletí 2015;Mezičtvrtletní index (%) - sezónně očištěno;99.0698853952
Česko;Průmysl celkem;3. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - neočištěno ;86.24302197
Česko;Průmysl celkem;3. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - očištěno o kalendářní vlivy;86.7709109233
Česko;Průmysl celkem;3. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - sezónně očištěno;90.9379201567
Česko;Průmysl celkem;3. čtvrtletí 2015;Meziroční index (%) - neočištěno;103.622681451
Česko;Průmysl celkem;3. čtvrtletí 2015;Meziroční index (%) - očištěno o kalendářní vlivy;105.6592883106
Česko;Průmysl celkem;3. čtvrtletí 2015;Mezičtvrtletní index (%) - sezónně očištěno;101.2088027243
Česko;Průmysl celkem;2. čtvrtletí 2015;Bazický index (průměr roku 2021=100) (%) - neočištěno ;90.2950527333
