Typ indexu,Ukazatel,Očištění,Území,Odvětví (NACE),Roky,value
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2019,100.4533726888
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2020,87.2008405249
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2021,106.3643186903
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2022,96.5159571499
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2023,104.3712543006
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45+47.3 Obchod, opravy a údržba motorových vozidel a maloobchodní prodej pohonných hmot",2024,101.7128808997
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2000,
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2001,113.2204553691
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2002,101.4743919999
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2003,105.3453107122
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2004,103.8445149978
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2005,112.3934866739
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2006,116.0557033951
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2007,115.2630899084
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2008,98.9148437485
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2009,89.5490555634
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2010,105.9986021518
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2011,105.6528807377
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2012,98.3910348245
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2013,104.30397653
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2014,112.0199552823
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2015,111.9812155752
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2016,107.7387357527
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2017,103.0855950999
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2018,98.4348379249
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2019,100.0722907471
Meziroční index,Index tržeb bez DPH - stálé ceny (%),"Sezónně očištěno, včetně očištění o kalendářní vlivy",Česko,"45 Obchod, opravy a údržba motorových vozidel",2020,86.1833995554
