Stát,Typ ceny,Čtvrtletí,Ukazatel,Typ indexu,value
Česko,Běžné ceny,2. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Meziroční index,116.5459670711
Česko,Běžné ceny,2. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),125.8787226333
Česko,Běžné ceny,1. čtvrtletí 2022,Index stavební produkce - Celkem (%),Meziroční index,126.6920371906
Česko,Běžné ceny,1. čtvrtletí 2022,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),78.1709858767
Česko,Běžné ceny,1. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Meziroční index,124.8508759885
Česko,Běžné ceny,1. čtvrtletí 2022,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),85.0243861967
Česko,Běžné ceny,1. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Meziroční index,131.5020739338
Česko,Běžné ceny,1. čtvrtletí 2022,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),65.1462834233
Česko,Běžné ceny,4. čtvrtletí 2021,Index stavební produkce - Celkem (%),Meziroční index,113.5935025261
Česko,Běžné ceny,4. čtvrtletí 2021,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),122.1327151233
Česko,Běžné ceny,4. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Meziroční index,119.5283372953
Česko,Běžné ceny,4. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),120.4311884433
Česko,Běžné ceny,4. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Meziroční index,104.152324707
Česko,Běžné ceny,4. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),125.3664206967
Česko,Běžné ceny,3. čtvrtletí 2021,Index stavební produkce - Celkem (%),Meziroční index,109.3237806969
Česko,Běžné ceny,3. čtvrtletí 2021,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),113.3359089833
Česko,Běžné ceny,3. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Meziroční index,111.0836315575
Česko,Běžné ceny,3. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),111.36284108
Česko,Běžné ceny,3. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Meziroční index,106.2802572181
Česko,Běžné ceny,3. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),117.0856713033
Česko,Běžné ceny,2. čtvrtletí 2021,Index stavební produkce - Celkem (%),Meziroční index,109.6959832421
Česko,Běžné ceny,2. čtvrtletí 2021,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),102.8297981033
Česko,Běžné ceny,2. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Meziroční index,109.5494655525
Česko,Běžné ceny,2. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),100.10521786
Česko,Běžné ceny,2. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Meziroční index,109.9550181069
Česko,Běžné ceny,2. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),108.00778937
Česko,Běžné ceny,1. čtvrtletí 2021,Index stavební produkce - Celkem (%),Meziroční index,96.7260141094
Česko,Běžné ceny,1. čtvrtletí 2021,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),61.7015777867
Česko,Běžné ceny,1. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Meziroční index,95.264204035
Česko,Běžné ceny,1. čtvrtletí 2021,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),68.1007526167
Česko,Běžné ceny,1. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Meziroční index,100.7655344691
Česko,Běžné ceny,1. čtvrtletí 2021,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),49.5401186267
Česko,Běžné ceny,4. čtvrtletí 2020,Index stavební produkce - Celkem (%),Meziroční index,94.2311879191
Česko,Běžné ceny,4. čtvrtletí 2020,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),107.51734246
Česko,Běžné ceny,4. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Meziroční index,90.2237700855
Česko,Běžné ceny,4. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),100.7553448567
Česko,Běžné ceny,4. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Meziroční index,101.3955956204
Česko,Běžné ceny,4. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),120.36833652
Česko,Běžné ceny,3. čtvrtletí 2020,Index stavební produkce - Celkem (%),Meziroční index,92.1171161505
Česko,Běžné ceny,3. čtvrtletí 2020,Index stavební produkce - Celkem (%),Bazický index (2021 = 100),103.66995018
Česko,Běžné ceny,3. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Meziroční index,91.3393062213
Česko,Běžné ceny,3. čtvrtletí 2020,Index stavební produkce - Pozemní stavby (%),Bazický index (2021 = 100),100.2513507333
Česko,Běžné ceny,3. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Meziroční index,93.494009649
Česko,Běžné ceny,3. čtvrtletí 2020,Index stavební produkce - Inženýrské stavby (%),Bazický index (2021 = 100),110.1669062233
Česko,Běžné ceny,2. čtvrtletí 2020,Index stavební produkce - Celkem (%),Meziroční index,96.1774328242
