Území,Ukazatel,Typ ceny,Očištění,CZCPA,Roky,value
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2021,50.350098
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2020,24.206007
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2019,38.506864
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2018,53.017111
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2017,596.352015
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2016,112.282085
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,07 Rudy,2015,100.394944
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2024,5596.925393
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2023,5516.457775
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2022,5735.147976
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2021,5065.294518
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2020,4637.44657
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2019,4634.414194
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2018,4449.640394
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2017,4456.152527
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2016,4276.22521
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,08 Ostatní těžba a dobývání nerostných surovin,2015,4398.87093
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2024,189438.100712
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2023,167564.221455
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2022,147959.321173
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2021,118519.428351
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2020,110856.936831
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2019,113875.802642
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2018,106988.701658
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2017,108807.201258
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2016,114639.394349
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"10 Potravinářské výrobky, vč. souvisejících služeb a prací",2015,116278.610552
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2024,25056.776871
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2023,22131.906036
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2022,19092.889621
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2021,17753.809081
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2020,16408.804614
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2019,18427.083087
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2018,17468.630268
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2017,16668.212955
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2016,17061.080214
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"11 Nápoje, vč. subdodavatelských prací",2015,17333.931566
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2024,2151.034417
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2023,1500.650041
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2022,1778.52559
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2021,1610.243667
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2020,1623.264054
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2019,1435.327182
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2018,1481.118884
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2017,1577.765445
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2016,1283.94736
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"12 Tabákové výrobky, vč. subdodavatelských prací",2015,1484.390654
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2024,59116.290962
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2023,58950.596158
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2022,63969.842628
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2021,57618.073388
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2020,55749.743825
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2019,60592.956264
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2018,60652.889915
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2017,60137.689638
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2016,58303.328208
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"13 Textilie, vč. souvisejících služeb a prací",2015,56120.426432
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2024,24844.184673
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2023,21671.968319
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2022,18713.432975
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2021,19291.5705
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2020,17371.638448
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2019,30229.914293
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2018,27089.85925
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2017,24865.313147
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2016,21118.317523
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"14 Oděvy, vč. subdodavatelských prací",2015,19741.188555
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2024,17059.285383
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2023,18716.811815
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2022,13291.964972
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2021,11403.384709
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2020,10482.401325
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2019,10502.055316
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2018,9647.142499
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2017,10129.070932
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2016,8683.524396
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"15 Usně a související výrobky, vč. subdodavatelských prací",2015,8489.281684
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2024,45299.002625
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2023,45681.175228
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2022,60149.922801
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2021,56452.442533
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2020,40685.943416
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2019,40658.558801
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2018,42238.613337
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2017,39361.860684
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2016,37577.543897
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"16 Dřevo a dřevěné a korkové výrobky, kromě nábytku; proutěné a slaměné výrobky, vč. souvisejících služeb a prací",2015,37267.968911
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2024,83679.047663
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2023,79282.050027
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2022,83822.004008
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2021,65307.744306
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2020,58500.659049
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2019,61778.275103
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2018,57787.649196
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2017,55192.711111
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2016,52865.672511
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"17 Papír a výrobky z papíru, vč. subdodavatelských prací",2015,53362.805067
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2024,585.698989
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2023,446.416641
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2022,469.329654
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2021,391.365097
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2020,357.335281
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2019,361.900057
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2018,647.024309
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2017,748.162167
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2016,776.702188
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,18 Tiskařské a nahrávací služby,2015,717.469244
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2024,42364.007555
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2023,51015.50308
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2022,58110.186986
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2021,42719.860992
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2020,25503.161142
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2019,39801.030779
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2018,40228.812015
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2017,36551.472467
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2016,28402.14746
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"19 Koks a rafinované ropné produkty, vč. subdodavatelských prací",2015,38310.464108
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2024,221496.298551
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2023,207120.671
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2022,235301.275777
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2021,200766.485885
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2020,152525.052886
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2019,170078.651886
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2018,164385.134019
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2017,160496.771281
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2016,140839.636137
Česko,"Vývoz (v mil. Kč, FOB)",Běžné ceny,Bez očištění,"20 Chemické látky a chemické přípravky, vč. subdodavatelských prací",2015,150270.798668
