Území,Roky,Země,Ukazatel,value
Česko,2024,Anguilla,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Anguilla,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Anguilla,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Anguilla,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Anguilla,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Anguilla,Pohyb zboží do ČR (meziroční index),
Česko,2024,Anguilla,Obrat pohybu zboží (meziroční index),
Česko,2024,Antarktida,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Antarktida,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Antarktida,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Antarktida,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Antarktida,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Antarktida,Pohyb zboží do ČR (meziroční index),
Česko,2024,Antarktida,Obrat pohybu zboží (meziroční index),
Česko,2024,Antigua a Barbuda,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Antigua a Barbuda,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Antigua a Barbuda,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Antigua a Barbuda,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Antigua a Barbuda,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Antigua a Barbuda,Pohyb zboží do ČR (meziroční index),
Česko,2024,Antigua a Barbuda,Obrat pohybu zboží (meziroční index),
Česko,2024,Argentina,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Argentina,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Argentina,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Argentina,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Argentina,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Argentina,Pohyb zboží do ČR (meziroční index),
Česko,2024,Argentina,Obrat pohybu zboží (meziroční index),
Česko,2024,Arménie,"Pohyb zboží z ČR (v mil. Kč, FOB)",
Česko,2024,Arménie,"Pohyb zboží do ČR (v mil. Kč, CIF)",
Česko,2024,Arménie,Bilance - pohyb zboží (v mil. Kč),
Česko,2024,Arménie,Obrat - pohyb zboží (v mil. Kč),
Česko,2024,Arménie,Pohyb zboží z ČR (meziroční index ),
Česko,2024,Arménie,Pohyb zboží do ČR (meziroční index),
Česko,2024,Arménie,Obrat pohybu zboží (meziroční index),
Česko,2024,Aruba,"Pohyb zboží z ČR (v mil. Kč, FOB)",
