Správní obvody hl. města Prahy;Roky;Kategorie ubytovacího zařízení;Ukazatel;Rezidence;value
Praha 1;2023;Hotel, motel, botel ****;Průměrný počet přenocování ;Rezidenti;1.6398783923
Praha 1;2023;Hotel, motel, botel ****;Průměrný počet přenocování ;Nerezidenti;2.5669829638
Praha 1;2023;Hotel, motel, botel ***;Počet hostů;Celkem;409294.0
Praha 1;2023;Hotel, motel, botel ***;Počet hostů;Rezidenti;69490.0
Praha 1;2023;Hotel, motel, botel ***;Počet hostů;Nerezidenti;339804.0
Praha 1;2023;Hotel, motel, botel ***;Počet přenocování;Celkem;917889.0
Praha 1;2023;Hotel, motel, botel ***;Počet přenocování;Rezidenti;112293.0
Praha 1;2023;Hotel, motel, botel ***;Počet přenocování;Nerezidenti;805596.0
Praha 1;2023;Hotel, motel, botel ***;Průměrný počet přenocování ;Celkem;2.2426153327
Praha 1;2023;Hotel, motel, botel ***;Průměrný počet přenocování ;Rezidenti;1.6159591308
Praha 1;2023;Hotel, motel, botel ***;Průměrný počet přenocování ;Nerezidenti;2.3707666773
Praha 1;2023;Hotel, motel, botel **;Počet hostů;Celkem;
Praha 1;2023;Hotel, motel, botel **;Počet hostů;Rezidenti;
Praha 1;2023;Hotel, motel, botel **;Počet hostů;Nerezidenti;
Praha 1;2023;Hotel, motel, botel **;Počet přenocování;Celkem;
Praha 1;2023;Hotel, motel, botel **;Počet přenocování;Rezidenti;
Praha 1;2023;Hotel, motel, botel **;Počet přenocování;Nerezidenti;
Praha 1;2023;Hotel, motel, botel **;Průměrný počet přenocování ;Celkem;
Praha 1;2023;Hotel, motel, botel **;Průměrný počet přenocování ;Rezidenti;
Praha 1;2023;Hotel, motel, botel **;Průměrný počet přenocování ;Nerezidenti;
Praha 1;2023;Hotel, motel, botel *;Počet hostů;Celkem;
Praha 1;2023;Hotel, motel, botel *;Počet hostů;Rezidenti;
Praha 1;2023;Hotel, motel, botel *;Počet hostů;Nerezidenti;
Praha 1;2023;Hotel, motel, botel *;Počet přenocování;Celkem;
Praha 1;2023;Hotel, motel, botel *;Počet přenocování;Rezidenti;
Praha 1;2023;Hotel, motel, botel *;Počet přenocování;Nerezidenti;
Praha 1;2023;Hotel, motel, botel *;Průměrný počet přenocování ;Celkem;
Praha 1;2023;Hotel, motel, botel *;Průměrný počet přenocování ;Rezidenti;
Praha 1;2023;Hotel, motel, botel *;Průměrný počet přenocování ;Nerezidenti;
Praha 1;2023;Hotel garni;Počet hostů;Celkem;
Praha 1;2023;Hotel garni;Počet hostů;Rezidenti;
Praha 1;2023;Hotel garni;Počet hostů;Nerezidenti;
Praha 1;2023;Hotel garni;Počet přenocování;Celkem;
Praha 1;2023;Hotel garni;Počet přenocování;Rezidenti;
Praha 1;2023;Hotel garni;Počet přenocování;Nerezidenti;
Praha 1;2023;Hotel garni;Průměrný počet přenocování ;Celkem;
Praha 1;2023;Hotel garni;Průměrný počet přenocování ;Rezidenti;
Praha 1;2023;Hotel garni;Průměrný počet přenocování ;Nerezidenti;
Praha 1;2023;Penzion;Počet hostů;Celkem;22378.0
Praha 1;2023;Penzion;Počet hostů;Rezidenti;3997.0
Praha 1;2023;Penzion;Počet hostů;Nerezidenti;18381.0
Praha 1;2023;Penzion;Počet přenocování;Celkem;54607.0
Praha 1;2023;Penzion;Počet přenocování;Rezidenti;8033.0
Praha 1;2023;Penzion;Počet přenocování;Nerezidenti;46574.0
Praha 1;2023;Penzion;Průměrný počet přenocování ;Celkem;2.440209134
Praha 1;2023;Penzion;Průměrný počet přenocování ;Rezidenti;2.009757318
Praha 1;2023;Penzion;Průměrný počet přenocování ;Nerezidenti;2.5338120886
Praha 1;2023;Kemp;Počet hostů;Celkem;
Praha 1;2023;Kemp;Počet hostů;Rezidenti;
Praha 1;2023;Kemp;Počet hostů;Nerezidenti;
Praha 1;2023;Kemp;Počet přenocování;Celkem;
Praha 1;2023;Kemp;Počet přenocování;Rezidenti;
Praha 1;2023;Kemp;Počet přenocování;Nerezidenti;
Praha 1;2023;Kemp;Průměrný počet přenocování ;Celkem;
Praha 1;2023;Kemp;Průměrný počet přenocování ;Rezidenti;
Praha 1;2023;Kemp;Průměrný počet přenocování ;Nerezidenti;
Praha 1;2023;Chatová osada;Počet hostů;Celkem;
Praha 1;2023;Chatová osada;Počet hostů;Rezidenti;
Praha 1;2023;Chatová osada;Počet hostů;Nerezidenti;
Praha 1;2023;Chatová osada;Počet přenocování;Celkem;
Praha 1;2023;Chatová osada;Počet přenocování;Rezidenti;
Praha 1;2023;Chatová osada;Počet přenocování;Nerezidenti;
Praha 1;2023;Chatová osada;Průměrný počet přenocování ;Celkem;
Praha 1;2023;Chatová osada;Průměrný počet přenocování ;Rezidenti;
Praha 1;2023;Chatová osada;Průměrný počet přenocování ;Nerezidenti;
Praha 1;2023;Turistická ubytovna;Počet hostů;Celkem;88107.0
Praha 1;2023;Turistická ubytovna;Počet hostů;Rezidenti;18734.0
Praha 1;2023;Turistická ubytovna;Počet hostů;Nerezidenti;69373.0
Praha 1;2023;Turistická ubytovna;Počet přenocování;Celkem;210026.0
Praha 1;2023;Turistická ubytovna;Počet přenocování;Rezidenti;37953.0
Praha 1;2023;Turistická ubytovna;Počet přenocování;Nerezidenti;172073.0
Praha 1;2023;Turistická ubytovna;Průměrný počet přenocování ;Celkem;2.3837606547
Praha 1;2023;Turistická ubytovna;Průměrný počet přenocování ;Rezidenti;2.0258887584
Praha 1;2023;Turistická ubytovna;Průměrný počet přenocování ;Nerezidenti;2.4804030386
Praha 1;2023;Ostatní HUZ;Počet hostů;Celkem;132224.0
Praha 1;2023;Ostatní HUZ;Počet hostů;Rezidenti;19817.0
Praha 1;2023;Ostatní HUZ;Počet hostů;Nerezidenti;112407.0
Praha 1;2023;Ostatní HUZ;Počet přenocování;Celkem;337186.0
Praha 1;2023;Ostatní HUZ;Počet přenocování;Rezidenti;37416.0
Praha 1;2023;Ostatní HUZ;Počet přenocování;Nerezidenti;299770.0
Praha 1;2023;Ostatní HUZ;Průměrný počet přenocování ;Celkem;2.5501119313
Praha 1;2023;Ostatní HUZ;Průměrný počet přenocování ;Rezidenti;1.8880758944
Praha 1;2023;Ostatní HUZ;Průměrný počet přenocování ;Nerezidenti;2.666826799
