Území,Ukazatel,Typ indexu,Typ zakázek,Očištění,Vybraná odvětví průmyslu,Kumulace měsíců,value
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2020,105.8635981338
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2019,100.3326264151
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2019,100.5684576856
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2019,100.9860569683
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2019,101.9604067676
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2019,102.0047413517
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2019,102.7045011508
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2019,101.8497225008
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2019,104.1728156465
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2019,104.1900234796
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2019,102.9569365899
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2019,101.924638573
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2019,102.2612982377
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2018,103.5305025962
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2018,104.2925596887
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2018,104.1945679361
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2018,103.293549502
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2018,103.8254739976
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2018,104.072520448
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2018,103.1130206623
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2018,102.603643237
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2018,100.905162072
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2018,101.6339188737
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2018,103.7893674518
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2018,103.7123086302
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2017,107.4334370103
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2017,107.3403145228
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2017,107.8403646952
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2017,107.4077137992
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2017,107.5645536208
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2017,107.7703536911
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2017,107.6340970873
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2017,108.0680451131
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2017,107.4029777271
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2017,110.8414791208
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2017,108.6710258032
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2017,109.163320178
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2016,105.1060601884
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2016,104.6736796494
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2016,103.9980628491
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2016,104.5826250739
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2016,104.7636582187
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2016,102.9682377799
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2016,105.9717317602
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2016,106.215990733
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2016,104.3438382772
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2016,101.3550678537
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2016,102.4487407118
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2016,103.6712207044
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2015,106.3122848704
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2015,106.5335682273
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2015,106.4786428889
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2015,106.4088994213
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2015,107.050806598
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2015,106.8441611865
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2015,107.5337137352
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2015,106.8601085312
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2015,108.0500395649
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2015,108.5397250977
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2015,107.1098146557
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2015,104.0292893176
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2014,112.6183229247
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2014,112.7040877602
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2014,113.8033271498
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2014,114.4535042433
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2014,114.4763090631
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2014,116.2380058552
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2014,116.1304685689
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2014,116.0749681533
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2014,117.6312365355
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2014,118.4545762567
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2014,118.9547840115
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2014,117.1611312169
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2013,103.7557656643
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2013,102.6135416945
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2013,101.7666064222
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2013,101.0020000903
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2013,99.267920211
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2013,97.7706871639
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2013,96.1440761036
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2013,95.4026092395
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2013,95.8064178242
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2013,93.2433124601
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2013,91.0211724463
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2013,92.0020576379
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2012,102.1554865499
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2012,103.2497667293
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2012,103.7989621664
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2012,103.6224465467
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2012,104.7288006229
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2012,105.3152997867
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2012,104.0409200912
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2012,105.5389940014
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2012,105.7427457793
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2012,107.8919882277
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2012,112.3065585908
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2012,114.6243716868
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2011,104.0357517916
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2011,104.6443717406
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2011,104.8887639266
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2011,105.2570257756
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2011,105.8221641088
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2011,107.3852654204
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2011,108.5589394389
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2011,109.7363964712
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2011,111.2484080492
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2011,112.0431070923
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2011,115.008425487
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2011,116.8500373324
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2010,115.3568176567
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2010,115.7387718899
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2010,115.9055053037
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2010,116.0988721605
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2010,115.9424088081
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2010,114.9821908918
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2010,115.4530193412
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2010,115.939597445
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2010,113.1332962497
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2010,112.0553919007
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2010,108.4250727129
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2010,106.9287499661
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2009,82.8142368373
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2009,80.6987606712
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2009,78.5280269265
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2009,77.7334032298
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2009,76.9611227053
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2009,76.0738527371
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2009,75.8386504686
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2009,73.8622394193
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2009,74.3106521913
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2009,74.6101123236
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2009,71.9917440272
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2009,70.1752119584
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2008,97.2759078714
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – listopad 2008,98.6730034222
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – říjen 2008,101.1066237478
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – září 2008,103.6829840117
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – srpen 2008,104.1857354152
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červenec 2008,105.9208526482
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – červen 2008,106.0810291014
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – květen 2008,107.5663353125
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – duben 2008,108.0190655724
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – březen 2008,106.8237645508
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – únor 2008,109.8137219706
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden 2008,110.2813631958
Česko,Nové průmyslové zakázky (běžné ceny),Meziroční index,Celkem,Bez očištění,Průmysl,leden – prosinec 2007,111.2202576018
