Ukazatel;Území;Měsíce;Komodity SITC;value
Dovoz (v mil. Kč, CIF);Česko;duben 2024;3 Minerální paliva, maziva a příbuzné materiály;20695.165126
Dovoz (v mil. Kč, CIF);Česko;duben 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1095.500345
Dovoz (v mil. Kč, CIF);Česko;duben 2024;5 Chemikálie a příbuzné výrobky, j. n.;47380.490615
Dovoz (v mil. Kč, CIF);Česko;duben 2024;6 Tržní výrobky tříděné hlavně podle materiálu;64518.009862
Dovoz (v mil. Kč, CIF);Česko;duben 2024;7 Stroje a dopravní prostředky;170071.587173
Dovoz (v mil. Kč, CIF);Česko;duben 2024;8 Průmyslové spotřební zboží;43297.334713
Dovoz (v mil. Kč, CIF);Česko;duben 2024;9 Komodity a předměty obchodu, j. n.;1138.326728
Dovoz (v mil. Kč, CIF);Česko;březen 2024;0 Potraviny a živá zvířata;22559.129062
Dovoz (v mil. Kč, CIF);Česko;březen 2024;1 Nápoje a tabák;3717.920788
Dovoz (v mil. Kč, CIF);Česko;březen 2024;2 Suroviny nepoživatelné, s výjimkou paliv;7759.085256
Dovoz (v mil. Kč, CIF);Česko;březen 2024;3 Minerální paliva, maziva a příbuzné materiály;23904.079743
Dovoz (v mil. Kč, CIF);Česko;březen 2024;4 Živočišné a rostlinné oleje, tuky a vosky;1046.468587
Dovoz (v mil. Kč, CIF);Česko;březen 2024;5 Chemikálie a příbuzné výrobky, j. n.;45454.381844
Dovoz (v mil. Kč, CIF);Česko;březen 2024;6 Tržní výrobky tříděné hlavně podle materiálu;61845.66817
Dovoz (v mil. Kč, CIF);Česko;březen 2024;7 Stroje a dopravní prostředky;156679.665422
Dovoz (v mil. Kč, CIF);Česko;březen 2024;8 Průmyslové spotřební zboží;41017.677207
Dovoz (v mil. Kč, CIF);Česko;březen 2024;9 Komodity a předměty obchodu, j. n.;928.359375
Dovoz (v mil. Kč, CIF);Česko;únor 2024;0 Potraviny a živá zvířata;22212.457573
Dovoz (v mil. Kč, CIF);Česko;únor 2024;1 Nápoje a tabák;3604.989681
Dovoz (v mil. Kč, CIF);Česko;únor 2024;2 Suroviny nepoživatelné, s výjimkou paliv;7380.965524
Dovoz (v mil. Kč, CIF);Česko;únor 2024;3 Minerální paliva, maziva a příbuzné materiály;25697.153482
