Ukazatel,Roky,"ČR, kraje",Věk muže (pětileté skupiny),value
Rozvody,2024,Karlovarský kraj,55 - 59,71
Rozvody,2024,Karlovarský kraj,60 - 64,41
Rozvody,2024,Karlovarský kraj,65 a více,30
Rozvody,2024,Ústecký kraj,Celkem,1655
Rozvody,2024,Ústecký kraj,do 19,0
Rozvody,2024,Ústecký kraj,20 - 24,8
Rozvody,2024,Ústecký kraj,25 - 29,56
Rozvody,2024,Ústecký kraj,30 - 34,174
Rozvody,2024,Ústecký kraj,35 - 39,226
Rozvody,2024,Ústecký kraj,40 - 44,275
Rozvody,2024,Ústecký kraj,45 - 49,345
Rozvody,2024,Ústecký kraj,50 - 54,268
Rozvody,2024,Ústecký kraj,55 - 59,150
Rozvody,2024,Ústecký kraj,60 - 64,73
Rozvody,2024,Ústecký kraj,65 a více,80
Rozvody,2024,Liberecký kraj,Celkem,880
Rozvody,2024,Liberecký kraj,do 19,0
Rozvody,2024,Liberecký kraj,20 - 24,6
Rozvody,2024,Liberecký kraj,25 - 29,31
Rozvody,2024,Liberecký kraj,30 - 34,84
Rozvody,2024,Liberecký kraj,35 - 39,135
Rozvody,2024,Liberecký kraj,40 - 44,149
Rozvody,2024,Liberecký kraj,45 - 49,176
Rozvody,2024,Liberecký kraj,50 - 54,139
Rozvody,2024,Liberecký kraj,55 - 59,83
Rozvody,2024,Liberecký kraj,60 - 64,41
Rozvody,2024,Liberecký kraj,65 a více,36
Rozvody,2024,Královéhradecký kraj,Celkem,1078
Rozvody,2024,Královéhradecký kraj,do 19,0
Rozvody,2024,Královéhradecký kraj,20 - 24,8
Rozvody,2024,Královéhradecký kraj,25 - 29,32
Rozvody,2024,Královéhradecký kraj,30 - 34,94
Rozvody,2024,Královéhradecký kraj,35 - 39,131
Rozvody,2024,Královéhradecký kraj,40 - 44,187
Rozvody,2024,Královéhradecký kraj,45 - 49,255
Rozvody,2024,Královéhradecký kraj,50 - 54,170
Rozvody,2024,Královéhradecký kraj,55 - 59,108
Rozvody,2024,Královéhradecký kraj,60 - 64,51
Rozvody,2024,Královéhradecký kraj,65 a více,42
Rozvody,2024,Pardubický kraj,Celkem,1024
Rozvody,2024,Pardubický kraj,do 19,0
Rozvody,2024,Pardubický kraj,20 - 24,3
Rozvody,2024,Pardubický kraj,25 - 29,38
Rozvody,2024,Pardubický kraj,30 - 34,106
Rozvody,2024,Pardubický kraj,35 - 39,135
Rozvody,2024,Pardubický kraj,40 - 44,179
Rozvody,2024,Pardubický kraj,45 - 49,198
Rozvody,2024,Pardubický kraj,50 - 54,185
Rozvody,2024,Pardubický kraj,55 - 59,98
Rozvody,2024,Pardubický kraj,60 - 64,46
Rozvody,2024,Pardubický kraj,65 a více,36
Rozvody,2024,Kraj Vysočina,Celkem,888
Rozvody,2024,Kraj Vysočina,do 19,0
Rozvody,2024,Kraj Vysočina,20 - 24,5
Rozvody,2024,Kraj Vysočina,25 - 29,45
Rozvody,2024,Kraj Vysočina,30 - 34,87
Rozvody,2024,Kraj Vysočina,35 - 39,130
Rozvody,2024,Kraj Vysočina,40 - 44,181
Rozvody,2024,Kraj Vysočina,45 - 49,170
Rozvody,2024,Kraj Vysočina,50 - 54,134
Rozvody,2024,Kraj Vysočina,55 - 59,82
Rozvody,2024,Kraj Vysočina,60 - 64,27
Rozvody,2024,Kraj Vysočina,65 a více,27
Rozvody,2024,Jihomoravský kraj,Celkem,2288
Rozvody,2024,Jihomoravský kraj,do 19,0
Rozvody,2024,Jihomoravský kraj,20 - 24,5
Rozvody,2024,Jihomoravský kraj,25 - 29,72
Rozvody,2024,Jihomoravský kraj,30 - 34,232
Rozvody,2024,Jihomoravský kraj,35 - 39,307
Rozvody,2024,Jihomoravský kraj,40 - 44,397
Rozvody,2024,Jihomoravský kraj,45 - 49,530
Rozvody,2024,Jihomoravský kraj,50 - 54,352
Rozvody,2024,Jihomoravský kraj,55 - 59,204
Rozvody,2024,Jihomoravský kraj,60 - 64,113
Rozvody,2024,Jihomoravský kraj,65 a více,76
Rozvody,2024,Olomoucký kraj,Celkem,1236
Rozvody,2024,Olomoucký kraj,do 19,0
Rozvody,2024,Olomoucký kraj,20 - 24,2
Rozvody,2024,Olomoucký kraj,25 - 29,45
Rozvody,2024,Olomoucký kraj,30 - 34,110
Rozvody,2024,Olomoucký kraj,35 - 39,166
Rozvody,2024,Olomoucký kraj,40 - 44,217
Rozvody,2024,Olomoucký kraj,45 - 49,275
Rozvody,2024,Olomoucký kraj,50 - 54,222
Rozvody,2024,Olomoucký kraj,55 - 59,94
Rozvody,2024,Olomoucký kraj,60 - 64,54
Rozvody,2024,Olomoucký kraj,65 a více,51
Rozvody,2024,Zlínský kraj,Celkem,1062
Rozvody,2024,Zlínský kraj,do 19,0
Rozvody,2024,Zlínský kraj,20 - 24,5
Rozvody,2024,Zlínský kraj,25 - 29,35
Rozvody,2024,Zlínský kraj,30 - 34,98
Rozvody,2024,Zlínský kraj,35 - 39,122
Rozvody,2024,Zlínský kraj,40 - 44,195
Rozvody,2024,Zlínský kraj,45 - 49,241
Rozvody,2024,Zlínský kraj,50 - 54,184
Rozvody,2024,Zlínský kraj,55 - 59,84
Rozvody,2024,Zlínský kraj,60 - 64,45
Rozvody,2024,Zlínský kraj,65 a více,53
Rozvody,2024,Moravskoslezský kraj,Celkem,2228
Rozvody,2024,Moravskoslezský kraj,do 19,0
Rozvody,2024,Moravskoslezský kraj,20 - 24,6
Rozvody,2024,Moravskoslezský kraj,25 - 29,73
Rozvody,2024,Moravskoslezský kraj,30 - 34,211
Rozvody,2024,Moravskoslezský kraj,35 - 39,323
Rozvody,2024,Moravskoslezský kraj,40 - 44,389
Rozvody,2024,Moravskoslezský kraj,45 - 49,476
Rozvody,2024,Moravskoslezský kraj,50 - 54,350
Rozvody,2024,Moravskoslezský kraj,55 - 59,208
Rozvody,2024,Moravskoslezský kraj,60 - 64,109
Rozvody,2024,Moravskoslezský kraj,65 a více,83
