Roky;Ukazatel;Rezidence;Oblasti destinačního managementu členěné;Kategorie ubytovacího zařízení;value
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Chatová osada;2809.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Turistická ubytovna;4921.0
2023;Počet hostů;Celkem;Toulava - Jihočeský kraj;Ostatní HUZ;31130.0
2023;Počet hostů;Celkem;Třeboňsko;HUZ celkem;197264.0
2023;Počet hostů;Celkem;Třeboňsko;Hotel *****;
2023;Počet hostů;Celkem;Třeboňsko;Hotel, motel, botel ****;22948.0
2023;Počet hostů;Celkem;Třeboňsko;Hotel, motel, botel ***;32744.0
2023;Počet hostů;Celkem;Třeboňsko;Hotel, motel, botel **;8452.0
2023;Počet hostů;Celkem;Třeboňsko;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Třeboňsko;Hotel garni;4671.0
2023;Počet hostů;Celkem;Třeboňsko;Penzion;47883.0
2023;Počet hostů;Celkem;Třeboňsko;Kemp;52940.0
2023;Počet hostů;Celkem;Třeboňsko;Chatová osada;3494.0
2023;Počet hostů;Celkem;Třeboňsko;Turistická ubytovna;4437.0
2023;Počet hostů;Celkem;Třeboňsko;Ostatní HUZ;19695.0
2023;Počet hostů;Celkem;Pobrdí;HUZ celkem;57921.0
2023;Počet hostů;Celkem;Pobrdí;Hotel *****;5392.0
2023;Počet hostů;Celkem;Pobrdí;Hotel, motel, botel ****;5462.0
2023;Počet hostů;Celkem;Pobrdí;Hotel, motel, botel ***;17863.0
2023;Počet hostů;Celkem;Pobrdí;Hotel, motel, botel **;3319.0
2023;Počet hostů;Celkem;Pobrdí;Hotel, motel, botel *;420.0
2023;Počet hostů;Celkem;Pobrdí;Hotel garni;
2023;Počet hostů;Celkem;Pobrdí;Penzion;8132.0
2023;Počet hostů;Celkem;Pobrdí;Kemp;7077.0
2023;Počet hostů;Celkem;Pobrdí;Chatová osada;3892.0
2023;Počet hostů;Celkem;Pobrdí;Turistická ubytovna;1282.0
2023;Počet hostů;Celkem;Pobrdí;Ostatní HUZ;5082.0
2023;Počet hostů;Celkem;Český les;HUZ celkem;177361.0
2023;Počet hostů;Celkem;Český les;Hotel *****;
2023;Počet hostů;Celkem;Český les;Hotel, motel, botel ****;61415.0
2023;Počet hostů;Celkem;Český les;Hotel, motel, botel ***;46516.0
2023;Počet hostů;Celkem;Český les;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Český les;Hotel, motel, botel *;5080.0
2023;Počet hostů;Celkem;Český les;Hotel garni;2948.0
2023;Počet hostů;Celkem;Český les;Penzion;27081.0
2023;Počet hostů;Celkem;Český les;Kemp;17091.0
2023;Počet hostů;Celkem;Český les;Chatová osada;4535.0
2023;Počet hostů;Celkem;Český les;Turistická ubytovna;3555.0
2023;Počet hostů;Celkem;Český les;Ostatní HUZ;9140.0
2023;Počet hostů;Celkem;Pošumaví;HUZ celkem;45055.0
2023;Počet hostů;Celkem;Pošumaví;Hotel *****;
2023;Počet hostů;Celkem;Pošumaví;Hotel, motel, botel ****;260.0
2023;Počet hostů;Celkem;Pošumaví;Hotel, motel, botel ***;9053.0
2023;Počet hostů;Celkem;Pošumaví;Hotel, motel, botel **;292.0
2023;Počet hostů;Celkem;Pošumaví;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Pošumaví;Hotel garni;
2023;Počet hostů;Celkem;Pošumaví;Penzion;13078.0
2023;Počet hostů;Celkem;Pošumaví;Kemp;15338.0
2023;Počet hostů;Celkem;Pošumaví;Chatová osada;731.0
2023;Počet hostů;Celkem;Pošumaví;Turistická ubytovna;1371.0
2023;Počet hostů;Celkem;Pošumaví;Ostatní HUZ;4932.0
2023;Počet hostů;Celkem;Plzeň a okolí;HUZ celkem;325123.0
2023;Počet hostů;Celkem;Plzeň a okolí;Hotel *****;
2023;Počet hostů;Celkem;Plzeň a okolí;Hotel, motel, botel ****;169637.0
2023;Počet hostů;Celkem;Plzeň a okolí;Hotel, motel, botel ***;100033.0
2023;Počet hostů;Celkem;Plzeň a okolí;Hotel, motel, botel **;
2023;Počet hostů;Celkem;Plzeň a okolí;Hotel, motel, botel *;
2023;Počet hostů;Celkem;Plzeň a okolí;Hotel garni;955.0
2023;Počet hostů;Celkem;Plzeň a okolí;Penzion;34321.0
2023;Počet hostů;Celkem;Plzeň a okolí;Kemp;10605.0
2023;Počet hostů;Celkem;Plzeň a okolí;Chatová osada;
2023;Počet hostů;Celkem;Plzeň a okolí;Turistická ubytovna;857.0
2023;Počet hostů;Celkem;Plzeň a okolí;Ostatní HUZ;8715.0
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;HUZ celkem;44992.0
2023;Počet hostů;Celkem;Postřelí - Plzeňský kraj;Hotel *****;
