Ukazatel,Roky,Věk (jednoleté skupiny),"ČR, Reg. soudržnosti, Kraje",value
Míry plodnosti,2024,22,Jihovýchod,34.91984591
Míry plodnosti,2024,22,Střední Morava,27.31847592
Míry plodnosti,2024,22,Moravskoslezsko,38.15694744
Míry plodnosti,2024,22,Hlavní město Praha,22.25433526
Míry plodnosti,2024,22,Středočeský kraj,34.23314734
Míry plodnosti,2024,22,Jihočeský kraj,29.34388394
Míry plodnosti,2024,22,Plzeňský kraj,35.2393617
Míry plodnosti,2024,22,Karlovarský kraj,50.71967101
Míry plodnosti,2024,22,Ústecký kraj,54.3122957
Míry plodnosti,2024,22,Liberecký kraj,38.73075128
Míry plodnosti,2024,22,Královéhradecký kraj,31.80760279
Míry plodnosti,2024,22,Pardubický kraj,25.92142568
Míry plodnosti,2024,22,Kraj Vysočina,36.66666667
Míry plodnosti,2024,22,Jihomoravský kraj,34.17743935
Míry plodnosti,2024,22,Olomoucký kraj,30.19784797
Míry plodnosti,2024,22,Zlínský kraj,24.226612
Míry plodnosti,2024,22,Moravskoslezský kraj,38.15694744
Míry plodnosti,2024,23,Česko,39.91783365
Míry plodnosti,2024,23,Praha,27.1166883
Míry plodnosti,2024,23,Střední Čechy,38.3775351
Míry plodnosti,2024,23,Jihozápad,41.46544546
Míry plodnosti,2024,23,Severozápad,56.3902801
Míry plodnosti,2024,23,Severovýchod,40.93075414
Míry plodnosti,2024,23,Jihovýchod,36.74406736
Míry plodnosti,2024,23,Střední Morava,40.82376526
Míry plodnosti,2024,23,Moravskoslezsko,42.34947523
Míry plodnosti,2024,23,Hlavní město Praha,27.1166883
Míry plodnosti,2024,23,Středočeský kraj,38.3775351
Míry plodnosti,2024,23,Jihočeský kraj,43.10056799
Míry plodnosti,2024,23,Plzeňský kraj,39.84063745
Míry plodnosti,2024,23,Karlovarský kraj,50.17421603
Míry plodnosti,2024,23,Ústecký kraj,58.64509606
Míry plodnosti,2024,23,Liberecký kraj,42.53308129
Míry plodnosti,2024,23,Královéhradecký kraj,34.80641377
Míry plodnosti,2024,23,Pardubický kraj,45.91629419
Míry plodnosti,2024,23,Kraj Vysočina,42.49053429
Míry plodnosti,2024,23,Jihomoravský kraj,34.24281267
Míry plodnosti,2024,23,Olomoucký kraj,45.29494382
Míry plodnosti,2024,23,Zlínský kraj,35.99848427
Míry plodnosti,2024,23,Moravskoslezský kraj,42.34947523
Míry plodnosti,2024,24,Česko,52.41010709
Míry plodnosti,2024,24,Praha,35.00936464
Míry plodnosti,2024,24,Střední Čechy,52.96847496
Míry plodnosti,2024,24,Jihozápad,54.58887752
Míry plodnosti,2024,24,Severozápad,67.51859622
Míry plodnosti,2024,24,Severovýchod,54.20847269
Míry plodnosti,2024,24,Jihovýchod,50.78876491
Míry plodnosti,2024,24,Střední Morava,54.14831131
Míry plodnosti,2024,24,Moravskoslezsko,55.27915976
Míry plodnosti,2024,24,Hlavní město Praha,35.00936464
Míry plodnosti,2024,24,Středočeský kraj,52.96847496
Míry plodnosti,2024,24,Jihočeský kraj,56.87203791
Míry plodnosti,2024,24,Plzeňský kraj,52.2696011
Míry plodnosti,2024,24,Karlovarský kraj,54.48028674
Míry plodnosti,2024,24,Ústecký kraj,72.24532225
Míry plodnosti,2024,24,Liberecký kraj,56.63048608
Míry plodnosti,2024,24,Královéhradecký kraj,52.57009346
Míry plodnosti,2024,24,Pardubický kraj,53.83688228
Míry plodnosti,2024,24,Kraj Vysočina,61.08786611
Míry plodnosti,2024,24,Jihomoravský kraj,46.23636027
Míry plodnosti,2024,24,Olomoucký kraj,58.59512884
Míry plodnosti,2024,24,Zlínský kraj,49.33078394
Míry plodnosti,2024,24,Moravskoslezský kraj,55.27915976
Míry plodnosti,2024,25,Česko,66.88430608
Míry plodnosti,2024,25,Praha,44.18938307
Míry plodnosti,2024,25,Střední Čechy,64.86573924
Míry plodnosti,2024,25,Jihozápad,78.19782496
Míry plodnosti,2024,25,Severozápad,76.02674308
Míry plodnosti,2024,25,Severovýchod,69.5276578
Míry plodnosti,2024,25,Jihovýchod,67.90827315
Míry plodnosti,2024,25,Střední Morava,69.24198251
