Ukazatel;Počet zaměstnanců;Kraje, SO ORP;Čtvrtletí;value
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;3. čtvrtletí 2022;143192
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2. čtvrtletí 2022;142871
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;1. čtvrtletí 2022;142654
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;4. čtvrtletí 2021;142345
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;3. čtvrtletí 2021;142070
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;2. čtvrtletí 2021;141764
Počet ekonomických subjektů celkem;Celkem;Královéhradecký kraj;1. čtvrtletí 2021;141418
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;1. čtvrtletí 2025;116748
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;4. čtvrtletí 2024;116280
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;3. čtvrtletí 2024;115815
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2. čtvrtletí 2024;115141
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;1. čtvrtletí 2024;115334
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;4. čtvrtletí 2023;115106
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;3. čtvrtletí 2023;114871
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2. čtvrtletí 2023;114916
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;1. čtvrtletí 2023;116799
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;4. čtvrtletí 2022;125246
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;3. čtvrtletí 2022;125858
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2. čtvrtletí 2022;125347
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;1. čtvrtletí 2022;124822
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;4. čtvrtletí 2021;124491
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;3. čtvrtletí 2021;124099
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;2. čtvrtletí 2021;123611
Počet ekonomických subjektů celkem;Celkem;Pardubický kraj;1. čtvrtletí 2021;123103
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;1. čtvrtletí 2025;108116
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;4. čtvrtletí 2024;107897
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;3. čtvrtletí 2024;107706
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2. čtvrtletí 2024;107145
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;1. čtvrtletí 2024;107427
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;4. čtvrtletí 2023;107603
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;3. čtvrtletí 2023;107498
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2. čtvrtletí 2023;107499
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;1. čtvrtletí 2023;108892
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;4. čtvrtletí 2022;118115
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;3. čtvrtletí 2022;118869
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2. čtvrtletí 2022;118640
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;1. čtvrtletí 2022;118233
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;4. čtvrtletí 2021;117927
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;3. čtvrtletí 2021;117456
Počet ekonomických subjektů celkem;Celkem;Kraj Vysočina;2. čtvrtletí 2021;117102
