Území,Ukazatel,Hospodářský rok,value
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2005,15.03502831
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2006,14.93720401
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2007,16.3
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2008,16.9
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2009,12.4
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2010,12.4
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2011,14.2
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2012,15.3
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2013,16.97941262
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2014,18.37192764
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2015,18.96607723
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2016,19.87378249
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2017,20.53611874
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2018,20.0918412373
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2019,19.3892558224
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2020,20.7388102856
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2021,19.2478257773
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2022,15.1215025408
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2023,14.1764160371
Česko,Spotřeba oxidu fosforečného (P₂O₅) v minerálních hnojivech,2024,15.4792422561
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2003,10.35510583
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2004,10.49331963
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2005,10.34932009
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2006,9.90831026
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2007,10.7
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2008,11.4
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2009,7.5
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2010,7.2
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2011,9.0
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2012,9.6
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2013,10.62650557
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2014,12.34152187
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2015,13.025673
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2016,13.87567571
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2017,14.09816377
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2018,14.1796652282
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2019,14.0397469018
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2020,13.7871121224
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2021,12.9623451871
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2022,11.0013377603
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2023,9.4277632481
Česko,Spotřeba oxidu draselného (K₂O) v minerálních hnojivech,2024,9.9671019053
Česko,Spotřeba vápenatých hnojiv,2003,58.39308049
Česko,Spotřeba vápenatých hnojiv,2004,53.67113299
Česko,Spotřeba vápenatých hnojiv,2005,49.73368446
Česko,Spotřeba vápenatých hnojiv,2006,55.20060986
Česko,Spotřeba vápenatých hnojiv,2007,60.6
Česko,Spotřeba vápenatých hnojiv,2008,70.5
Česko,Spotřeba vápenatých hnojiv,2009,51.3
Česko,Spotřeba vápenatých hnojiv,2010,47.8
Česko,Spotřeba vápenatých hnojiv,2011,64.8
Česko,Spotřeba vápenatých hnojiv,2012,93.5
Česko,Spotřeba vápenatých hnojiv,2013,111.45252486
Česko,Spotřeba vápenatých hnojiv,2014,123.7706277
Česko,Spotřeba vápenatých hnojiv,2015,129.41489509
Česko,Spotřeba vápenatých hnojiv,2016,133.63294749
Česko,Spotřeba vápenatých hnojiv,2017,127.15394424
Česko,Spotřeba vápenatých hnojiv,2018,149.7767983815
Česko,Spotřeba vápenatých hnojiv,2019,155.0048539596
Česko,Spotřeba vápenatých hnojiv,2020,155.4221339436
Česko,Spotřeba vápenatých hnojiv,2021,139.5191352
Česko,Spotřeba vápenatých hnojiv,2022,143.405956954
Česko,Spotřeba vápenatých hnojiv,2023,123.6160472279
Česko,Spotřeba vápenatých hnojiv,2024,120.0977703861
Česko,Spotřeba statkových hnojiv,2003,3925.10897624
Česko,Spotřeba statkových hnojiv,2004,3626.04433872
Česko,Spotřeba statkových hnojiv,2005,4518.59365518
Česko,Spotřeba statkových hnojiv,2006,4647.18488581
Česko,Spotřeba statkových hnojiv,2007,5356.6
Česko,Spotřeba statkových hnojiv,2008,5255.6
Česko,Spotřeba statkových hnojiv,2009,5179.8
Česko,Spotřeba statkových hnojiv,2010,4903.6
Česko,Spotřeba statkových hnojiv,2011,5025.0
Česko,Spotřeba statkových hnojiv,2012,4851.1
Česko,Spotřeba statkových hnojiv,2013,4873.93315726
Česko,Spotřeba statkových hnojiv,2014,4751.10098546
Česko,Spotřeba statkových hnojiv,2015,4836.63586495
Česko,Spotřeba statkových hnojiv,2016,4774.04861427
Česko,Spotřeba statkových hnojiv,2017,4684.81662711
Česko,Spotřeba statkových hnojiv,2018,4851.0802309775
Česko,Spotřeba statkových hnojiv,2019,4919.6614090402
Česko,Spotřeba statkových hnojiv,2020,4804.9041673974
Česko,Spotřeba statkových hnojiv,2021,4865.1559213944
Česko,Spotřeba statkových hnojiv,2022,4780.7361327588
Česko,Spotřeba statkových hnojiv,2023,4792.0166556573
Česko,Spotřeba statkových hnojiv,2024,4783.2754299553
Česko,Spotřeba statkových hnojiv - hnůj,2003,
Česko,Spotřeba statkových hnojiv - hnůj,2004,
Česko,Spotřeba statkových hnojiv - hnůj,2005,
Česko,Spotřeba statkových hnojiv - hnůj,2006,
Česko,Spotřeba statkových hnojiv - hnůj,2007,3172.2
Česko,Spotřeba statkových hnojiv - hnůj,2008,3015.7
Česko,Spotřeba statkových hnojiv - hnůj,2009,2951.8
Česko,Spotřeba statkových hnojiv - hnůj,2010,2825.2
Česko,Spotřeba statkových hnojiv - hnůj,2011,2807.5
Česko,Spotřeba statkových hnojiv - hnůj,2012,2706.8
Česko,Spotřeba statkových hnojiv - hnůj,2013,2655.03945263
Česko,Spotřeba statkových hnojiv - hnůj,2014,2562.42145967
Česko,Spotřeba statkových hnojiv - hnůj,2015,2689.70916985
Česko,Spotřeba statkových hnojiv - hnůj,2016,2706.67165662
Česko,Spotřeba statkových hnojiv - hnůj,2017,2596.65359248
Česko,Spotřeba statkových hnojiv - hnůj,2018,2646.338948475
Česko,Spotřeba statkových hnojiv - hnůj,2019,2712.356911288
Česko,Spotřeba statkových hnojiv - hnůj,2020,2707.2596659232
Česko,Spotřeba statkových hnojiv - hnůj,2021,2750.7331178613
Česko,Spotřeba statkových hnojiv - hnůj,2022,2682.5436427056
Česko,Spotřeba statkových hnojiv - hnůj,2023,2726.2958042722
Česko,Spotřeba statkových hnojiv - hnůj,2024,2740.5959492849
Česko,Spotřeba statkových hnojiv - kejda,2003,
Česko,Spotřeba statkových hnojiv - kejda,2004,
Česko,Spotřeba statkových hnojiv - kejda,2005,
Česko,Spotřeba statkových hnojiv - kejda,2006,
Česko,Spotřeba statkových hnojiv - kejda,2007,1114.1
Česko,Spotřeba statkových hnojiv - kejda,2008,1203.2
Česko,Spotřeba statkových hnojiv - kejda,2009,1281.5
Česko,Spotřeba statkových hnojiv - kejda,2010,1226.7
Česko,Spotřeba statkových hnojiv - kejda,2011,1246.6
Česko,Spotřeba statkových hnojiv - kejda,2012,1147.2
Česko,Spotřeba statkových hnojiv - kejda,2013,1165.03110974
Česko,Spotřeba statkových hnojiv - kejda,2014,1093.81630896
Česko,Spotřeba statkových hnojiv - kejda,2015,1109.37217549
Česko,Spotřeba statkových hnojiv - kejda,2016,1109.23109538
Česko,Spotřeba statkových hnojiv - kejda,2017,1128.83829649
Česko,Spotřeba statkových hnojiv - kejda,2018,1182.3309583067
Česko,Spotřeba statkových hnojiv - kejda,2019,1251.1094836441
Česko,Spotřeba statkových hnojiv - kejda,2020,1261.7104653649
Česko,Spotřeba statkových hnojiv - kejda,2021,1253.1332375365
Česko,Spotřeba statkových hnojiv - kejda,2022,1234.9239195058
Česko,Spotřeba statkových hnojiv - kejda,2023,1196.8527864252
Česko,Spotřeba statkových hnojiv - kejda,2024,1212.8763530227
Česko,Spotřeba statkových hnojiv - močůvka,2003,
Česko,Spotřeba statkových hnojiv - močůvka,2004,
Česko,Spotřeba statkových hnojiv - močůvka,2005,
Česko,Spotřeba statkových hnojiv - močůvka,2006,
Česko,Spotřeba statkových hnojiv - močůvka,2007,963.1
Česko,Spotřeba statkových hnojiv - močůvka,2008,905.5
Česko,Spotřeba statkových hnojiv - močůvka,2009,816.7
Česko,Spotřeba statkových hnojiv - močůvka,2010,708.5
Česko,Spotřeba statkových hnojiv - močůvka,2011,661.7
Česko,Spotřeba statkových hnojiv - močůvka,2012,634.4
Česko,Spotřeba statkových hnojiv - močůvka,2013,607.12920012
Česko,Spotřeba statkových hnojiv - močůvka,2014,599.97030354
Česko,Spotřeba statkových hnojiv - močůvka,2015,541.83289353
Česko,Spotřeba statkových hnojiv - močůvka,2016,510.23817501
Česko,Spotřeba statkových hnojiv - močůvka,2017,482.41637637
Česko,Spotřeba statkových hnojiv - močůvka,2018,459.0969246718
Česko,Spotřeba statkových hnojiv - močůvka,2019,406.1291048181
Česko,Spotřeba statkových hnojiv - močůvka,2020,431.9497160887
Česko,Spotřeba statkových hnojiv - močůvka,2021,409.0475821827
Česko,Spotřeba statkových hnojiv - močůvka,2022,386.254502649
Česko,Spotřeba statkových hnojiv - močůvka,2023,351.0554723448
Česko,Spotřeba statkových hnojiv - močůvka,2024,343.5439086331
Česko,Spotřeba jiných statkových hnojiv,2003,
Česko,Spotřeba jiných statkových hnojiv,2004,
Česko,Spotřeba jiných statkových hnojiv,2005,
Česko,Spotřeba jiných statkových hnojiv,2006,
Česko,Spotřeba jiných statkových hnojiv,2007,107.2
Česko,Spotřeba jiných statkových hnojiv,2008,131.2
Česko,Spotřeba jiných statkových hnojiv,2009,129.8
Česko,Spotřeba jiných statkových hnojiv,2010,143.1
Česko,Spotřeba jiných statkových hnojiv,2011,309.1
Česko,Spotřeba jiných statkových hnojiv,2012,362.7
Česko,Spotřeba jiných statkových hnojiv,2013,446.73339477
Česko,Spotřeba jiných statkových hnojiv,2014,494.8929133
Česko,Spotřeba jiných statkových hnojiv,2015,495.72162608
Česko,Spotřeba jiných statkových hnojiv,2016,447.90768727
Česko,Spotřeba jiných statkových hnojiv,2017,476.90836177
Česko,Spotřeba jiných statkových hnojiv,2018,563.313399524
Česko,Spotřeba jiných statkových hnojiv,2019,550.06590929
Česko,Spotřeba jiných statkových hnojiv,2020,403.9843200207
Česko,Spotřeba jiných statkových hnojiv,2021,452.2419838139
Česko,Spotřeba jiných statkových hnojiv,2022,477.0140678985
Česko,Spotřeba jiných statkových hnojiv,2023,517.8125926151
Česko,Spotřeba jiných statkových hnojiv,2024,486.2592190147
Česko,Spotřeba organických hnojiv,2003,
Česko,Spotřeba organických hnojiv,2004,
Česko,Spotřeba organických hnojiv,2005,
Česko,Spotřeba organických hnojiv,2006,176.63999267
Česko,Spotřeba organických hnojiv,2007,87.1
Česko,Spotřeba organických hnojiv,2008,87.0
Česko,Spotřeba organických hnojiv,2009,153.0
Česko,Spotřeba organických hnojiv,2010,282.6
Česko,Spotřeba organických hnojiv,2011,362.8
Česko,Spotřeba organických hnojiv,2012,476.2
Česko,Spotřeba organických hnojiv,2013,740.97668473
Česko,Spotřeba organických hnojiv,2014,1354.41549673
Česko,Spotřeba organických hnojiv,2015,1584.52330904
Česko,Spotřeba organických hnojiv,2016,1660.21148219
Česko,Spotřeba organických hnojiv,2017,1717.43256829
Česko,Spotřeba organických hnojiv,2018,1655.0985815128
Česko,Spotřeba organických hnojiv,2019,1743.6957955027
Česko,Spotřeba organických hnojiv,2020,1891.1411697352
Česko,Spotřeba organických hnojiv,2021,1959.4102354467
Česko,Spotřeba organických hnojiv,2022,2005.3884360354
Česko,Spotřeba organických hnojiv,2023,2044.677047284
Česko,Spotřeba organických hnojiv,2024,2076.9202281573
Česko,Spotřeba organominerálních hnojiv,2003,
Česko,Spotřeba organominerálních hnojiv,2004,
Česko,Spotřeba organominerálních hnojiv,2005,
Česko,Spotřeba organominerálních hnojiv,2006,27.06753049
Česko,Spotřeba organominerálních hnojiv,2007,30.4
Česko,Spotřeba organominerálních hnojiv,2008,36.8
Česko,Spotřeba organominerálních hnojiv,2009,62.4
Česko,Spotřeba organominerálních hnojiv,2010,43.0
Česko,Spotřeba organominerálních hnojiv,2011,68.4
Česko,Spotřeba organominerálních hnojiv,2012,52.8
Česko,Spotřeba organominerálních hnojiv,2013,53.00366307
Česko,Spotřeba organominerálních hnojiv,2014,46.99944162
Česko,Spotřeba organominerálních hnojiv,2015,33.61619081
Česko,Spotřeba organominerálních hnojiv,2016,29.41425063
Česko,Spotřeba organominerálních hnojiv,2017,26.23395782
Česko,Spotřeba organominerálních hnojiv,2018,26.5576702788
Česko,Spotřeba organominerálních hnojiv,2019,23.7108595485
Česko,Spotřeba organominerálních hnojiv,2020,17.713698253
Česko,Spotřeba organominerálních hnojiv,2021,14.8854442311
Česko,Spotřeba organominerálních hnojiv,2022,19.6662561571
Česko,Spotřeba organominerálních hnojiv,2023,27.9553155742
Česko,Spotřeba organominerálních hnojiv,2024,28.7580351413
