Území,Ukazatel,Čtvrtletí,value
Česko,HPH - Ostatní činnosti,2. čtvrtletí 2024,100.7
Česko,HPH - Ostatní činnosti,3. čtvrtletí 2024,102.8
Česko,HPH - Ostatní činnosti,4. čtvrtletí 2024,103.3
Česko,HPH - Ostatní činnosti,1. čtvrtletí 2025,104.4
Česko,HPH - Ostatní činnosti,2. čtvrtletí 2025,103.9
Česko,Daně z produktů,3. čtvrtletí 2023,95.5
Česko,Daně z produktů,4. čtvrtletí 2023,106.3
Česko,Daně z produktů,1. čtvrtletí 2024,104.2
Česko,Daně z produktů,2. čtvrtletí 2024,105.7
Česko,Daně z produktů,3. čtvrtletí 2024,105.6
Česko,Daně z produktů,4. čtvrtletí 2024,100.5
Česko,Daně z produktů,1. čtvrtletí 2025,101.5
Česko,Daně z produktů,2. čtvrtletí 2025,102.6
Česko,Dotace na produkty,3. čtvrtletí 2023,107.5
Česko,Dotace na produkty,4. čtvrtletí 2023,123.1
Česko,Dotace na produkty,1. čtvrtletí 2024,71.9
Česko,Dotace na produkty,2. čtvrtletí 2024,102.2
Česko,Dotace na produkty,3. čtvrtletí 2024,99.9
Česko,Dotace na produkty,4. čtvrtletí 2024,71.2
Česko,Dotace na produkty,1. čtvrtletí 2025,110.0
Česko,Dotace na produkty,2. čtvrtletí 2025,114.2
