Území;Týdny;Ukazatel;value
Česko; 06. týden 2024;Průměrná cena bez daní (Kč/tis. l);18807.0
Česko; 06. týden 2024;Index cen (%);101.6
Česko; 05. týden 2024;Průměrná cena bez daní (Kč/tis. l);18503.0
Česko; 05. týden 2024;Index cen (%);100.5
Česko; 04. týden 2024;Průměrná cena bez daní (Kč/tis. l);18405.0
Česko; 04. týden 2024;Index cen (%);103.5
Česko; 03. týden 2024;Průměrná cena bez daní (Kč/tis. l);17778.0
Česko; 03. týden 2024;Index cen (%);99.8
Česko; 02. týden 2024;Průměrná cena bez daní (Kč/tis. l);17807.0
Česko; 02. týden 2024;Index cen (%);98.7
Česko; 01. týden 2024;Průměrná cena bez daní (Kč/tis. l);18037.0
Česko; 01. týden 2024;Index cen (%);98.7
Česko; 51. týden 2023;Průměrná cena bez daní (Kč/tis. l);18282.0
Česko; 51. týden 2023;Index cen (%);98.8
Česko; 50. týden 2023;Průměrná cena bez daní (Kč/tis. l);18511.0
Česko; 50. týden 2023;Index cen (%);97.0
Česko; 49. týden 2023;Průměrná cena bez daní (Kč/tis. l);19079.0
Česko; 49. týden 2023;Index cen (%);98.6
Česko; 48. týden 2023;Průměrná cena bez daní (Kč/tis. l);19354.0
Česko; 48. týden 2023;Index cen (%);99.8
Česko; 47. týden 2023;Průměrná cena bez daní (Kč/tis. l);19386.0
Česko; 47. týden 2023;Index cen (%);98.1
Česko; 46. týden 2023;Průměrná cena bez daní (Kč/tis. l);19764.0
Česko; 46. týden 2023;Index cen (%);97.0
Česko; 45. týden 2023;Průměrná cena bez daní (Kč/tis. l);20380.0
Česko; 45. týden 2023;Index cen (%);98.8
Česko; 44. týden 2023;Průměrná cena bez daní (Kč/tis. l);20620.0
Česko; 44. týden 2023;Index cen (%);98.4
Česko; 43. týden 2023;Průměrná cena bez daní (Kč/tis. l);20949.0
Česko; 43. týden 2023;Index cen (%);101.4
Česko; 42. týden 2023;Průměrná cena bez daní (Kč/tis. l);20657.0
Česko; 42. týden 2023;Index cen (%);100.4
Česko; 41. týden 2023;Průměrná cena bez daní (Kč/tis. l);20575.0
Česko; 41. týden 2023;Index cen (%);96.5
Česko; 40. týden 2023;Průměrná cena bez daní (Kč/tis. l);21324.0
Česko; 40. týden 2023;Index cen (%);100.2
Česko; 39. týden 2023;Průměrná cena bez daní (Kč/tis. l);21283.0
Česko; 39. týden 2023;Index cen (%);99.1
Česko; 38. týden 2023;Průměrná cena bez daní (Kč/tis. l);21487.0
Česko; 38. týden 2023;Index cen (%);104.4
Česko; 37. týden 2023;Průměrná cena bez daní (Kč/tis. l);20586.0
Česko; 37. týden 2023;Index cen (%);105.5
Česko; 36. týden 2023;Průměrná cena bez daní (Kč/tis. l);19506.0
Česko; 36. týden 2023;Index cen (%);100.5
Česko; 35. týden 2023;Průměrná cena bez daní (Kč/tis. l);19411.0
Česko; 35. týden 2023;Index cen (%);102.2
Česko; 34. týden 2023;Průměrná cena bez daní (Kč/tis. l);18987.0
Česko; 34. týden 2023;Index cen (%);96.9
Česko; 33. týden 2023;Průměrná cena bez daní (Kč/tis. l);19593.0
Česko; 33. týden 2023;Index cen (%);103.8
Česko; 32. týden 2023;Průměrná cena bez daní (Kč/tis. l);18884.0
Česko; 32. týden 2023;Index cen (%);106.8
Česko; 31. týden 2023;Průměrná cena bez daní (Kč/tis. l);17682.0
Česko; 31. týden 2023;Index cen (%);105.5
Česko; 30. týden 2023;Průměrná cena bez daní (Kč/tis. l);16756.0
Česko; 30. týden 2023;Index cen (%);102.1
Česko; 29. týden 2023;Průměrná cena bez daní (Kč/tis. l);16417.0
Česko; 29. týden 2023;Index cen (%);100.3
Česko; 28. týden 2023;Průměrná cena bez daní (Kč/tis. l);16376.0
Česko; 28. týden 2023;Index cen (%);101.5
Česko; 27. týden 2023;Průměrná cena bez daní (Kč/tis. l);16134.0
Česko; 27. týden 2023;Index cen (%);97.9
Česko; 26. týden 2023;Průměrná cena bez daní (Kč/tis. l);16479.0
Česko; 26. týden 2023;Index cen (%);100.2
Česko; 25. týden 2023;Průměrná cena bez daní (Kč/tis. l);16444.0
Česko; 25. týden 2023;Index cen (%);103.2
Česko; 24. týden 2023;Průměrná cena bez daní (Kč/tis. l);15928.0
Česko; 24. týden 2023;Index cen (%);102.1
Česko; 23. týden 2023;Průměrná cena bez daní (Kč/tis. l);15605.0
Česko; 23. týden 2023;Index cen (%);99.3
Česko; 22. týden 2023;Průměrná cena bez daní (Kč/tis. l);15718.0
Česko; 22. týden 2023;Index cen (%);101.8
Česko; 21. týden 2023;Průměrná cena bez daní (Kč/tis. l);15440.0
Česko; 21. týden 2023;Index cen (%);101.5
Česko; 20. týden 2023;Průměrná cena bez daní (Kč/tis. l);15209.0
Česko; 20. týden 2023;Index cen (%);98.4
Česko; 19. týden 2023;Průměrná cena bez daní (Kč/tis. l);15450.0
Česko; 19. týden 2023;Index cen (%);94.6
Česko; 18. týden 2023;Průměrná cena bez daní (Kč/tis. l);16337.0
Česko; 18. týden 2023;Index cen (%);98.2
Česko; 17. týden 2023;Průměrná cena bez daní (Kč/tis. l);16636.0
Česko; 17. týden 2023;Index cen (%);97.8
Česko; 16. týden 2023;Průměrná cena bez daní (Kč/tis. l);17007.0
Česko; 16. týden 2023;Index cen (%);98.7
Česko; 15. týden 2023;Průměrná cena bez daní (Kč/tis. l);17224.0
Česko; 15. týden 2023;Index cen (%);98.2
Česko; 14. týden 2023;Průměrná cena bez daní (Kč/tis. l);17544.0
Česko; 14. týden 2023;Index cen (%);98.3
Česko; 13. týden 2023;Průměrná cena bez daní (Kč/tis. l);17855.0
Česko; 13. týden 2023;Index cen (%);98.3
Česko; 12. týden 2023;Průměrná cena bez daní (Kč/tis. l);18170.0
Česko; 12. týden 2023;Index cen (%);98.0
Česko; 11. týden 2023;Průměrná cena bez daní (Kč/tis. l);18546.0
Česko; 11. týden 2023;Index cen (%);97.5
Česko; 10. týden 2023;Průměrná cena bez daní (Kč/tis. l);19027.0
Česko; 10. týden 2023;Index cen (%);102.2
Česko; 09. týden 2023;Průměrná cena bez daní (Kč/tis. l);18619.0
Česko; 09. týden 2023;Index cen (%);99.8
Česko; 08. týden 2023;Průměrná cena bez daní (Kč/tis. l);18664.0
Česko; 08. týden 2023;Index cen (%);98.3
Česko; 07. týden 2023;Průměrná cena bez daní (Kč/tis. l);18988.0
Česko; 07. týden 2023;Index cen (%);97.2
Česko; 06. týden 2023;Průměrná cena bez daní (Kč/tis. l);19539.0
Česko; 06. týden 2023;Index cen (%);92.8
Česko; 05. týden 2023;Průměrná cena bez daní (Kč/tis. l);21057.0
Česko; 05. týden 2023;Index cen (%);98.5
Česko; 04. týden 2023;Průměrná cena bez daní (Kč/tis. l);21387.0
Česko; 04. týden 2023;Index cen (%);102.2
Česko; 03. týden 2023;Průměrná cena bez daní (Kč/tis. l);20931.0
Česko; 03. týden 2023;Index cen (%);99.6
Česko; 02. týden 2023;Průměrná cena bez daní (Kč/tis. l);21018.0
