Území;Týdny;Ukazatel;value
Česko; 23. týden 2016;Index cen (%);100.5
Česko; 22. týden 2016;Průměrná cena bez daní (Kč/tis. l);10736.0
Česko; 22. týden 2016;Index cen (%);101.6
Česko; 21. týden 2016;Průměrná cena bez daní (Kč/tis. l);10566.0
Česko; 21. týden 2016;Index cen (%);106.3
Česko; 20. týden 2016;Průměrná cena bez daní (Kč/tis. l);9936.0
Česko; 20. týden 2016;Index cen (%);103.3
Česko; 19. týden 2016;Průměrná cena bez daní (Kč/tis. l);9623.0
Česko; 19. týden 2016;Index cen (%);99.5
Česko; 18. týden 2016;Průměrná cena bez daní (Kč/tis. l);9671.0
Česko; 18. týden 2016;Index cen (%);106.2
Česko; 17. týden 2016;Průměrná cena bez daní (Kč/tis. l);9108.0
Česko; 17. týden 2016;Index cen (%);102.1
Česko; 16. týden 2016;Průměrná cena bez daní (Kč/tis. l);8917.0
Česko; 16. týden 2016;Index cen (%);104.3
Česko; 15. týden 2016;Průměrná cena bez daní (Kč/tis. l);8551.0
Česko; 15. týden 2016;Index cen (%);96.0
Česko; 14. týden 2016;Průměrná cena bez daní (Kč/tis. l);8909.0
Česko; 14. týden 2016;Index cen (%);97.4
Česko; 11. týden 2016;Průměrná cena bez daní (Kč/tis. l);9143.0
Česko; 11. týden 2016;Index cen (%);105.1
Česko; 10. týden 2016;Průměrná cena bez daní (Kč/tis. l);8701.0
Česko; 10. týden 2016;Index cen (%);107.3
Česko; 09. týden 2016;Průměrná cena bez daní (Kč/tis. l);8107.0
Česko; 09. týden 2016;Index cen (%);100.9
Česko; 08. týden 2016;Průměrná cena bez daní (Kč/tis. l);8035.0
Česko; 08. týden 2016;Index cen (%);105.7
Česko; 07. týden 2016;Průměrná cena bez daní (Kč/tis. l);7604.0
Česko; 07. týden 2016;Index cen (%);97.1
Česko; 06. týden 2016;Průměrná cena bez daní (Kč/tis. l);7832.0
Česko; 06. týden 2016;Index cen (%);96.7
Česko; 05. týden 2016;Průměrná cena bez daní (Kč/tis. l);8098.0
Česko; 05. týden 2016;Index cen (%);100.0
Česko; 04. týden 2016;Průměrná cena bez daní (Kč/tis. l);8094.0
Česko; 04. týden 2016;Index cen (%);95.3
Česko; 03. týden 2016;Průměrná cena bez daní (Kč/tis. l);8491.0
Česko; 03. týden 2016;Index cen (%);93.6
Česko; 02. týden 2016;Průměrná cena bez daní (Kč/tis. l);9076.0
Česko; 02. týden 2016;Index cen (%);95.7
Česko; 01. týden 2016;Průměrná cena bez daní (Kč/tis. l);9479.0
Česko; 01. týden 2016;Index cen (%);
